axis	n_diseases	n_supported_or_robust	n_robust	n_unresolved
axis_01_ifn_apc	12	8	2	3
axis_02_genetics	12	2	0	1
axis_03_microbiome	12	0	0	3
axis_04_lipid_lysosomal	12	2	0	3
axis_05_complement_innate	12	1	0	7
axis_06_tcell_adaptive_repertoire	12	0	0	7
axis_07_treatment_response	12	3	0	9
axis_08_tissue_repair_resolution	12	3	0	8
axis_09_sex_hormonal_pregnancy	12	1	0	10
axis_10_infectious_trigger	12	1	0	8
