evidence_id	axis	disease	compartment	data_type	dataset_or_source	effect_direction	statistic	p_value	fdr_or_correction	sample_size	causality_level	supports_placement	caveat	file_or_url
V8_axis_01_ifn_apc_multiple_sclerosis_1	axis_01_ifn_apc	multiple sclerosis	white matter microglia	sorted_bulk_microglia	GSE111972	delta=0.6141; hedges_g=1.341; support=strong	module=mif_cd74_receptor_state; p=0.005473; fdr=0.01916; strong	0.0054734192	axis-local FDR=0.019156967	case=10; control=11	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_multiple_sclerosis_2	axis_01_ifn_apc	multiple sclerosis	white matter microglia	sorted_bulk_microglia	GSE111972	delta=0.219; hedges_g=0.4583; support=positive_null	module=ifn_apc; p=0.2861; fdr=0.468; positive_null	0.28606707	axis-local FDR=0.46798811	case=10; control=11	cross_sectional	unresolved	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_rheumatoid_arthritis_1	axis_01_ifn_apc	rheumatoid arthritis	blood myeloid/APC	single_cell_or_single_nucleus_h5ad	ra_blood_myeloid	delta=-0.01783; hedges_g=-0.1823; support=null_or_negative	module=mixscale_validated_ifng_readout; p=0.5796; fdr=0.686; null_or_negative	0.57962875	axis-local FDR=0.68601666	case=18; control=18	cross_sectional	far	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_rheumatoid_arthritis_2	axis_01_ifn_apc	rheumatoid arthritis	blood myeloid/APC	single_cell_or_single_nucleus_h5ad	ra_blood_myeloid	delta=-0.04598; hedges_g=-0.249; support=null_or_negative	module=ifn_apc; p=0.4503; fdr=0.5722; null_or_negative	0.4503055	axis-local FDR=0.57215287	case=18; control=18	cross_sectional	far	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_Crohn_disease_1	axis_01_ifn_apc	Crohn disease	colon myeloid	single_cell_or_single_nucleus_h5ad	ibd_crohn_myeloid	delta=0.412; hedges_g=2.115; support=supportive	module=mixscale_validated_ifng_readout; p=0.003892; fdr=0.05254; supportive	0.0038917843	axis-local FDR=0.052539088	case=6; control=6	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_Crohn_disease_2	axis_01_ifn_apc	Crohn disease	colon myeloid	single_cell_or_single_nucleus_h5ad	ibd_crohn_myeloid	delta=0.5851; hedges_g=2.087; support=supportive	module=ifn_apc; p=0.004432; fdr=0.05631; supportive	0.0044315758	axis-local FDR=0.056307081	case=6; control=6	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_ulcerative_colitis_1	axis_01_ifn_apc	ulcerative colitis	colon myeloid	single_cell_or_single_nucleus_h5ad	ibd_uc_myeloid	delta=0.4433; hedges_g=3.271; support=strong	module=mixscale_validated_ifng_readout; p=0.000116; fdr=0.02505; strong	0.00011595942	axis-local FDR=0.025047235	case=6; control=6	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_ulcerative_colitis_2	axis_01_ifn_apc	ulcerative colitis	colon myeloid	single_cell_or_single_nucleus_h5ad	ibd_uc_myeloid	delta=0.4847; hedges_g=2.359; support=supportive	module=ifn_apc; p=0.001297; fdr=0.05254; supportive	0.0012969113	axis-local FDR=0.052539088	case=6; control=6	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_psoriasis_1	axis_01_ifn_apc	psoriasis	skin APC	single_cell_or_single_nucleus_h5ad	psoriasis_skin_apc	delta=0.4486; hedges_g=2.817; support=supportive	module=ifn_apc; p=0.01975; fdr=0.09136; supportive	0.019745845	axis-local FDR=0.091358507	case=3; control=3	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_psoriasis_2	axis_01_ifn_apc	psoriasis	skin APC	single_cell_or_single_nucleus_h5ad	psoriasis_skin_apc	delta=0.2992; hedges_g=2.384; support=trend	module=mixscale_validated_ifng_readout; p=0.03137; fdr=0.1168; trend	0.031365382	axis-local FDR=0.11680901	case=3; control=3	cross_sectional	intermediate	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_type_1_diabetes_mellitus_1	axis_01_ifn_apc	type 1 diabetes mellitus	pancreatic ductal cell	single_cell_or_single_nucleus_h5ad	t1d_ductal_cell	delta=0.2724; hedges_g=1.952; support=supportive	module=mixscale_validated_ifng_readout; p=0.01929; fdr=0.09136; supportive	0.019287815	axis-local FDR=0.091358507	case=5; control=19	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_type_1_diabetes_mellitus_2	axis_01_ifn_apc	type 1 diabetes mellitus	pancreatic ductal cell	single_cell_or_single_nucleus_h5ad	t1d_ductal_cell	delta=0.2236; hedges_g=1.377; support=supportive	module=hla_ii_apc; p=0.01677; fdr=0.08966; supportive	0.016766245	axis-local FDR=0.089662375	case=5; control=19	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_Sjogren_syndrome_1	axis_01_ifn_apc	Sjogren syndrome	salivary gland epithelial	single_cell_or_single_nucleus_h5ad	sjogren_gland_epithelial	delta=0.207; hedges_g=1.075; support=supportive	module=mif_cd74_receptor_state; p=0.02069; fdr=0.09136; supportive	0.020693109	axis-local FDR=0.091358507	case=11; control=14	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_Sjogren_syndrome_2	axis_01_ifn_apc	Sjogren syndrome	salivary gland epithelial	single_cell_or_single_nucleus_h5ad	sjogren_gland_epithelial	delta=0.2037; hedges_g=1.034; support=supportive	module=hla_ii_apc; p=0.02064; fdr=0.09136; supportive	0.020643228	axis-local FDR=0.091358507	case=11; control=14	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_Hashimoto_thyroiditis_1	axis_01_ifn_apc	Hashimoto thyroiditis	thyroid tissue spots	spatial_visium	GSE248205	delta=1.699; hedges_g=30.19; support=strong	module=hla_ii_apc; p=0.00537; fdr=0.02197; strong	0.0053697946	axis-local FDR=0.021969024	case=3; control=2	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_Hashimoto_thyroiditis_2	axis_01_ifn_apc	Hashimoto thyroiditis	thyroid tissue spots	spatial_visium	GSE248205	delta=0.9333; hedges_g=19.69; support=strong	module=mixscale_validated_ifng_readout; p=5.839e-05; fdr=0.001693; strong	5.8387337e-05	axis-local FDR=0.0016932328	case=3; control=2	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_Graves_disease_1	axis_01_ifn_apc	Graves disease	thyroid tissue spots	spatial_visium	GSE248205	delta=0.7164; hedges_g=0.9839; support=positive_null	module=mif_cd74_receptor_state; p=0.1937; fdr=0.2811; positive_null	0.1936958	axis-local FDR=0.28111332	case=3; control=2	cross_sectional	unresolved	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_Graves_disease_2	axis_01_ifn_apc	Graves disease	thyroid tissue spots	spatial_visium	GSE248205	delta=0.6931; hedges_g=0.9501; support=positive_null	module=hla_ii_apc; p=0.2041; fdr=0.2811; positive_null	0.20414593	axis-local FDR=0.28111332	case=3; control=2	cross_sectional	unresolved	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_celiac_disease_1	axis_01_ifn_apc	celiac disease	epithelial_like marker-classified duodenum	single_cell_marker_compartment	GSE315138	delta=0.4732; hedges_g=2.091; support=trend	module=mif_cd74_receptor_state; p=0.01644; fdr=0.74; trend	0.016444841	axis-local FDR=0.74001785	case=4; control=2	cross_sectional	intermediate	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_01_ifn_apc_celiac_disease_2	axis_01_ifn_apc	celiac disease	epithelial_like marker-classified duodenum	single_cell_marker_compartment	GSE315138	delta=0.5197; hedges_g=1.724; support=trend	module=hla_ii_apc; p=0.02793; fdr=0.7809; trend	0.027932363	axis-local FDR=0.78093292	case=4; control=2	cross_sectional	intermediate	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
V8_axis_04_lipid_lysosomal_multiple_sclerosis_1	axis_04_lipid_lysosomal	multiple sclerosis	white matter microglia	sorted_bulk_microglia	GSE111972	delta=0.4784; hedges_g=1.379; support=strong	module=lipid_loader_repair; p=0.005282; fdr=0.01916; strong	0.0052818132	axis-local FDR=0.019156967	case=10; control=11	cross_sectional	near	Compartment-specific local case/control module evidence; not causal.	results_v3/cross_disease_cell_state_convergence.tsv
