analyzer	status	baseline_rows	pd_rows
analyze_gse73661_uc	completed	0	0
analyze_gse106992_psoriasis	completed	18	36
analyze_gse24742_rituximab	completed	9	27
analyze_gse250453_fingolimod	completed	9	18
analyze_gse235357_dmf	completed	9	18
