feature	n_datasets	baseline_same_direction	delta_same_direction	baseline_mean_hedges_g_r_minus_nr	delta_mean_hedges_g_r_minus_nr	best_baseline_p	best_delta_p	calls	all_dataset_calls_non_no	cross_ms_call
IL1B	2	True	False	-0.48029929845410074	0.2970980501654998	0.251316792729794	0.14766982414907812	NO_MS_RESPONSE_REPLICATION;NO_MS_RESPONSE_REPLICATION	False	NO_CROSS_MS_REPLICATION
LAMP3	2	False	False	-0.03810578111810159	0.02073818147456502	0.43774271660790737	0.3435577084662276	NO_MS_RESPONSE_REPLICATION;NO_MS_RESPONSE_REPLICATION	False	NO_CROSS_MS_REPLICATION
ifn_apc	2	True	True	-0.946196904207832	0.404411906214536	0.03875198719102545	0.44120805254098105	NO_MS_RESPONSE_REPLICATION;MS_BASELINE_SIGNAL_SMALL_N	False	NO_CROSS_MS_REPLICATION
inflammatory_nfkb	2	True	False	-0.513732807108161	0.46084964981976184	0.24591331756928222	0.05017049712917317	MS_TRAJECTORY_SIGNAL_SMALL_N;NO_MS_RESPONSE_REPLICATION	False	NO_CROSS_MS_REPLICATION
lipid_loader_repair	2	False	True	-0.052820229575393535	0.5468406412095568	0.584562519639123	0.30048585221042723	NO_MS_RESPONSE_REPLICATION;NO_MS_RESPONSE_REPLICATION	False	NO_CROSS_MS_REPLICATION
lysosomal_apc	2	True	True	-0.450635474032283	0.6958035732453646	0.389252375703025	0.23781520115597166	NO_MS_RESPONSE_REPLICATION;NO_MS_RESPONSE_REPLICATION	False	NO_CROSS_MS_REPLICATION
