candidate	metric	value
SEL1L3	ms_delta_log2	0.922501683138024
C15ORF48	ms_delta_log2	1.223015588579818
PLEK2	ms_delta_log2	3.0459958234208124
CHI3L1	ms_delta_log2	2.006853151074319
NRCAM	ms_delta_log2	1.2982290374792624
CD58	ms_delta_log2	0.1797564428759965
MFGE8	ms_delta_log2	0.5586776922734735
CD82	ms_delta_log2	0.5036946542270737
CD200	ms_delta_log2	1.8384397244159705
FXYD5	ms_delta_log2	0.3524746864413863
ROMO1	ms_delta_log2	0.4378196442775728
FPR2_ANXA1_BIASED_RESOLUTION	ms_delta_log2	-0.5009801785230293
CD300_RECEPTOR_SPECIFIC_TUNING	ms_delta_log2	-0.3939563926591696
P4HB	ms_delta_log2	-0.1078198500006752
P2RX7	ms_delta_log2	0.0381470371640961
SEL1L3	ms_p	0.0181382735511015
C15ORF48	ms_p	0.0037534871126623
PLEK2	ms_p	0.0073786076112192
CHI3L1	ms_p	0.0046126032857275
NRCAM	ms_p	0.0812547813304489
CD58	ms_p	0.3110884246237163
MFGE8	ms_p	0.0686336045013876
CD82	ms_p	0.1728910748647989
CD200	ms_p	0.0908591902171466
FXYD5	ms_p	0.0587113391653537
ROMO1	ms_p	0.0660650677266765
FPR2_ANXA1_BIASED_RESOLUTION	ms_p	0.4607159346516088
CD300_RECEPTOR_SPECIFIC_TUNING	ms_p	0.2625325814663273
P4HB	ms_p	0.5193269228408691
P2RX7	ms_p	0.8381842171775705
SEL1L3	ms_fdr	0.8372898579012464
C15ORF48	ms_fdr	0.8344760564031432
PLEK2	ms_fdr	0.8344760564031432
CHI3L1	ms_fdr	0.8344760564031432
NRCAM	ms_fdr	0.8989378106274888
CD58	ms_fdr	0.9095100064215184
MFGE8	ms_fdr	0.8989378106274888
CD82	ms_fdr	0.8993702893651148
CD200	ms_fdr	0.8989378106274888
FXYD5	ms_fdr	0.8989378106274888
ROMO1	ms_fdr	0.8989378106274888
FPR2_ANXA1_BIASED_RESOLUTION	ms_fdr	
CD300_RECEPTOR_SPECIFIC_TUNING	ms_fdr	
P4HB	ms_fdr	0.9352591033176444
P2RX7	ms_fdr	0.9761732664217524
SEL1L3	broad_positive_disease_count	4.0
C15ORF48	broad_positive_disease_count	4.0
PLEK2	broad_positive_disease_count	4.0
CHI3L1	broad_positive_disease_count	4.0
NRCAM	broad_positive_disease_count	3.0
CD58	broad_positive_disease_count	0.0
MFGE8	broad_positive_disease_count	0.0
CD82	broad_positive_disease_count	5.0
CD200	broad_positive_disease_count	4.0
FXYD5	broad_positive_disease_count	4.0
ROMO1	broad_positive_disease_count	3.0
FPR2_ANXA1_BIASED_RESOLUTION	broad_positive_disease_count	3.0
CD300_RECEPTOR_SPECIFIC_TUNING	broad_positive_disease_count	2.0
P4HB	broad_positive_disease_count	4.0
P2RX7	broad_positive_disease_count	0.0
SEL1L3	broad_negative_disease_count	0.0
C15ORF48	broad_negative_disease_count	0.0
PLEK2	broad_negative_disease_count	0.0
CHI3L1	broad_negative_disease_count	0.0
NRCAM	broad_negative_disease_count	0.0
CD58	broad_negative_disease_count	0.0
MFGE8	broad_negative_disease_count	0.0
CD82	broad_negative_disease_count	0.0
CD200	broad_negative_disease_count	1.0
FXYD5	broad_negative_disease_count	1.0
ROMO1	broad_negative_disease_count	0.0
FPR2_ANXA1_BIASED_RESOLUTION	broad_negative_disease_count	0.0
CD300_RECEPTOR_SPECIFIC_TUNING	broad_negative_disease_count	0.0
P4HB	broad_negative_disease_count	0.0
P2RX7	broad_negative_disease_count	0.0
SEL1L3	myeloid_positive_disease_count	0.0
C15ORF48	myeloid_positive_disease_count	3.0
PLEK2	myeloid_positive_disease_count	2.0
CHI3L1	myeloid_positive_disease_count	0.0
NRCAM	myeloid_positive_disease_count	0.0
CD58	myeloid_positive_disease_count	0.0
MFGE8	myeloid_positive_disease_count	0.0
CD82	myeloid_positive_disease_count	0.0
CD200	myeloid_positive_disease_count	3.0
FXYD5	myeloid_positive_disease_count	0.0
ROMO1	myeloid_positive_disease_count	1.0
FPR2_ANXA1_BIASED_RESOLUTION	myeloid_positive_disease_count	0.0
CD300_RECEPTOR_SPECIFIC_TUNING	myeloid_positive_disease_count	0.0
P4HB	myeloid_positive_disease_count	0.0
P2RX7	myeloid_positive_disease_count	0.0
SEL1L3	strict_core_residual_disease_count	0.0
C15ORF48	strict_core_residual_disease_count	0.0
PLEK2	strict_core_residual_disease_count	0.0
CHI3L1	strict_core_residual_disease_count	0.0
NRCAM	strict_core_residual_disease_count	0.0
CD58	strict_core_residual_disease_count	0.0
MFGE8	strict_core_residual_disease_count	0.0
CD82	strict_core_residual_disease_count	0.0
CD200	strict_core_residual_disease_count	0.0
FXYD5	strict_core_residual_disease_count	0.0
ROMO1	strict_core_residual_disease_count	0.0
FPR2_ANXA1_BIASED_RESOLUTION	strict_core_residual_disease_count	0.0
CD300_RECEPTOR_SPECIFIC_TUNING	strict_core_residual_disease_count	0.0
P4HB	strict_core_residual_disease_count	0.0
P2RX7	strict_core_residual_disease_count	0.0
SEL1L3	retained_residual_disease_count	1.0
C15ORF48	retained_residual_disease_count	3.0
PLEK2	retained_residual_disease_count	0.0
CHI3L1	retained_residual_disease_count	2.0
NRCAM	retained_residual_disease_count	0.0
CD58	retained_residual_disease_count	0.0
MFGE8	retained_residual_disease_count	0.0
CD82	retained_residual_disease_count	1.0
CD200	retained_residual_disease_count	0.0
FXYD5	retained_residual_disease_count	2.0
ROMO1	retained_residual_disease_count	1.0
FPR2_ANXA1_BIASED_RESOLUTION	retained_residual_disease_count	0.0
CD300_RECEPTOR_SPECIFIC_TUNING	retained_residual_disease_count	0.0
P4HB	retained_residual_disease_count	3.0
P2RX7	retained_residual_disease_count	0.0
SEL1L3	w68_remission_adjusted_delta	
C15ORF48	w68_remission_adjusted_delta	
PLEK2	w68_remission_adjusted_delta	
CHI3L1	w68_remission_adjusted_delta	-2.588217362002581
NRCAM	w68_remission_adjusted_delta	
CD58	w68_remission_adjusted_delta	
MFGE8	w68_remission_adjusted_delta	-2.0993768429507735
CD82	w68_remission_adjusted_delta	-2.6224431975896136
CD200	w68_remission_adjusted_delta	
FXYD5	w68_remission_adjusted_delta	
ROMO1	w68_remission_adjusted_delta	
FPR2_ANXA1_BIASED_RESOLUTION	w68_remission_adjusted_delta	
CD300_RECEPTOR_SPECIFIC_TUNING	w68_remission_adjusted_delta	
P4HB	w68_remission_adjusted_delta	
P2RX7	w68_remission_adjusted_delta	
