feedback_strength	intervention	R_ifngr_availability	S_jak_stat_activity	H_hla_cd74_state	G_ifi30_activity	C_ctss_activity	ifn_apc_readout	hla_ii_cd74_readout	gilt_lysosomal_readout
0.0	control	0.7333333333333334	0.9476923075634839	1.0658921192319104	0.7802904587279138	0.8102904587197899	1.0008822228142757	1.0658921192319104	0.8892510399018754
0.0	ifngr_jak_70pct_suppression	0.7333333333333334	0.28430769234366554	0.6850933750005013	0.49821731483929	0.5282173148340832	0.4646612495392417	0.6850933750005013	0.5726239358941518
0.0	ifi30_70pct_suppression	0.7333333333333334	0.9476923076001283	1.0658921183486254	0.23408713748669438	0.8102904580571169	1.000882222436952	1.0658921183486254	0.6980798769594969
0.0	ifi30_95pct_suppression	0.7333333333333334	0.9476923076063745	1.0658921181710233	0.03901452298227817	0.8102904579241306	1.0008822223604663	1.0658921181710233	0.6298044617808947
0.0	ctss_70pct_suppression	0.7333333333333334	0.9476923075626529	1.0658921192995856	0.7802904587782861	0.24308713772641918	1.0008822228442726	1.0658921192995856	0.7190900436451807
0.0	ifi30_plus_ctss_70pct_suppression	0.7333333333333334	0.9476923075655702	1.0658921193073019	0.23408713772818412	0.2430871377257865	1.0008822228493495	1.0658921193073019	0.5279188812801561
0.25	control	0.923154907690641	1.015129317871121	1.0838789473728632	0.793614035285456	0.8236140352434572	1.046066651146905	1.0838789473728632	0.9042067545034487
0.25	ifngr_jak_70pct_suppression	0.8868901534510503	0.30115355316548437	0.7043647058790409	0.5124923747317792	0.5424923747303613	0.48259857188658484	0.7043647058790409	0.5886476906328953
0.25	ifi30_70pct_suppression	0.8275127750759197	0.9838686337282351	1.0757672150131676	0.2362816033603792	0.8176053444609038	1.0252229953064549	1.0757672150131676	0.7044986897690125
0.25	ifi30_95pct_suppression	0.7537269935776035	0.9560496349744767	1.0682220248774899	0.03910081593028092	0.8120163147679184	1.0065272104308327	1.0682220248774899	0.6311678887130953
0.25	ctss_70pct_suppression	0.9231549083613093	1.0151293179433352	1.0838789439606822	0.7936140326433838	0.24708420998922384	1.0460666496511413	1.0838789439606822	0.7312478048081902
