gene	tested_compartment_count	positive_compartment_count	negative_compartment_count	positive_fdr10_compartment_count	negative_fdr10_compartment_count	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	best_positive_p	best_positive_fdr	max_positive_delta_log2_cpm	median_positive_hedges_g	best_negative_p	min_negative_delta_log2_cpm	top_positive_compartments	in_lipid_lysosomal_myeloid_neighborhood	ms_wm_delta_log2	ms_wm_hedges_g	ms_wm_p	ms_wm_fdr	opentargets_disease_count	opentargets_diseases	opentargets_max_overall	opentargets_max_genetic_association	opentargets_max_known_drug_or_clinical	opentargets_channels_present	existing_priority_score	existing_weighted_evidence_score	existing_ms_anchor_score	existing_positive_disease_count	existing_negative_disease_count	existing_positive_diseases	existing_negative_diseases	existing_prior_flag	ms_positive_nominal	ms_positive_trend	genetic_or_target_db_breadth	discovery_priority_score
CBX3	17	10	0	2	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0012132098737370881	0.09473438494074915	0.8123403245221184	1.7084156224901315			ibd_crohn_epithelial:0.379,p=0.0012;ibd_uc_stromal:0.706,p=0.0014;psoriasis_skin_stromal:0.495,p=0.0031;t1d_stellate_cell:0.392,p=0.0038;t1d_acinar_cell:0.707,p=0.0083;psoriasis_keratinocyte:0.812,p=0.012;ibd_uc_myeloid:0.378,p=0.026;t1d_ductal_cell:0.376,p=0.027	False	0.3505111291715241	1.1456836022078896	0.0165873089490037	0.8372898579012464															True	True	0.0	33.0
IFITM3	17	11	0	2	0	5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		7.048282068496638e-05	0.04905586900382745	2.85363242845868	1.7487095346710362			t1d_acinar_cell:1.25,p=7e-05;ibd_uc_epithelial:2.46,p=0.0005;ibd_uc_myeloid:1.99,p=0.002;t1d_ductal_cell:0.646,p=0.0042;ibd_crohn_epithelial:1.6,p=0.0064;psoriasis_keratinocyte:2.83,p=0.0075;sjogren_gland_apc:0.741,p=0.01;ibd_uc_stromal:0.448,p=0.016	False	-0.4945365481899664	-0.4520775909914464	0.2965069179161008	0.9075477698307116															False	False	0.0	30.0
IFITM2	17	10	0	2	0	5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		4.821348763720166e-06	0.01826786090943896	2.3982936811700775	1.592227443332123			t1d_acinar_cell:2.4,p=4.8e-06;ibd_uc_myeloid:2.05,p=1.5e-05;t1d_ductal_cell:0.993,p=0.0013;ibd_crohn_myeloid:2.06,p=0.0017;ibd_uc_epithelial:2.16,p=0.0022;t1d_endothelial_cell:0.686,p=0.017;t1d_stellate_cell:0.788,p=0.029;ibd_crohn_epithelial:1.29,p=0.031	False	-0.5240543955909676	-0.5509584125995555	0.2031260631187718	0.8993702893651148															False	False	0.0	29.0
TIMP1	17	8	0	4	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		3.321107997568569e-05	0.018428113802618107	3.594293625718059	3.3707610803242862			ibd_uc_stromal:2.09,p=3.3e-05;ibd_uc_myeloid:3.59,p=5e-05;ibd_uc_epithelial:3.44,p=9.4e-05;ibd_crohn_myeloid:2.37,p=0.0004;t1d_acinar_cell:1.65,p=0.001;psoriasis_keratinocyte:1.49,p=0.0078;ibd_crohn_stromal:1.18,p=0.028;t1d_ductal_cell:0.431,p=0.03	False	-0.5836919250703687	-0.3612520416741595	0.415232450290228	0.9185195974256102															False	False	0.0	28.0
PSME2	17	10	0	1	0	5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0005039479934272662	0.07818065916214816	1.819711925457555	1.7485525722614361			ibd_uc_myeloid:1.49,p=0.0005;psoriasis_keratinocyte:1.82,p=0.0032;ibd_uc_stromal:0.635,p=0.0072;psoriasis_skin_apc:1.69,p=0.014;ibd_crohn_myeloid:1.17,p=0.016;psoriasis_skin_stromal:0.978,p=0.038;sjogren_gland_epithelial:0.27,p=0.039;sjogren_gland_stromal:0.335,p=0.041	False	-0.2525338557141818	-0.2981812295712949	0.4970034386143676	0.9275874758277628							1.3430672567355757	-0.1569327432644244	1.5	0.0	0.0				False	False	0.0	27.06715336283678
CFB	16	9	0	2	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		1.5481139262681817e-08	0.0001390406989287878	3.6303970852488683	1.634231803786843			t1d_stellate_cell:3.63,p=1.5e-08;ibd_crohn_epithelial:2.3,p=0.00029;psoriasis_keratinocyte:2.4,p=0.004;t1d_ductal_cell:2.28,p=0.011;ibd_crohn_stromal:1.93,p=0.016;psoriasis_skin_stromal:0.917,p=0.026;ibd_uc_epithelial:2.62,p=0.026;t1d_acinar_cell:3.54,p=0.027	False	-0.9822682065524936	-0.4902731400669143	0.2868607768107353	0.9055783835864206							0.0919539526362505	-1.4080460473637495	1.5	0.0	1.0		MS		False	False	0.0	25.004597697631812
MPHOSPH6	17	9	0	2	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		2.856794085122812e-06	0.009750238212524158	1.492887931532782	1.27959043775588			ibd_uc_myeloid:1.49,p=2.9e-06;t1d_beta_cell:1.39,p=1.9e-05;t1d_acinar_cell:1.24,p=0.0043;psoriasis_keratinocyte:1.4,p=0.0059;t1d_stellate_cell:1.42,p=0.018;ibd_uc_stromal:0.832,p=0.019;t1d_ductal_cell:0.959,p=0.019;t1d_endothelial_cell:1.44,p=0.043	False	-0.5952492354373149	-0.6289133242544074	0.1685973390358947	0.8989378106274888															False	False	0.0	25.0
MMP7	15	7	0	3	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		3.734151797283838e-05	0.016210321418572253	5.172586331893583	1.8069713499380846			ibd_uc_epithelial:5.17,p=3.7e-05;t1d_endothelial_cell:4.48,p=4.3e-05;t1d_stellate_cell:4.73,p=0.00023;t1d_acinar_cell:2.39,p=0.0017;t1d_ductal_cell:0.53,p=0.029;ibd_crohn_epithelial:1.8,p=0.037;psoriasis_keratinocyte:1.55,p=0.038	False	1.836134503047833	0.5794242319458226	0.1901690746366625	0.8993702893651148															False	False	0.0	25.0
FMNL2	17	5	0	0	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.002876202024805603	0.11704739392969689	1.458620390779716	1.728910431209957			ibd_uc_epithelial:1.27,p=0.0029;ibd_crohn_epithelial:0.603,p=0.01;psoriasis_keratinocyte:1.46,p=0.015;t1d_endothelial_cell:1.33,p=0.019;t1d_ductal_cell:0.885,p=0.035	False	0.4116873433440275	1.0373027404352155	0.0323812070948891	0.8506970233122761							2.173760330676849	0.3368801653384247	1.8368801653384248	1.0	0.0	MS			True	True	0.0	24.108688016533844
EEF1E1	17	7	0	1	0	5	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0004972693893745758	0.0588131484732514	0.9707655135659383	1.5349052759455264			ibd_uc_stromal:0.971,p=0.0005;t1d_acinar_cell:0.539,p=0.00065;ibd_crohn_stromal:0.874,p=0.0057;sjogren_gland_apc:0.786,p=0.0057;ibd_uc_epithelial:0.832,p=0.018;sjogren_gland_epithelial:0.492,p=0.027;psoriasis_keratinocyte:0.54,p=0.038	False	-1.1784102252943471	-0.577879365714574	0.2145941794042359	0.8993702893651148															False	False	0.0	24.0
