gene	modules	n_primary_contexts	n_primary_overlap_groups	nonresponse_high_contexts	responder_high_contexts	nominal_nonresponse_contexts_p_lt_0_05	fdr10_nonresponse_contexts	weighted_mean_hedges_g_responder_minus_non	median_auc_high_score_nonresponse	min_p	best_context	best_context_p	best_context_effect	meta_rank_score	call
IL1B	inflammatory_nfkb	4	4	4	0	3	3	-1.6949960469299326	0.8973958333333334	6.0045207181083906e-05	GSE16879_Crohn_colitis_Leuven_baseline	6.0045207181083906e-05	-1.5935172483524056	24.592391880263268	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR
CXCL8	inflammatory_nfkb	4	4	4	0	3	3	-1.7015926386898363	0.8848958333333333	6.652270422766353e-07	GSE16879_Crohn_colitis_Leuven_baseline	6.652270422766353e-07	-1.7061126291873334	24.58648847202317	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR
TREM1	inflammatory_nfkb	4	4	4	0	3	3	-1.6287105832711166	0.8826264880952381	3.486426152596833e-05	GSE12251_UC_ACT1_baseline	3.486426152596833e-05	-1.541134024247048	24.511337071366352	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR
CCL4	inflammatory_nfkb	4	4	4	0	3	3	-1.533330874218231	0.8694010416666667	0.0003529140606125063	GSE16879_Crohn_colitis_Leuven_baseline	0.0003529140606125063	-1.7150940703210993	24.402731915884896	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR
CCL3	inflammatory_nfkb	4	4	4	0	3	3	-1.3914078199742885	0.8479166666666667	8.3902184022792e-05	GSE16879_Crohn_colitis_Leuven_baseline	8.3902184022792e-05	-1.6296133079502724	24.239324486640957	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR
CD44	mif_cd74_receptor_state	4	4	4	0	3	3	-1.3047727761355625	0.7994791666666667	0.0005174972137610373	GSE16879_Crohn_colitis_Leuven_baseline	0.0005174972137610373	-1.6218720608535788	24.10425194280223	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR
CCL2	inflammatory_nfkb	4	4	4	0	3	2	-1.4102593044201093	0.825	0.00016062719696539041	GSE16879_Crohn_colitis_Leuven_baseline	0.00016062719696539041	-1.6562136579545155	22.735259304420108	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR
ACSL1	lipid_loader_repair	4	4	4	0	3	2	-1.3279261929404635	0.8218005952380952	0.00044322765643677243	GSE12251_UC_ACT1_baseline	0.00044322765643677243	-1.445752335426933	22.649726788178558	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR
IFI30	ifn_apc;lysosomal_apc	4	4	4	0	3	2	-0.9749187121510497	0.79453125	0.01215479020941262	GSE12251_UC_ACT1_baseline	0.01215479020941262	-0.9975958907543747	22.269449962151047	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR
OSM	inflammatory_nfkb	4	4	4	0	2	2	-1.431254442057994	0.8145833333333333	0.0002320784273026676	GSE12251_UC_ACT1_baseline	0.0002320784273026676	-1.5269367748919318	20.74583777539133	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR
