gene	module
STAT1	ifn_apc
IRF1	ifn_apc
CXCL10	ifn_apc
GBP1	ifn_apc
CD74	ifn_apc
IFI30	ifn_apc
HLA-DRA	ifn_apc
HLA-DRB1	ifn_apc
CD74	hla_ii_apc
HLA-DRA	hla_ii_apc
HLA-DRB1	hla_ii_apc
HLA-DPA1	hla_ii_apc
HLA-DPB1	hla_ii_apc
CIITA	hla_ii_apc
RFX5	hla_ii_apc
IFI30	lysosomal_apc
CTSS	lysosomal_apc
CTSB	lysosomal_apc
CTSD	lysosomal_apc
LAMP1	lysosomal_apc
LAMP2	lysosomal_apc
LAMP3	lysosomal_apc
CD74	mif_cd74_receptor_state
CD44	mif_cd74_receptor_state
CXCR4	mif_cd74_receptor_state
HLA-DRA	mif_cd74_receptor_state
HLA-DRB1	mif_cd74_receptor_state
HLA-DPA1	mif_cd74_receptor_state
HLA-DPB1	mif_cd74_receptor_state
ACSL1	lipid_loader_repair
APOE	lipid_loader_repair
GPNMB	lipid_loader_repair
LPL	lipid_loader_repair
PLIN2	lipid_loader_repair
CD36	lipid_loader_repair
LIPA	lipid_loader_repair
FABP5	lipid_loader_repair
TREM2	lipid_loader_repair
MSR1	lipid_loader_repair
MERTK	lipid_loader_repair
SPP1	lipid_loader_repair
C1QA	complement_phagocytosis
C1QB	complement_phagocytosis
C1QC	complement_phagocytosis
CD68	complement_phagocytosis
TREM2	complement_phagocytosis
MERTK	complement_phagocytosis
MSR1	complement_phagocytosis
IL1B	inflammatory_nfkb
TNF	inflammatory_nfkb
CXCL8	inflammatory_nfkb
CCL2	inflammatory_nfkb
CCL3	inflammatory_nfkb
CCL4	inflammatory_nfkb
NFKBIA	inflammatory_nfkb
TREM1	inflammatory_nfkb
OSM	inflammatory_nfkb
