gene	foundation_rows	foundation_supportive_text	foundation_do_not_promote_text	best_context	best_projection_like_value
CD58	0	0	0		
SPNS1	0	0	0		
P4HB	0	0	0		
SEL1L3	27	1	1	IBD_epithelial	0.0013221204280853
IFI30	12	1	1	IBD_myeloid	0.0006078680162318
