gene	contexts_tested	positive_contexts	negative_contexts	positive_disease_count	positive_diseases	negative_disease_count	negative_diseases	best_context	best_disease	best_delta_log2_cpm	best_p	best_fdr
P4HB	17	4	0	4	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	0		ibd_uc_epithelial	ulcerative colitis	1.1064191380856796	0.0001651252932294	0.0282149116521777
SEL1L3	17	3	0	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0		ibd_uc_stromal	ulcerative colitis	2.092734190002885	0.0010368895881306	0.0851932372069878
CD58	17	3	0	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0		ibd_uc_myeloid	ulcerative colitis	0.9649057875943798	0.0022384124118792	0.1376522803917813
SPNS1	17	4	0	3	Crohn disease;Sjogren syndrome;psoriasis	0		ibd_crohn_epithelial	Crohn disease	1.0736029438716854	0.002552579203456	0.1202095769864437
IFI30	17	3	0	3	psoriasis;type 1 diabetes mellitus;ulcerative colitis	0		ibd_uc_myeloid	ulcerative colitis	1.102675107097956	0.0099920114564987	0.234125173330645
