gene	wave79_call	gate_count	gate_ms_anchor	gate_ms_nonnegative_guardrail	gate_breadth_ge3	gate_apc_myeloid_ge2	gate_adjusted_ra_ibd_response_specific	gate_genetics_or_target_resolution	gate_residual_survival	gate_model_or_perturbation	gate_modality	gate_prior_not_blocked	positive_disease_count	positive_diseases	apc_myeloid_positive_disease_count	apc_myeloid_positive_diseases	non_target_positive_disease_count	ms_delta_log2	ms_p	ms_fdr	ms_max_l2g_score	qtl_strong_h4_disease_count	qtl_strong_h4_diseases	best_response_endpoint	ra_response_p	ibd_response_p	ra_target_generic_abs_ratio	ibd_target_generic_abs_ratio	strict_residual_surviving_disease_count	foundation_rows	foundation_supportive_text	foundation_do_not_promote_text	chembl_activity_count	modality_strength	wave62_call	wave39_call	wave21_call	wave71_call	decision_reason	is_target_gene
CD58	PARK_TARGETABILITY_SHORTLIST_NODE	8	1	1	1	1	0	1	0	1	1	1	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	2	Crohn disease;ulcerative colitis	1	0.1797564428759965	0.3110884246237163	0.9095100064215184	0.9513845443725586	2	Crohn;MS	baseline_pre	0.002977517998379077	0.17319632161569962	11.71373975684199	1.6234893993922108	0.0	0	0	0	0.0	surface_biologic_possible	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE			NO_REOPEN_INSUFFICIENT_CONVERGENCE	partial support remains but one or more critical targetability gates fail	True
P4HB	NO_GO_TARGETABILITY_SHORTLIST_NODE	3	0	1	1	0	0	0	0	0	1	0	4	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	1	psoriasis	3	-0.1078198500006752	0.5193269228408691	0.9352591033176444		0		baseline_pre	0.038032112689755364	0.5078835692184398	7.40616165321983	1.7024885212784497	0.0	0	0	0	702.0	chembl_enzyme_but_broad_er_redox		NO_GO_SURFACEOME_RESCUE	DEMOTE_WAVE21	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient target-level convergence after strict gates	True
SPNS1	NO_GO_TARGETABILITY_SHORTLIST_NODE	3	0	1	1	1	0	0	0	0	0	0	3	Crohn disease;Sjogren syndrome;psoriasis	2	Crohn disease;Sjogren syndrome	2	-0.1044989193858096	0.4834570887940685	0.926038761164836	0.0	0		baseline_pre	0.16040085592737452	0.30713728585899686	6.845391674433406	1.6894373780068712	1.0	0	0	0	0.0	lysosomal_transporter_no_chemical_matter	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_SURFACEOME_RESCUE			insufficient target-level convergence after strict gates	True
SEL1L3	NO_GO_TARGETABILITY_SHORTLIST_NODE	3	1	1	1	0	0	0	0	0	0	0	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0		3	0.922501683138024	0.0181382735511015	0.8372898579012464	0.0	0		delta_post_minus_pre	0.2526646860337896	0.4193963103164196	1.5861233326495991	11.242924107398865	1.0	27	1	1		undercharacterized_membrane_marker	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_SURFACEOME_RESCUE		NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient target-level convergence after strict gates	True
IFI30	NO_GO_TARGETABILITY_SHORTLIST_NODE	5	1	1	1	1	0	1	0	0	0	0	3	psoriasis;type 1 diabetes mellitus;ulcerative colitis	2	psoriasis;ulcerative colitis	0	0.21016237009791	0.379946954952182	0.9141270983319502	0.6501023173332214	3	Celiac;Crohn;MS	baseline_pre	0.3778191741777486	0.6648210415593697	3.289552564282908	1.039434161797475	1.0	12	1	1	0.0	benchmark_antigen_processing_no_clean_modality	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE			NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient target-level convergence after strict gates	False
