gene	endpoint	ra_comparison	ra_coef	ra_p	ra_fdr	ra_generic_coef	ra_target_generic_abs_ratio	ibd_cell_state	ibd_coef	ibd_p	ibd_fdr	ibd_generic_coef	ibd_target_generic_abs_ratio	sign_stable	both_p10	both_ratio_ge2	response_specificity_pass	priority
CD58	baseline_pre	good_vs_moderate_none	0.9104019298750732	0.002977517998379077	0.05955035996758154	0.07772086018415321	11.71373975684199	Mono_macro	0.18177812670183693	0.17319632161569962	0.6413324389877795	-0.11196754765992904	1.6234893993922108	True	False	False	False	1
P4HB	baseline_pre	good_vs_moderate_none	0.5756132543511354	0.038032112689755364	0.1901605634487768	0.07772086018415321	7.40616165321983	Mono_macro	0.19062346464672694	0.5078835692184398	0.7813593372591381	-0.11196754765992904	1.7024885212784497	True	False	False	False	1
CD58	delta_post_minus_pre	good_vs_moderate_none	0.7432666905832801	0.0800622542881338	0.266874180960446	-0.2765782952193097	2.6873644947226065	Mono_macro	0.2535102920324661	0.32840808735032323	0.7019844853041994	-0.3388644715630794	0.7481170594931352	True	False	False	False	1
SPNS1	baseline_pre	good_vs_moderate_none	-0.5320297292344052	0.16040085592737452	0.4010021398184363	0.07772086018415321	6.845391674433406	DC	-0.25939430530233504	0.30713728585899686	0.7019844853041994	0.15353886961371588	1.6894373780068712	True	False	False	False	1
SEL1L3	delta_post_minus_pre	good_vs_moderate_none	-0.43868728735179624	0.2526646860337896	0.42784773371930845	-0.2765782952193097	1.5861233326495991	DC	-0.22020174660339575	0.4193963103164196	0.7019844853041994	-0.019585807437629416	11.242924107398865	True	False	False	False	1
IFI30	baseline_pre	good_vs_moderate_none	-0.25566685491705454	0.3778191741777486	0.5397416773967837	0.07772086018415321	3.289552564282908	DC	-0.15959354624026456	0.6648210415593697	0.8310263019492121	0.15353886961371588	1.039434161797475	True	False	False	False	1
IFI30	delta_post_minus_pre	moderate_good_vs_none	0.34293627509798	0.42994544419660075	0.5732605922621343	-0.07901540616057734	4.3401191205808045	DC	0.7586521421312603	0.0026607635674603856	0.053215271349207706	-0.019585807437629416	38.734790206999214	True	False	True	False	1
SEL1L3	baseline_pre	good_vs_moderate_none	-0.8318158393101742	0.008055305708001448	0.08055305708001448	0.07772086018415321	10.702607219467911	Mono_macro	0.29766273470797155	0.19239973169633384	0.6413324389877795	-0.11196754765992904	2.658473289171619	False	False	False	False	0
P4HB	delta_post_minus_pre	good_vs_moderate_none	0.4776157046642966	0.20239289121819695	0.42784773371930845	-0.2765782952193097	1.7268734131345211	DC	-0.7181999903186269	0.0699120471727505	0.34956023586375246	-0.019585807437629416	36.66940934683032	False	False	False	False	0
SPNS1	delta_post_minus_pre	good_vs_moderate_none	0.4235434224145109	0.23564243547191058	0.42784773371930845	-0.2765782952193097	1.5313689820767273	Mono_macro	-0.599838077968715	0.04780138781675666	0.31867591877837775	-0.3388644715630794	1.7701415412534787	False	False	False	False	0
