analysis	dataset_path	disease_name	compartment	role	gene	n_case_donors	n_control_donors	mean_case_log2_cpm	mean_control_log2_cpm	delta_log2_cpm	hedges_g	welch_t	p	mean_case_detection_fraction	mean_control_detection_fraction	detected_donor_fraction	mean_log2_cpm	in_lipid_lysosomal_myeloid_neighborhood	fdr	positive_nominal	negative_nominal	positive_fdr10	negative_fdr10	nominal_positive	nominal_negative
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	CD58	6	6	6.438995790372672	5.474090002778293	0.9649057875943798	2.198765638727077	4.125738283562925	0.0022384124118792	0.2353892093232123	0.1379814825516686	1.0	5.956542896575482	False	0.1376522803917813	True	False	False	False	True	False
t1d_acinar_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	CD58	5	18	4.084937621693435	3.3144735617453613	0.7704640599480741	1.374756987094384	3.1672313051561445	0.0139773675608707	0.0612916948603156	0.0398155555133874	1.0	3.4819657486905946	False	0.4435081649818191	True	False	False	False	True	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	CD58	6	6	6.0699488307882765	5.474090002778293	0.5958588280099839	1.4012154714050575	2.6292244212272293	0.0267286956448329	0.2076289435402258	0.1379814825516686	1.0	5.772019416783285	False	0.3234287881663937	True	False	False	False	True	False
ibd_uc_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	tissue_resident	CD58	6	6	4.22464621466804	3.424786543125373	0.7998596715426669	1.005695789386428	1.887075887856664	0.0952778794363456	0.0876283866292049	0.046644677753922	1.0	3.824716378896705	False	0.4624793572516464	False	False	False	False	False	False
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	CD58	11	14	5.649352935263449	5.3297352997842555	0.3196176354791937	0.6599886916480883	1.701618095093078	0.102936915394518	0.0858217769575327	0.1180559328822678	1.0	5.470367059395101	False	0.8441184433525579	False	False	False	False	False	False
psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	myeloid_apc	CD58	3	3	7.792956403557088	9.019007616913088	-1.2260512133560004	-1.6195219599822666	-2.479376518242919	0.1253659785603313	0.4943104288499025	0.579776493256262	1.0	8.405982010235087	False	0.7297013371935511	False	False	False	False	False	False
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	CD58	3	3	5.979645422489276	5.418993303181992	0.5606521193072842	1.0153150715652834	1.5543774084327062	0.1978707577387003	0.4249987615948418	0.2964459654122374	1.0	5.699319362835634	False	0.5504717317892978	False	False	False	False	False	False
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	CD58	3	19	3.1938338786131717	2.201014797806064	0.9928190808071076	0.9282687582828714	1.3458346848907872	0.2891512595764977	0.0427240648626411	0.0347916545135624	0.9090909090909092	2.336399217916125	False	0.8418895858264407	False	False	False	False	False	False
psoriasis_skin_stromal	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	tissue_resident	CD58	3	3	5.352108953947322	5.1497233732028125	0.2023855807445098	0.7369019940736125	1.1281461724498651	0.3376258790916052	0.2627572034918104	0.2071116987137628	1.0	5.250916163575067	False	0.7402565067172746	False	False	False	False	False	False
sjogren_gland_stromal	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	CD58	10	14	6.065578521807071	6.244171706806127	-0.1785931849990563	-0.3549498565462207	-0.8311673450542969	0.4191840171171753	0.0959169476564011	0.1318046571457809	1.0	6.169757879723188	False	0.9049326754136924	False	False	False	False	False	False
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	CD58	6	6	4.565452438961857	4.374261534976685	0.1911909039851718	0.3142739290389684	0.5896999469722718	0.5744237474796365	0.0623316799887258	0.0604911249930445	1.0	4.469856986969271	False	0.8141435073503706	False	False	False	False	False	False
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	CD58	5	19	6.112741133265468	5.98870818294743	0.1240329503180381	0.2227186452286382	0.5504445853089953	0.5963625351632363	0.3040670835436211	0.2581341284130854	1.0	6.014548380930354	False	0.8129244865367317	False	False	False	False	False	False
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	CD58	9	13	7.044898672618943	6.953123534918687	0.0917751377002558	0.1472523189664426	0.3388663658201853	0.7394686846369862	0.1809903598575118	0.2226287435959228	1.0	6.9906679094324256	False	0.9902620263503026	False	False	False	False	False	False
t1d_endothelial_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	CD58	5	17	5.451741227631945	5.305642393265092	0.1460988343668523	0.1088708792704479	0.3108946587755267	0.7606604601212887	0.1404108820843849	0.1147112848514303	0.9545454545454546	5.338846673803013	False	0.9136427063283272	False	False	False	False	False	False
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	CD58	6	6	4.439838724802844	4.374261534976685	0.0655771898261594	0.1525081330625896	0.2861644879512035	0.7813690418301857	0.0739468089501489	0.0604911249930445	1.0	4.407050129889765	False	0.897656076827227	False	False	False	False	False	False
ibd_crohn_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	tissue_resident	CD58	6	6	3.356636180293041	3.424786543125373	-0.0681503628323318	-0.0480393377158872	-0.0901404548263663	0.9311660040341162	0.0808894901244564	0.046644677753922	0.9166666666666666	3.3907113617092066	False	0.9842469996632384	False	False	False	False	False	False
t1d_stellate_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	CD58	4	17	5.329236081037717	5.320911271112086	0.0083248099256305	0.0118230599929364	0.0282890053729212	0.978274042121924	0.1967050854016564	0.1757019378250075	1.0	5.322496949193157	False	0.99160125701854	False	False	False	False	False	False
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	IFI30	6	6	8.035497426193542	6.932822319095586	1.102675107097956	1.6895542762856646	3.170260002728038	0.0099920114564987	0.3637401906579744	0.1759849306946798	1.0	7.484159872644565	True	0.234125173330645	True	False	False	False	True	False
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	IFI30	3	19	2.2675214191063024	1.4553757176877469	0.8121457014185558	0.7573935564109164	2.756237051747991	0.0151792369576658	0.017873089178072	0.0130793801407682	0.7727272727272727	1.566122858790277	True	0.3354388831820603	True	False	False	False	True	False
psoriasis_skin_stromal	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	tissue_resident	IFI30	3	3	0.5875304827331174	0.2705149649160323	0.317015517817085	2.8475868298321334	4.359459207098924	0.0220807157568995	0.0056060847600186	0.0017429277936736	1.0	0.4290227238245749	True	0.5484245698960116	True	False	False	False	False	False
psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	myeloid_apc	IFI30	3	3	4.193922031516598	3.6564469344592054	0.5374750970573925	1.866555399991659	2.8575676916350763	0.0488900207867186	0.1116349902534113	0.0796339113680154	1.0	3.925184482987902	True	0.7297013371935511	True	False	False	False	True	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	IFI30	6	6	7.650095286193615	6.932822319095586	0.7172729670980287	1.1369441493013954	2.133348784621375	0.0587351072424498	0.2340546948451127	0.1759849306946798	1.0	7.291458802644601	True	0.4169029247437675	False	False	False	False	False	False
ibd_uc_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	tissue_resident	IFI30	6	6	1.1499444892871662	2.4973372509501415	-1.3473927616629753	-1.0024820961675385	-1.881045751260353	0.0967696072395511	0.0068455043495301	0.0278178847220636	0.75	1.8236408701186535	True	0.4659164658867894	False	False	False	False	False	False
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	IFI30	5	19	3.405270196815404	2.351698378314493	1.0535718185009109	0.7468676550828032	1.576123539434188	0.1623869236757709	0.054181893852883	0.0198357797663355	0.9166666666666666	2.5711925071688495	True	0.559665614670554	False	False	False	False	False	False
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	IFI30	3	3	0.853803573487414	0.4940325606939317	0.3597710127934822	1.0026777612303293	1.5350305571565577	0.2012354009093203	0.0112390300495729	0.0045854030005058	1.0	0.6739180670906729	True	0.5519682367015982	False	False	False	False	False	False
t1d_acinar_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	IFI30	5	18	3.700950677079524	2.60536913289718	1.0955815441823442	0.7152519148377985	1.2877159895944468	0.2492731579277335	0.0474240974508636	0.029616673737587	0.9130434782608696	2.8435390338063855	True	0.650680615042498	False	False	False	False	False	False
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	IFI30	6	6	2.3424210582766123	3.4000280618385283	-1.057607003561916	-0.6717922766788259	-1.2605432182851029	0.2506566236720592	0.0186899070122754	0.0297446833173316	0.8333333333333334	2.8712245600575703	True	0.6027639165667898	False	False	False	False	False	False
t1d_endothelial_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	IFI30	5	17	2.0926237622267903	1.5441156365032307	0.5485081257235596	0.3423618312687663	0.7746247109529467	0.4615619801221068	0.0116350671723928	0.0097852529343715	0.5909090909090909	1.668776574167676	True	0.7726750842868051	False	False	False	False	False	False
