component	present	missing	n_present
isg_only	STAT1;IRF1;CXCL10;GBP1;ISG15		5
cd74_alone	CD74		1
receptor_only_cd74_cd44_cxcr4	CD74;CD44;CXCR4		3
hla_ii_without_cd74	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1		4
ifn_apc	STAT1;IRF1;CXCL10;GBP1;ISG15;CD74;HLA-DRA		7
monocyte_marker	LYZ;LST1;S100A8;S100A9;FCGR3A	MS4A7	5
pdc_marker	GZMB;IRF7;TCF4;IL3RA	CLEC4C	4
neutrophil_marker	CSF3R;FCGR3B;S100A8;S100A9;MPO		5
platelet_marker	PPBP;PF4;ITGA2B;GP9		4
erythroid_marker	HBB;HBA1;ALAS2	HBA2	3
