component	n_pre	n_month9	mean_pre	mean_month9	delta_month9_minus_pre	hedges_g	welch_p	fdr
isg_only	8	9	7.866308950566666	8.732593821459258	0.8662848708925912	1.1650466279097202	0.02448853974034433	0.07217826907245593
cd74_alone	8	9	12.41116754375	12.472027164444444	0.06085962069444406	0.1996178698547375	0.6696070367084628	0.6696070367084628
receptor_only_cd74_cd44_cxcr4	8	9	10.775366794753474	10.924276856455245	0.14891006170177157	0.6085515713906783	0.23934430075099858	0.3419204296442837
hla_ii_without_cd74	8	9	11.43294109496875	11.534667672694447	0.10172657772569593	0.34479641188020244	0.4898578270285561	0.559951016873679
ifn_apc	8	9	9.101746620136904	9.737609626439152	0.6358630063022481	1.0723962239804705	0.03686721892111262	0.07217826907245593
monocyte_marker	8	9	10.749162389183333	10.845034882207408	0.09587249302407486	0.32191278626682424	0.5039559151863111	0.559951016873679
pdc_marker	8	9	7.669287345258928	7.437666231571429	-0.23162111368749905	-1.042671101753469	0.03844814819175888	0.07217826907245593
neutrophil_marker	8	9	8.800685126024998	9.115246073833333	0.3145609478083351	1.1330365830564075	0.02622644650507269	0.07217826907245593
platelet_marker	8	9	8.972346697976564	9.7930044368125	0.8206577388359371	1.031401084388657	0.043306961443473554	0.07217826907245593
erythroid_marker	8	9	8.505851408395834	11.297724344320988	2.791872935925154	1.3560227945307173	0.009582015527605712	0.07217826907245593
