component	covariates	n_pre	n_month9	mean_pre	mean_month9	delta_month9_minus_pre	hedges_g	welch_p	fdr
ifn_apc	monocyte_only	8	9	-0.24079902657327157	0.21404357917619402	0.45484260574946556	1.5423065917460004	0.004113314623137636	0.03084985967353227
ifn_apc	monocyte_pdc	8	9	-0.21725182796731013	0.19311273597089398	0.4103645639382041	1.3186141770660242	0.01106843658907962	0.0553421829453981
ifn_apc	all_available_composition	8	9	-0.050246707587345174	0.0446637400776745	0.09491044766501967	0.4310631558347344	0.37852840121224257	0.6091764680528859
isg_only	monocyte_only	8	9	-0.34024632180875103	0.3024411749410763	0.6426874967498273	1.6041766018522616	0.0030739757020159693	0.03084985967353227
isg_only	monocyte_pdc	8	9	-0.28015186811871284	0.24902388277216808	0.529175750890881	1.2205038908986352	0.01689510168813591	0.06335663133050966
isg_only	all_available_composition	8	9	-0.06710870373889599	0.05965218110124759	0.12676088484014358	0.4068719063528436	0.40497182678966404	0.6091764680528859
cd74_alone	monocyte_only	8	9	-0.008154880630345973	0.0072487827825131745	0.015403663412859148	0.05683582539864282	0.9002191589085596	0.9563764509684067
cd74_alone	monocyte_pdc	8	9	-0.08465094437848508	0.07524528389197489	0.15989622827045996	0.7757752611439979	0.10929611541574503	0.3278883462472351
cd74_alone	all_available_composition	8	9	-0.002838062257059182	0.0025227220062610124	0.005360784263320194	0.03486462211263273	0.9414760974887283	0.9563764509684067
receptor_only_cd74_cd44_cxcr4	monocyte_only	8	9	-0.08156170605462809	0.07249929427077974	0.15406100032540782	0.633601072100419	0.22268897765853984	0.5567224441463495
receptor_only_cd74_cd44_cxcr4	monocyte_pdc	8	9	-0.052444034981037335	0.046616919983135024	0.09906095496417236	0.4039137695720078	0.41683788541668104	0.6091764680528859
receptor_only_cd74_cd44_cxcr4	all_available_composition	8	9	-0.04728614352232485	0.042032127575518094	0.08931827109784295	0.3835426679811484	0.4467294099054496	0.6091764680528859
hla_ii_without_cd74	monocyte_only	8	9	-0.01747139134756548	0.015530125642258912	0.03300151698982439	0.15935374572144306	0.7424346440619511	0.9280433050774389
hla_ii_without_cd74	monocyte_pdc	8	9	-0.05475323728036541	0.04866954424921231	0.10342278152957772	0.5575608935544307	0.26346808134123034	0.5645744600169221
hla_ii_without_cd74	all_available_composition	8	9	-0.002290033376711076	0.0020355852238006142	0.0043256186005116905	0.02614310012270883	0.9563764509684067	0.9563764509684067
