seed	donors	effect_scale	check	status
57061	9	0.80	false_promotion_le_0.05	PASS
57061	9	0.80	any_true_rescue_ge_0.80	FAIL
57061	9	0.80	precision_ge_0.90	PASS
57061	9	0.80	false_promotion_below_average	PASS
57061	9	0.80	true_rescue_loss_le_0.10	FAIL
57061	9	1.00	false_promotion_le_0.05	PASS
57061	9	1.00	any_true_rescue_ge_0.80	FAIL
57061	9	1.00	precision_ge_0.90	PASS
57061	9	1.00	false_promotion_below_average	PASS
57061	9	1.00	true_rescue_loss_le_0.10	FAIL
57061	10	0.80	false_promotion_le_0.05	PASS
57061	10	0.80	any_true_rescue_ge_0.80	FAIL
57061	10	0.80	precision_ge_0.90	PASS
57061	10	0.80	false_promotion_below_average	PASS
57061	10	0.80	true_rescue_loss_le_0.10	FAIL
57061	10	1.00	false_promotion_le_0.05	PASS
57061	10	1.00	any_true_rescue_ge_0.80	PASS
57061	10	1.00	precision_ge_0.90	PASS
57061	10	1.00	false_promotion_below_average	PASS
57061	10	1.00	true_rescue_loss_le_0.10	FAIL
57061	11	0.80	false_promotion_le_0.05	PASS
57061	11	0.80	any_true_rescue_ge_0.80	PASS
57061	11	0.80	precision_ge_0.90	PASS
57061	11	0.80	false_promotion_below_average	PASS
57061	11	0.80	true_rescue_loss_le_0.10	FAIL
57061	11	1.00	false_promotion_le_0.05	PASS
57061	11	1.00	any_true_rescue_ge_0.80	PASS
57061	11	1.00	precision_ge_0.90	PASS
57061	11	1.00	false_promotion_below_average	PASS
57061	11	1.00	true_rescue_loss_le_0.10	PASS
57062	9	0.80	false_promotion_le_0.05	PASS
57062	9	0.80	any_true_rescue_ge_0.80	FAIL
57062	9	0.80	precision_ge_0.90	PASS
57062	9	0.80	false_promotion_below_average	PASS
57062	9	0.80	true_rescue_loss_le_0.10	FAIL
57062	9	1.00	false_promotion_le_0.05	PASS
57062	9	1.00	any_true_rescue_ge_0.80	FAIL
57062	9	1.00	precision_ge_0.90	PASS
57062	9	1.00	false_promotion_below_average	PASS
57062	9	1.00	true_rescue_loss_le_0.10	FAIL
57062	10	0.80	false_promotion_le_0.05	PASS
57062	10	0.80	any_true_rescue_ge_0.80	FAIL
57062	10	0.80	precision_ge_0.90	PASS
57062	10	0.80	false_promotion_below_average	PASS
57062	10	0.80	true_rescue_loss_le_0.10	FAIL
57062	10	1.00	false_promotion_le_0.05	PASS
57062	10	1.00	any_true_rescue_ge_0.80	PASS
57062	10	1.00	precision_ge_0.90	PASS
57062	10	1.00	false_promotion_below_average	PASS
57062	10	1.00	true_rescue_loss_le_0.10	FAIL
57062	11	0.80	false_promotion_le_0.05	PASS
57062	11	0.80	any_true_rescue_ge_0.80	PASS
57062	11	0.80	precision_ge_0.90	PASS
57062	11	0.80	false_promotion_below_average	PASS
57062	11	0.80	true_rescue_loss_le_0.10	FAIL
57062	11	1.00	false_promotion_le_0.05	PASS
57062	11	1.00	any_true_rescue_ge_0.80	PASS
57062	11	1.00	precision_ge_0.90	PASS
57062	11	1.00	false_promotion_below_average	PASS
57062	11	1.00	true_rescue_loss_le_0.10	PASS
57063	9	0.80	false_promotion_le_0.05	PASS
57063	9	0.80	any_true_rescue_ge_0.80	FAIL
57063	9	0.80	precision_ge_0.90	PASS
57063	9	0.80	false_promotion_below_average	PASS
57063	9	0.80	true_rescue_loss_le_0.10	FAIL
57063	9	1.00	false_promotion_le_0.05	PASS
57063	9	1.00	any_true_rescue_ge_0.80	FAIL
57063	9	1.00	precision_ge_0.90	PASS
57063	9	1.00	false_promotion_below_average	PASS
57063	9	1.00	true_rescue_loss_le_0.10	FAIL
57063	10	0.80	false_promotion_le_0.05	PASS
57063	10	0.80	any_true_rescue_ge_0.80	FAIL
57063	10	0.80	precision_ge_0.90	PASS
57063	10	0.80	false_promotion_below_average	PASS
57063	10	0.80	true_rescue_loss_le_0.10	FAIL
57063	10	1.00	false_promotion_le_0.05	PASS
57063	10	1.00	any_true_rescue_ge_0.80	PASS
57063	10	1.00	precision_ge_0.90	PASS
57063	10	1.00	false_promotion_below_average	PASS
57063	10	1.00	true_rescue_loss_le_0.10	FAIL
57063	11	0.80	false_promotion_le_0.05	PASS
57063	11	0.80	any_true_rescue_ge_0.80	PASS
57063	11	0.80	precision_ge_0.90	PASS
57063	11	0.80	false_promotion_below_average	PASS
57063	11	0.80	true_rescue_loss_le_0.10	FAIL
57063	11	1.00	false_promotion_le_0.05	PASS
57063	11	1.00	any_true_rescue_ge_0.80	PASS
57063	11	1.00	precision_ge_0.90	PASS
57063	11	1.00	false_promotion_below_average	PASS
57063	11	1.00	true_rescue_loss_le_0.10	FAIL
