seed	donors	effect_scale	method	truth_class	candidate_selection_probability
57061	9	0.80	averaged_endpoint	broad_rescue	0.993500
57061	9	0.80	averaged_endpoint	narrow_one_endpoint	0.156375
57061	9	0.80	averaged_endpoint	tradeoff	0.090000
57061	9	0.80	averaged_endpoint	toxic_pseudorescue	0.000500
57061	9	0.80	averaged_endpoint	null	0.004000
57061	9	0.80	replicated_broad_rescue	broad_rescue	0.211000
57061	9	0.80	replicated_broad_rescue	narrow_one_endpoint	0.000000
57061	9	0.80	replicated_broad_rescue	tradeoff	0.000000
57061	9	0.80	replicated_broad_rescue	toxic_pseudorescue	0.000000
57061	9	0.80	replicated_broad_rescue	null	0.000000
57061	9	1.00	averaged_endpoint	broad_rescue	0.998750
57061	9	1.00	averaged_endpoint	narrow_one_endpoint	0.271250
57061	9	1.00	averaged_endpoint	tradeoff	0.160750
57061	9	1.00	averaged_endpoint	toxic_pseudorescue	0.000375
57061	9	1.00	averaged_endpoint	null	0.004063
57061	9	1.00	replicated_broad_rescue	broad_rescue	0.300875
57061	9	1.00	replicated_broad_rescue	narrow_one_endpoint	0.000125
57061	9	1.00	replicated_broad_rescue	tradeoff	0.000000
57061	9	1.00	replicated_broad_rescue	toxic_pseudorescue	0.000000
57061	9	1.00	replicated_broad_rescue	null	0.000000
57061	10	0.80	averaged_endpoint	broad_rescue	0.998000
57061	10	0.80	averaged_endpoint	narrow_one_endpoint	0.186125
57061	10	0.80	averaged_endpoint	tradeoff	0.112250
57061	10	0.80	averaged_endpoint	toxic_pseudorescue	0.000250
57061	10	0.80	averaged_endpoint	null	0.002500
57061	10	0.80	replicated_broad_rescue	broad_rescue	0.323500
57061	10	0.80	replicated_broad_rescue	narrow_one_endpoint	0.000000
57061	10	0.80	replicated_broad_rescue	tradeoff	0.000000
57061	10	0.80	replicated_broad_rescue	toxic_pseudorescue	0.000000
57061	10	0.80	replicated_broad_rescue	null	0.000000
57061	10	1.00	averaged_endpoint	broad_rescue	0.999250
57061	10	1.00	averaged_endpoint	narrow_one_endpoint	0.332250
57061	10	1.00	averaged_endpoint	tradeoff	0.200625
57061	10	1.00	averaged_endpoint	toxic_pseudorescue	0.000000
57061	10	1.00	averaged_endpoint	null	0.003187
57061	10	1.00	replicated_broad_rescue	broad_rescue	0.396875
57061	10	1.00	replicated_broad_rescue	narrow_one_endpoint	0.000125
57061	10	1.00	replicated_broad_rescue	tradeoff	0.000000
57061	10	1.00	replicated_broad_rescue	toxic_pseudorescue	0.000000
57061	10	1.00	replicated_broad_rescue	null	0.000000
57061	11	0.80	averaged_endpoint	broad_rescue	0.999125
57061	11	0.80	averaged_endpoint	narrow_one_endpoint	0.229750
57061	11	0.80	averaged_endpoint	tradeoff	0.142625
57061	11	0.80	averaged_endpoint	toxic_pseudorescue	0.000125
57061	11	0.80	averaged_endpoint	null	0.003125
57061	11	0.80	replicated_broad_rescue	broad_rescue	0.428000
57061	11	0.80	replicated_broad_rescue	narrow_one_endpoint	0.000000
57061	11	0.80	replicated_broad_rescue	tradeoff	0.000000
57061	11	0.80	replicated_broad_rescue	toxic_pseudorescue	0.000000
57061	11	0.80	replicated_broad_rescue	null	0.000000
57061	11	1.00	averaged_endpoint	broad_rescue	0.998750
57061	11	1.00	averaged_endpoint	narrow_one_endpoint	0.405125
57061	11	1.00	averaged_endpoint	tradeoff	0.254000
57061	11	1.00	averaged_endpoint	toxic_pseudorescue	0.000125
57061	11	1.00	averaged_endpoint	null	0.003438
57061	11	1.00	replicated_broad_rescue	broad_rescue	0.485375
