seed	donors	effect_scale	method	prob_any_broad_rescue	prob_any_false_promotion	broad_rescue_recall	selection_precision	mean_n_selected
57061	9	0.80	averaged_endpoint	1.000000	0.620500	0.993500	0.795835	4.993500
57061	9	0.80	replicated_broad_rescue	0.590500	0.000000	0.211000	1.000000	0.844000
57061	9	1.00	averaged_endpoint	1.000000	0.818500	0.998750	0.693938	5.757000
57061	9	1.00	replicated_broad_rescue	0.747000	0.000500	0.300875	0.999585	1.204000
57061	10	0.80	averaged_endpoint	1.000000	0.682000	0.998000	0.766734	5.206500
57061	10	0.80	replicated_broad_rescue	0.763500	0.000000	0.323500	1.000000	1.294000
57061	10	1.00	averaged_endpoint	1.000000	0.888000	0.999250	0.649496	6.154000
57061	10	1.00	replicated_broad_rescue	0.849500	0.000500	0.396875	0.999685	1.588000
57061	11	0.80	averaged_endpoint	1.000000	0.775000	0.999125	0.725120	5.511500
57061	11	0.80	replicated_broad_rescue	0.877500	0.000000	0.428000	1.000000	1.712000
57061	11	1.00	averaged_endpoint	1.000000	0.934000	0.998750	0.599895	6.659500
57061	11	1.00	replicated_broad_rescue	0.903000	0.000000	0.485375	1.000000	1.941500
57062	9	0.80	averaged_endpoint	1.000000	0.624500	0.990750	0.798509	4.963000
57062	9	0.80	replicated_broad_rescue	0.581000	0.000000	0.203250	1.000000	0.813000
57062	9	1.00	averaged_endpoint	1.000000	0.825000	0.998750	0.696904	5.732500
57062	9	1.00	replicated_broad_rescue	0.737000	0.000000	0.298500	1.000000	1.194000
57062	10	0.80	averaged_endpoint	1.000000	0.710500	0.997500	0.765174	5.214500
57062	10	0.80	replicated_broad_rescue	0.765000	0.000000	0.316750	1.000000	1.267000
57062	10	1.00	averaged_endpoint	1.000000	0.898500	0.999250	0.643743	6.209000
57062	10	1.00	replicated_broad_rescue	0.849500	0.000000	0.395500	1.000000	1.582000
57062	11	0.80	averaged_endpoint	1.000000	0.788500	0.999375	0.717942	5.568000
57062	11	0.80	replicated_broad_rescue	0.876500	0.000000	0.428875	1.000000	1.715500
57062	11	1.00	averaged_endpoint	1.000000	0.936500	0.999625	0.598667	6.679000
57062	11	1.00	replicated_broad_rescue	0.900000	0.000000	0.470000	1.000000	1.880000
57063	9	0.80	averaged_endpoint	1.000000	0.615000	0.991875	0.799819	4.960500
57063	9	0.80	replicated_broad_rescue	0.597000	0.000000	0.211750	1.000000	0.847000
57063	9	1.00	averaged_endpoint	1.000000	0.823500	0.998125	0.691282	5.775500
57063	9	1.00	replicated_broad_rescue	0.747000	0.000000	0.308750	1.000000	1.235000
57063	10	0.80	averaged_endpoint	1.000000	0.696500	0.998000	0.761614	5.241500
57063	10	0.80	replicated_broad_rescue	0.765500	0.000000	0.322000	1.000000	1.288000
57063	10	1.00	averaged_endpoint	1.000000	0.885500	0.999000	0.648965	6.157500
57063	10	1.00	replicated_broad_rescue	0.851500	0.000000	0.395625	1.000000	1.582500
57063	11	0.80	averaged_endpoint	1.000000	0.770500	0.999000	0.722865	5.528000
57063	11	0.80	replicated_broad_rescue	0.851000	0.000000	0.414500	1.000000	1.658000
57063	11	1.00	averaged_endpoint	1.000000	0.936500	0.999375	0.600857	6.653000
57063	11	1.00	replicated_broad_rescue	0.895500	0.000000	0.471750	1.000000	1.887000
