model_family	model	command_kind	command	returncode	elapsed_seconds	expected_text_present	family_specific_guard	status	stdout_tail	stderr_tail
claude_orchestration	anthropic--claude-4.7-opus	smoke	/opt/homebrew/opt/python@3.14/bin/python3.14 scripts/sap_ai_core_client.py smoke --model anthropic--claude-4.7-opus --timeout 60 --max-output-tokens 64	0	1.535	True	PASS	PASS	"oauth: ok; expires_in: 43199
model: anthropic--claude-4.7-opus 1 def854013c7ac379
smoke_elapsed_sec: 0.93
response: OK
"	(empty)
gemini_native	gemini-2.5-pro	smoke	/opt/homebrew/opt/python@3.14/bin/python3.14 scripts/sap_ai_core_client.py smoke --model gemini-2.5-pro --timeout 60 --max-output-tokens 256	0	3.501	True	PASS	PASS	"oauth: ok; expires_in: 43199
model: gemini-2.5-pro 001 d6dc532885507ac7
smoke_elapsed_sec: 2.95
response: OK
"	(empty)
sap_rpt_predict	sap-rpt-1-large	rpt-smoke	/opt/homebrew/opt/python@3.14/bin/python3.14 scripts/sap_ai_core_client.py rpt-smoke --model sap-rpt-1-large --timeout 120	0	0.807	True	PASS	PASS	"oauth: ok; expires_in: 43199
model: sap-rpt-1-large 1 d61aae51af327bbc
smoke_elapsed_sec: 0.29
{
  ""id"": ""1c87fcbf-729e-4d37-abe8-1692987c8dd9"",
  ""metadata"": {
    ""num_columns"": 4,
    ""num_predictions"": 1,
    ""num_query_rows"": 1,
    ""num_rows"": 5
  },
  ""predictions"": [
    {
      ""ID"": ""predict_1"",
      ""OUTCOME"": [
        {
          ""confidence"": 0.96,
          ""confidence_interval"": null,
          ""prediction"": ""high""
        }
      ]
    }
  ],
  ""status"": {
    ""code"": 0,
    ""message"": ""ok""
  }
}
"	(empty)
