gene	call	ms_nominal	ms_fdr10	broad_positive_diseases	broad_negative_diseases	broad_direction_conflict	crispr_nominal	crispr_fdr10	ibd_response_fdr10	target_genetics	modality_channel	wave71_blocked
DAB2	NO_REOPEN_EFFEROCYTOSIS_DIRECTIONALITY_ROUTE	True	False	0	3	True	True	False	False	False	False	True
CD9	NO_REOPEN_EFFEROCYTOSIS_DIRECTIONALITY_ROUTE	True	False	0	2	True	True	False	False	False	False	True
