gene	tweak_delta_log2	tweak_p_value	tweak_q_value_bh	tweak_induced_nominal	broad_positive_disease_count	broad_positive_fdr10_compartment_count	broad_positive_diseases	ms_expr_delta_log2	ms_expr_fdr	ms_genetic_score	wave62_call	wave103_call	reachable	promote	blockers
PDPN	0.8009704387966714	0.008730701076957894	0.11036660703978868	True	4	1	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.1646831166015037	0.927698641490189	0.0	not_in_wave62	NO_GO_EXPRESSION_OR_CLASS_ONLY	True	False	no_ms_anchor
IL6	3.1504748701924425	0.00016908639696698412	0.030499419114886805	True	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.3732995140617117	0.9141270983319502	0.0	not_in_wave62	NO_GO_EXPRESSION_OR_CLASS_ONLY	True	False	no_ms_anchor
TNFRSF12A	0.5416182386043094	0.03145226689289394	0.1877203718765354	True	2	0	Crohn disease;type 1 diabetes mellitus	0.2540126236594879	0.9375238155777116	0.0	not_in_wave62	NO_GO_EXPRESSION_OR_CLASS_ONLY	True	False	no_ms_anchor;insufficient_cross_disease_anchor;known_tweak_fn14_autoimmune_prior_art_expected
ICAM1	2.432122960158779	3.3133625625224675e-06	0.005759314146851746	True	2	0	Crohn disease;type 1 diabetes mellitus	-0.0582199651930359	0.9761732664217524	0.0	not_in_wave62	NO_GO_EXPRESSION_OR_CLASS_ONLY	True	False	no_ms_anchor;insufficient_cross_disease_anchor
VCAM1	2.1991927051982163	0.0041183612788127785	0.08245811775805204	True	1	1	type 1 diabetes mellitus	0.9685619760485976	0.8993702893651148	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_ANCHOR	True	False	no_ms_anchor
CCL2	2.6748333942823024	0.00231532901984078	0.06654585651856458	True	1	1	type 1 diabetes mellitus	0.0490525604706171	0.9859682246933096	0.0	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	False	no_ms_anchor;weak_reachability
MMP3	-0.22349340665248718	0.7833588427284925	0.8875844688239641	False	2	0	psoriasis;ulcerative colitis	0.0	1.0	0.0	not_in_wave62	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	not_induced_by_tweak_in_gse237845;no_ms_anchor;insufficient_cross_disease_anchor;weak_reachability
CXCL12	-0.8233967458633682	0.005996871916442895	0.09450204471746328	False	1	0	type 1 diabetes mellitus	0.0107959183167469	0.9982687727683835	0.0	not_in_wave62	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	not_induced_by_tweak_in_gse237845;no_ms_anchor;insufficient_cross_disease_anchor;weak_reachability
LTBR	-0.030925916584347846	0.6547362486417095	0.806180393358337	False	0	0	nan	-0.4419991674012227	0.8506970233122761	0.1860812157392501	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NO_MS_ANCHOR	True	False	not_induced_by_tweak_in_gse237845;no_ms_anchor;insufficient_cross_disease_anchor
TNFSF12	-0.6358222190878582	0.0151291678560789	0.14101550408640842	False	0	0	nan	0.2326709919026868	0.8993702893651148	0.0	not_in_wave62	NO_GO_EXPRESSION_OR_CLASS_ONLY	True	False	no_ms_anchor;insufficient_cross_disease_anchor;known_tweak_fn14_autoimmune_prior_art_expected
