comparator	region	nominal_PP.H4	nominal_PP.H3	min_sensitivity_PP.H4	median_sensitivity_PP.H4	n_shared_snps	top_genes_by_landscape_score
UC	1:200375242-201375897	0.983958158822033	0.016041772924593672	0.8591131763173406	0.983958158822033	2397	GPR25;CACNA1S;LAD1;DDX59;KIF21B;CAMSAP2;TMEM9;TNNT2
Crohn	10:80542475-81559335	0.9775625499595288	0.022436665966876112	0.8088070107805059	0.9775625499595288	2322	ZMIZ1;PPIF;ZCCHC24;AL133481.1;EIF5AL1;NUTM2B;SFTPA1;SFTPA2
Crohn	17:40014201-41029835	0.9412594556547467	0.058637221668092473	0.6141288816584397	0.9412594556547467	1008	STAT3;PSMC3IP;MLX;TUBG2;DHX58;NAGLU;AOC3;TUBG1
UC	5:39896425-40944986	0.9336614454533481	0.06600036046337847	0.5699937906279623	0.9336614454533481	2470	PTGER4;PRKAA1;RPL37;C7;CARD6;TTC33
Crohn	14:68710199-69753364	0.739974687791038	0.2589096817221004	0.2179883411839962	0.739974687791038	2205	ZFP36L1;ACTN1;RAD51B;EXD2;DCAF5;GALNT16
UC	2:60689469-61742410	0.48401687960314793	0.5153418869960971	0.08302939297259752	0.48401687960314793	1528	PUS10;USP34;REL;C2orf74;BCL11A;XPO1;AHSA2;KIAA1841
Crohn	19:10016198-11090684	0.3747561163313368	0.6246031017346996	0.05282480681356985	0.3747561163313368	1873	TYK2;ICAM5;ICAM4;DNMT1;SLC44A2;CDKN2D;ICAM3;CDC37
Crohn	2:60699327-61742410	0.3507838457319931	0.6453307937599385	0.049529276267070946	0.3507838457319931	1523	PUS10;USP34;REL;C2orf74;BCL11A;XPO1;AHSA2;KIAA1841
Crohn	5:39896425-40940063	0.012254888036587303	0.9877451119609746	0.0010760491396514533	0.012254888036587303	2460	PTGER4;PRKAA1;RPL37;C7;CARD6;TTC33
UC	1:1972081-3020527	0.005831115124530294	0.9941425201298074	0.00056195810455985	0.005831115124530294	1973	TTC34;TNFRSF14;MMEL1;PRDM16;PANK4;RER1;MORN1;ACTRT2
UC	7:1941337-3289880	5.523679302525824e-05	0.9955019895646483	5.085476089174471e-06	5.523679302525824e-05	3837	GNA12;AMZ1;TTYH3;MAD1L1;AC091801.1;BRAT1;CHST12;EIF3B
Crohn	2:42855324-44309347	2.7220062471020907e-05	0.9998116827497038	2.2044225779588833e-06	2.7220062471020907e-05	3402	PLEKHH2;LRPPRC;ZFP36L2;DYNC2LI1;OXER1;HAAO;ABCG5;ABCG8
Crohn	5:158259900-159348253	1.8308223693975644e-05	0.9999803683171015	1.6248959249635728e-06	1.8308223693975644e-05	2199	IL12B;RNF145;EBF1;ADRA1B;UBLCP1
Crohn	6:30793436-31851940	8.503375272757774e-06	0.9999535145408373	6.061184615999846e-07	8.503375272757774e-06	1113	HLA-B;LST1;LTB;DDAH2;HLA-C;LTA;AIF1;CLIC1
Crohn	6:30851940-32035539	9.097532533629815e-07	0.9999955500916359	5.3213076995504905e-08	9.097532533629815e-07	1208	HLA-B;LST1;LTB;DDAH2;HLA-C;LTA;AIF1;CLIC1
Crohn	22:21440189-22705353	6.391173589680885e-07	0.9999547941564811	5.394348818006024e-08	6.391173589680885e-07	2190	UBE2L3;CCDC116;YDJC;PPIL2;HIC2;GGT2;POM121L7;PPM1F
UC	5:158259900-159327769	4.737655196888816e-07	0.9999864882292839	4.343737911715578e-08	4.737655196888816e-07	2153	IL12B;RNF145;EBF1;UBLCP1
