sensitivity	observed_target	observed_target_rank	n_reps	target_entity_p	target_fwer_p	max_null_p95	max_null_p99	target_null_p95	target_null_p99
source_file_weighted_no_reports	12.026666666666667	1	20000	4.999750012499375e-05	4.999750012499375e-05	3.58	4.063478260869566	1.9834782608695651	2.6666666666666665
modality_source_family_collapsed_no_reports	15.0	1	20000	4.999750012499375e-05	4.999750012499375e-05	6.0	7.0	4.0	5.0
source_family_collapsed_no_reports	9.0	1	20000	4.999750012499375e-05	4.999750012499375e-05	4.0	5.0	2.0	3.0
