entity	source_family_collapsed_no_reports_recurrence
apc_hla_ifn_monitoring	9
apc_axis	6
hla_ii_apc	5
ifn_apc	4
metabolic_sterol	4
coupled_apc_axis	3
mif_cd74_receptor_state	3
layer_transfer_map	2
genetic_backdrop_ms_uc	2
lysosomal_apc	2
mixscale_validated_ifng_readout	2
tb_readable_compartment	2
complement_lipid_axis	2
lipid_loader_repair__lysosomal_apc	1
rel_pus10_usp34	1
lysosomal_apc__mixscale_validated_ifng_readout	1
lipid_loader_repair	1
ms_uc_genetic_backdrop	1
postpartum_apc_split	1
mif_cd74_receptor_state__mixscale_validated_ifng_readout	1
ifn_apc__lysosomal_apc	1
ifn_apc__mixscale_validated_ifng_readout	1
ifn_apc__mif_cd74_receptor_state	1
hla_ii_apc__mixscale_validated_ifng_readout	1
hla_ii_apc__mif_cd74_receptor_state	1
hla_ii_apc__lysosomal_apc	1
hla_ii_apc__ifn_apc	1
hif_nampt_metabolic	1
glucocorticoid_steroid	1
complement_phagocytosis	1
chr1_kif21b_gpr25	1
cell_composition	1
zfp36l1	1
