seed	model	n_wild_replicates	donor_wild_p	max_variant_fwer_p
54201	base	100000	0.004829951700482995	0.05984940150598494
54201	resident_adjusted	100000	0.0013299867001329987	0.0013299867001329987
54201	mims_adjusted	100000	0.012839871601283987	0.1897081029189708
54201	resident_and_mims_adjusted	100000	0.008349916500834992	0.04502954970450296
54202	base	100000	0.004219957800421996	0.05934940650593494
54202	resident_adjusted	100000	0.001119988800111999	0.001119988800111999
54202	mims_adjusted	100000	0.012359876401235988	0.18838811611883882
54202	resident_and_mims_adjusted	100000	0.00868991310086899	0.04533954660453395
54203	base	100000	0.004849951500484995	0.05966940330596694
54203	resident_adjusted	100000	0.0011899881001189987	0.0011899881001189987
54203	mims_adjusted	100000	0.012189878101218988	0.1887281127188728
54203	resident_and_mims_adjusted	100000	0.008809911900880991	0.045439545604543954
