model	left_out_donor	status	foamy_adjusted_beta
base	MS01	estimated	0.4773745400871141
base	MS02	estimated	0.5314028410434077
base	MS03	estimated	0.4696768548059251
base	MS05	estimated	0.45015524510047095
base	MS06	estimated	0.5190335166510179
base	MS08	estimated	0.529430544708512
base	MS09	estimated	0.5142181165689296
base	MS10	estimated	0.5085478725635361
base	MS13	estimated	0.3839098670487991
base	MS15	estimated	0.4551942702578842
base	MS16	estimated	0.49841772866646805
base	MS17	estimated	0.5229723278183444
base	MS18	estimated	0.5864049402033066
base	MS19	estimated	0.5215736198717588
base	MS20	estimated	0.4655560320030241
base	MS21	estimated	0.46032268707333035
base	MS23	estimated	0.46681549773210074
base	MS25	estimated	0.5146308771830024
base	MS26	estimated	0.5193319200528037
base	MS27	estimated	0.5213834772838621
base	MS28	estimated	0.44773351669997763
resident_adjusted	MS01	estimated	0.7193506946410192
resident_adjusted	MS02	estimated	0.7933679200202767
resident_adjusted	MS03	estimated	0.7494419573513936
resident_adjusted	MS05	estimated	0.7058276660983082
resident_adjusted	MS06	estimated	0.7731399183158665
resident_adjusted	MS08	estimated	0.8064111214821548
resident_adjusted	MS09	estimated	0.8109142766433807
resident_adjusted	MS10	estimated	0.7638519535453097
resident_adjusted	MS13	estimated	0.6202393372918419
resident_adjusted	MS15	estimated	0.7176707534441659
resident_adjusted	MS16	estimated	0.7640551371385865
resident_adjusted	MS17	estimated	0.7684134152385387
resident_adjusted	MS18	estimated	0.7796653348957718
resident_adjusted	MS19	estimated	0.7302230569213701
resident_adjusted	MS20	estimated	0.8322144192702482
resident_adjusted	MS21	estimated	0.7319447720717411
resident_adjusted	MS23	estimated	0.7534023681145701
resident_adjusted	MS25	estimated	0.8083190830111229
resident_adjusted	MS26	estimated	0.7559934396346795
resident_adjusted	MS27	estimated	0.694604236018181
resident_adjusted	MS28	estimated	0.7087722914861387
mims_adjusted	MS01	estimated	0.28928256041813477
mims_adjusted	MS02	estimated	0.37909506038783947
mims_adjusted	MS03	estimated	0.35034654950287064
mims_adjusted	MS05	estimated	0.3661186358550481
mims_adjusted	MS06	estimated	0.3794217035214115
mims_adjusted	MS08	estimated	0.4179012930658969
mims_adjusted	MS09	estimated	0.38216121347107374
mims_adjusted	MS10	estimated	0.4126063004977511
mims_adjusted	MS13	estimated	0.3119596613352835
mims_adjusted	MS15	estimated	0.3723373105925284
mims_adjusted	MS16	estimated	0.3793191437540954
mims_adjusted	MS17	estimated	0.37529016752864086
mims_adjusted	MS18	estimated	0.46854026759222234
mims_adjusted	MS19	estimated	0.39207578953899525
mims_adjusted	MS20	estimated	0.34086598421758785
mims_adjusted	MS21	estimated	0.33196447901526166
mims_adjusted	MS23	estimated	0.4033190226751123
mims_adjusted	MS25	estimated	0.37192371179571754
mims_adjusted	MS26	estimated	0.368198995728981
mims_adjusted	MS27	estimated	0.3773928010865848
mims_adjusted	MS28	estimated	0.341497945888081
resident_and_mims_adjusted	MS01	estimated	0.41987192670027884
resident_and_mims_adjusted	MS02	estimated	0.5336686425694769
resident_and_mims_adjusted	MS03	estimated	0.48227003187077344
resident_and_mims_adjusted	MS05	estimated	0.5115486688110483
resident_and_mims_adjusted	MS06	estimated	0.5250224474912292
resident_and_mims_adjusted	MS08	estimated	0.5727433448988767
resident_and_mims_adjusted	MS09	estimated	0.5581589780213119
resident_and_mims_adjusted	MS10	estimated	0.5196514596958287
resident_and_mims_adjusted	MS13	estimated	0.42565642639202017
resident_and_mims_adjusted	MS15	estimated	0.5137182174496292
resident_and_mims_adjusted	MS16	estimated	0.5270574049949589
resident_and_mims_adjusted	MS17	estimated	0.5188974457630486
resident_and_mims_adjusted	MS18	estimated	0.584263856700383
resident_and_mims_adjusted	MS19	estimated	0.5055822011761548
resident_and_mims_adjusted	MS20	estimated	0.5288825772143834
resident_and_mims_adjusted	MS21	estimated	0.4640940422583446
resident_and_mims_adjusted	MS23	estimated	0.5629748896444651
resident_and_mims_adjusted	MS25	estimated	0.536672418029722
resident_and_mims_adjusted	MS26	estimated	0.5104173799035965
resident_and_mims_adjusted	MS27	estimated	0.5071907109121432
resident_and_mims_adjusted	MS28	estimated	0.49083934241594707
