gene	n_tests	n_brake_like_negative	n_feedback_like_positive	n_weak_negative	n_weak_positive	median_spearman_r	informative_relationships
CD74	240	2	172	8	33	0.7714285714285715	215
CTSS	240	11	143	15	30	0.6199659244794364	199
CIITA	240	7	132	5	61	0.5608174400447267	205
RFX5	240	4	62	17	96	0.3834615384615385	179
PTPN2	240	6	62	18	91	0.3369456630326196	177
SH2B3	240	9	56	8	74	0.2866372757677106	147
CLEC16A	240	4	49	11	96	0.31468531468531474	160
SLC15A4	240	3	46	18	98	0.3142857142857143	165
TNFAIP3	240	12	29	34	61	0.14172783738001132	136
