analysis	disease_name	compartment	gene	module	group	gene_metric	module_metric	n	spearman_r	spearman_p	relationship
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	hla_ii_apc	all_donors	mean_log_norm	mean_score	12	0.9230769230769231	1.8621951098680993e-05	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	hla_ii_apc	all_donors	mean_log_norm	high_fraction	12	0.9510489510489512	2.038424632465578e-06	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	hla_ii_apc	all_donors	detection_fraction	mean_score	12	0.9370629370629372	6.9931649532105415e-06	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	hla_ii_apc	all_donors	detection_fraction	high_fraction	12	0.9930069930069931	1.3016730560634414e-10	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	hla_ii_apc	case_only	mean_log_norm	mean_score	6	0.7714285714285715	0.07239650145772594	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	hla_ii_apc	case_only	mean_log_norm	high_fraction	6	0.8285714285714287	0.04156268221574335	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	hla_ii_apc	case_only	detection_fraction	mean_score	6	0.8857142857142858	0.01884548104956266	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	hla_ii_apc	case_only	detection_fraction	high_fraction	6	0.942857142857143	0.004804664723032055	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	ifn_apc	all_donors	mean_log_norm	mean_score	12	0.9160839160839163	2.842804534854714e-05	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	ifn_apc	all_donors	mean_log_norm	high_fraction	12	0.9160839160839163	2.842804534854714e-05	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	ifn_apc	all_donors	detection_fraction	mean_score	12	0.9300699300699302	1.1702227928659685e-05	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	ifn_apc	all_donors	detection_fraction	high_fraction	12	0.9580419580419581	9.543581826838402e-07	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	ifn_apc	case_only	mean_log_norm	mean_score	6	0.7714285714285715	0.07239650145772594	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	ifn_apc	case_only	mean_log_norm	high_fraction	6	0.7714285714285715	0.07239650145772594	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	ifn_apc	case_only	detection_fraction	mean_score	6	0.8857142857142858	0.01884548104956266	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	ifn_apc	case_only	detection_fraction	high_fraction	6	0.8857142857142858	0.01884548104956266	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	lysosomal_apc	all_donors	mean_log_norm	mean_score	12	-0.1258741258741259	0.696683109395766	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	lysosomal_apc	all_donors	mean_log_norm	high_fraction	12	0.027972027972027972	0.9312343512018807	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	lysosomal_apc	all_donors	detection_fraction	mean_score	12	0.027972027972027972	0.9312343512018807	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	lysosomal_apc	all_donors	detection_fraction	high_fraction	12	0.16783216783216784	0.6020994277865379	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	lysosomal_apc	case_only	mean_log_norm	mean_score	6	0.08571428571428573	0.8717434402332361	flat
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	lysosomal_apc	case_only	mean_log_norm	high_fraction	6	0.3142857142857143	0.5440932944606415	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	lysosomal_apc	case_only	detection_fraction	mean_score	6	0.2571428571428572	0.6227871720116619	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	lysosomal_apc	case_only	detection_fraction	high_fraction	6	0.48571428571428577	0.3287230320699708	weak_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	mif_cd74_receptor_state	all_donors	mean_log_norm	mean_score	12	0.8881118881118882	0.00011413359814618024	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	mif_cd74_receptor_state	all_donors	mean_log_norm	high_fraction	12	0.9020979020979022	5.997857446537692e-05	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	mif_cd74_receptor_state	all_donors	detection_fraction	mean_score	12	0.9160839160839163	2.842804534854714e-05	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	mif_cd74_receptor_state	all_donors	detection_fraction	high_fraction	12	0.9300699300699302	1.1702227928659685e-05	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	mif_cd74_receptor_state	case_only	mean_log_norm	mean_score	6	0.7714285714285715	0.07239650145772594	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	mif_cd74_receptor_state	case_only	mean_log_norm	high_fraction	6	0.8285714285714287	0.04156268221574335	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	mif_cd74_receptor_state	case_only	detection_fraction	mean_score	6	0.8857142857142858	0.01884548104956266	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	mif_cd74_receptor_state	case_only	detection_fraction	high_fraction	6	0.942857142857143	0.004804664723032055	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	mixscale_validated_ifng_readout	all_donors	mean_log_norm	mean_score	12	0.9160839160839163	2.842804534854714e-05	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	mixscale_validated_ifng_readout	all_donors	mean_log_norm	high_fraction	12	0.9300699300699302	1.1702227928659685e-05	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	mixscale_validated_ifng_readout	all_donors	detection_fraction	mean_score	12	0.9580419580419581	9.543581826838402e-07	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	mixscale_validated_ifng_readout	all_donors	detection_fraction	high_fraction	12	0.9720279720279721	1.2868115751495027e-07	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	mixscale_validated_ifng_readout	case_only	mean_log_norm	mean_score	6	0.8285714285714287	0.04156268221574335	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	mixscale_validated_ifng_readout	case_only	mean_log_norm	high_fraction	6	0.8285714285714287	0.04156268221574335	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	mixscale_validated_ifng_readout	case_only	detection_fraction	mean_score	6	0.942857142857143	0.004804664723032055	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CD74	mixscale_validated_ifng_readout	case_only	detection_fraction	high_fraction	6	0.942857142857143	0.004804664723032055	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	hla_ii_apc	all_donors	mean_log_norm	mean_score	12	0.8391608391608393	0.0006428259886278204	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	hla_ii_apc	all_donors	mean_log_norm	high_fraction	12	0.8111888111888113	0.0013633152527271926	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	hla_ii_apc	all_donors	detection_fraction	mean_score	12	0.9020979020979022	5.997857446537692e-05	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	hla_ii_apc	all_donors	detection_fraction	high_fraction	12	0.8461538461538463	0.0005211337004810047	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	hla_ii_apc	case_only	mean_log_norm	mean_score	6	0.8285714285714287	0.04156268221574335	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	hla_ii_apc	case_only	mean_log_norm	high_fraction	6	0.7714285714285715	0.07239650145772594	feedback_like_positive
ibd_crohn_epithelial	Crohn disease	colon epithelial	CIITA	hla_ii_apc	case_only	detection_fraction	mean_score	6	1.0	0.0	feedback_like_positive
