analysis	dataset_path	disease_name	compartment	donor_id	disease	group	gene	n_cells	mean_log_norm	mean_z_vs_controls	detection_fraction	cell_types	hif_nampt_metabolic	ifn_apc	inflammatory_nfkb	lipid_loader_repair	lysosomal_apc
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	ACSL1	81	0.5005451608900209	1.7962274358222932	0.2592592592592592	myeloid cell	0.6256955167285362	0.8298671940947998	0.5452014953681757	-0.0081022063962305	0.2026452082154003
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	CD74	81	1.917137667525842	-0.1071567136076588	0.5432098765432098	myeloid cell	0.6256955167285362	0.8298671940947998	0.5452014953681757	-0.0081022063962305	0.2026452082154003
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	CTSB	81	0.7716921802033753	-0.2928747292517655	0.4691358024691358	myeloid cell	0.6256955167285362	0.8298671940947998	0.5452014953681757	-0.0081022063962305	0.2026452082154003
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	CTSD	81	0.7264724712541332	-0.5773494047407776	0.4691358024691358	myeloid cell	0.6256955167285362	0.8298671940947998	0.5452014953681757	-0.0081022063962305	0.2026452082154003
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	CTSS	81	1.3075820062798975	0.1701093298591852	0.5802469135802469	myeloid cell	0.6256955167285362	0.8298671940947998	0.5452014953681757	-0.0081022063962305	0.2026452082154003
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	FABP5	81	0.3208075964595099	0.1247403484079317	0.2345679012345679	myeloid cell	0.6256955167285362	0.8298671940947998	0.5452014953681757	-0.0081022063962305	0.2026452082154003
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	IFI30	81	0.5429045679302755	0.6807871127084186	0.3703703703703703	myeloid cell	0.6256955167285362	0.8298671940947998	0.5452014953681757	-0.0081022063962305	0.2026452082154003
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	LIPA	81	0.1556073441360573	-0.4908276357836156	0.1851851851851851	myeloid cell	0.6256955167285362	0.8298671940947998	0.5452014953681757	-0.0081022063962305	0.2026452082154003
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	MSR1	81	0.0366152655836243	-0.2879936951379231	0.0493827160493827	myeloid cell	0.6256955167285362	0.8298671940947998	0.5452014953681757	-0.0081022063962305	0.2026452082154003
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	NAMPT	81	2.226957807473178	0.9869417650136868	0.7407407407407407	myeloid cell	0.6256955167285362	0.8298671940947998	0.5452014953681757	-0.0081022063962305	0.2026452082154003
