scenario	seed	n_screens	n_train_donor_pairs	n_test_donor_pairs	scale_probability	incremental_scale_probability	safety_scale_probability	batch_abstention_probability	underpowered_abstention_probability	median_heldout_rmse_gain	median_residual_correlation	median_permutation_p
redundant_3d	20260831	500	12	8	0.002	0.002	0.0	0.0	0.0	-0.06261089315033053	0.0345512259518595	0.4525
redundant_3d	20260832	500	12	8	0.0	0.0	0.0	0.0	0.0	-0.06168469929858844	0.02663379908706396	0.46
redundant_3d	20260833	500	12	8	0.002	0.002	0.0	0.0	0.0	-0.06364027070503286	-0.0041946359893503815	0.5
complementary_3d	20260831	500	12	8	0.988	0.988	0.0	0.0	0.0	0.3235303172372474	0.8867753214275916	0.005
complementary_3d	20260832	500	12	8	0.988	0.988	0.0	0.0	0.0	0.324314577570688	0.8815871062420212	0.005
complementary_3d	20260833	500	12	8	0.988	0.988	0.0	0.0	0.0	0.3222016746194084	0.8796153513706897	0.005
hidden_3d_harm	20260831	500	12	8	0.828	0.694	0.134	0.0	0.0	0.32823751871702445	0.8879356532903016	0.02
hidden_3d_harm	20260832	500	12	8	0.84	0.694	0.146	0.0	0.0	0.3287880529608372	0.8823701093182472	0.02
hidden_3d_harm	20260833	500	12	8	0.822	0.684	0.138	0.0	0.0	0.3271995401531843	0.8840414602722317	0.025
response_correlated_3d_batch	20260831	500	12	8	0.0	0.0	0.0	1.0	0.0	-0.0630063068380966	0.002468554694586826	0.51
response_correlated_3d_batch	20260832	500	12	8	0.0	0.0	0.0	1.0	0.0	-0.06483460246596373	-0.006266339476742194	0.51
response_correlated_3d_batch	20260833	500	12	8	0.0	0.0	0.0	1.0	0.0	-0.06750442095299425	-0.004451206226811109	0.525
small_calibration_panel	20260831	500	6	4	0.0	0.0	0.0	0.0	1.0	0.27292215714609075	0.7850986395520743	0.005
small_calibration_panel	20260832	500	6	4	0.0	0.0	0.0	0.0	1.0	0.2766943440943433	0.7888145917542475	0.005
small_calibration_panel	20260833	500	6	4	0.0	0.0	0.0	0.0	1.0	0.2797619614058663	0.7863972876833228	0.005
