mode	n_missing_labels	n_missingness_patterns	n_label_completions_evaluated	lower_bound_min	lower_bound_q05	lower_bound_median	lower_bound_max	upper_bound_min	upper_bound_median	upper_bound_max	median_identification_width	fraction_patterns_lower_ge_0_60	fraction_patterns_lower_gt_0_50
known_total_responder_count	1	19	19	0.8111111111111111	0.8111111111111111	0.8111111111111111	0.8111111111111111	0.8111111111111111	0.8111111111111111	0.8111111111111111	0.0	1.0	1.0
known_total_responder_count	2	171	261	0.6111111111111112	0.6555555555555556	0.8111111111111111	0.8111111111111111	0.8111111111111111	0.8111111111111111	0.9555555555555556	0.011111111111111072	1.0	1.0
known_total_responder_count	3	969	2499	0.6111111111111112	0.6266666666666667	0.7222222222222222	0.8111111111111111	0.8111111111111111	0.8111111111111111	0.9555555555555556	0.09999999999999998	1.0	1.0
known_total_responder_count	4	3876	17736	0.43333333333333335	0.5666666666666667	0.6888888888888889	0.8111111111111111	0.8111111111111111	0.8111111111111111	1.0	0.1444444444444445	0.9156346749226006	0.9907120743034056
known_total_responder_count	5	11628	97128	0.43333333333333335	0.5111111111111111	0.6444444444444445	0.8111111111111111	0.8111111111111111	0.8222222222222222	1.0	0.19999999999999996	0.7465600275197798	0.9619023047815618
no_prevalence_information	1	19	38	0.7111111111111111	0.7154292929292929	0.7727272727272727	0.8111111111111111	0.8111111111111111	0.8111111111111111	0.8977272727272727	0.04974747474747476	1.0	1.0
no_prevalence_information	2	171	684	0.6111111111111112	0.6444444444444445	0.7272727272727273	0.8111111111111111	0.8111111111111111	0.8111111111111111	0.9555555555555556	0.10227272727272729	1.0	1.0
no_prevalence_information	3	969	7752	0.5222222222222223	0.5888888888888889	0.6888888888888889	0.8111111111111111	0.8111111111111111	0.8222222222222222	1.0	0.15555555555555556	0.9339525283797729	1.0
no_prevalence_information	4	3876	62016	0.43333333333333335	0.5333333333333333	0.6444444444444445	0.8111111111111111	0.8111111111111111	0.8522727272727273	1.0	0.21111111111111103	0.7610939112487101	0.9806501547987616
no_prevalence_information	5	11628	372096	0.3522727272727273	0.4777777777777778	0.6	0.8111111111111111	0.8111111111111111	0.8555555555555555	1.0	0.2654040404040404	0.5288097695218438	0.901014791881665
