samplegroup	module	timepoint	n	mean_score	sd_score
HEALTHY	hif_nampt_metabolic	1	19	11.604857059206209	0.8136887739420152
HEALTHY	hif_nampt_metabolic	2	19	11.479678792309192	0.5515910629092494
HEALTHY	hif_nampt_metabolic	3	19	11.819397660499458	0.6546384147464595
HEALTHY	hif_nampt_metabolic	4	18	11.471640169588575	0.7083331607574862
HEALTHY	hif_nampt_metabolic	5	18	11.545748844322988	0.7574142825008242
HEALTHY	hla_ii_only	1	19	11.147771561439322	0.9205000938223437
HEALTHY	hla_ii_only	2	19	11.04616285233743	0.6133584339904384
HEALTHY	hla_ii_only	3	19	11.484487611025296	0.9023313668432008
HEALTHY	hla_ii_only	4	18	11.468421337813615	0.8784056276395585
HEALTHY	hla_ii_only	5	18	11.650169668280604	0.8729699848368766
HEALTHY	ifn_apc	1	19	9.760817717440457	0.983298836095147
HEALTHY	ifn_apc	2	19	9.929633241421103	1.0627026215975977
HEALTHY	ifn_apc	3	19	10.14248678321674	0.8353799573103663
HEALTHY	ifn_apc	4	18	10.14553112853992	0.8378508183143945
HEALTHY	ifn_apc	5	18	10.041121352144977	0.815135318795921
HEALTHY	lysosomal_apc	1	19	11.35649620690523	0.7755293039491626
HEALTHY	lysosomal_apc	2	19	11.288229126688005	0.5126526019294825
HEALTHY	lysosomal_apc	3	19	11.603215436006716	0.6674126349786652
HEALTHY	lysosomal_apc	4	18	11.397572780606646	0.7133824740347584
HEALTHY	lysosomal_apc	5	18	11.53605885830541	0.7852869140750846
HEALTHY	mif_cd74_receptor_state	1	19	10.970482975133526	0.8608327610547217
HEALTHY	mif_cd74_receptor_state	2	19	10.894293738579277	0.514518437484064
HEALTHY	mif_cd74_receptor_state	3	19	11.30109729800082	0.8066649124774294
HEALTHY	mif_cd74_receptor_state	4	18	11.285740916018831	0.8199949405905923
HEALTHY	mif_cd74_receptor_state	5	18	11.421709274413992	0.8281313813842037
SLE	hif_nampt_metabolic	0	5	10.860545153190197	1.0335838699357516
SLE	hif_nampt_metabolic	1	16	11.736742514947192	0.6606787622263028
SLE	hif_nampt_metabolic	2	18	11.635753097226193	0.9127807071754684
SLE	hif_nampt_metabolic	3	16	11.796401107263911	0.8892282942923814
SLE	hif_nampt_metabolic	4	17	11.196711443799092	0.9452884609238954
SLE	hif_nampt_metabolic	5	17	11.224251596382588	0.7597625353930941
SLE	hif_nampt_metabolic	6	12	11.194824871973767	0.8874865474147939
SLE	hla_ii_only	0	5	11.228021175562295	1.086162584028203
SLE	hla_ii_only	1	16	11.332878166658434	0.935424693068669
SLE	hla_ii_only	2	18	11.035047669960832	0.988646240631256
SLE	hla_ii_only	3	16	11.28531500073566	0.8779596570820757
SLE	hla_ii_only	4	17	10.968342570103395	1.3863269238106917
SLE	hla_ii_only	5	17	11.168036976129422	1.135689770822716
SLE	hla_ii_only	6	12	10.971009424370587	1.2388012887528643
SLE	ifn_apc	0	5	10.228484789756582	1.2488961449286387
SLE	ifn_apc	1	16	10.776906766999794	1.0320301742592162
SLE	ifn_apc	2	18	10.511547605852698	1.3083907489281377
SLE	ifn_apc	3	16	10.925641492708081	1.2006250607994429
SLE	ifn_apc	4	17	10.392741077295062	1.3659077946727394
SLE	ifn_apc	5	17	10.341915791736266	1.1469326024538733
SLE	ifn_apc	6	12	10.316787326411252	1.2153993805553478
SLE	lysosomal_apc	0	5	11.038085610683943	1.0390929198687462
SLE	lysosomal_apc	1	16	11.76204443109034	0.7182289558102539
SLE	lysosomal_apc	2	18	11.574266979713592	0.9060399558286698
SLE	lysosomal_apc	3	16	11.674311309859636	0.9105127252072998
SLE	lysosomal_apc	4	17	11.225812787795393	0.9853456412880658
SLE	lysosomal_apc	5	17	11.28762901106955	0.8528734335217083
SLE	lysosomal_apc	6	12	11.355581837919404	0.8587309688438601
SLE	mif_cd74_receptor_state	0	5	10.949577317091912	1.0631531004547388
SLE	mif_cd74_receptor_state	1	16	11.17647162438102	0.8158147071179778
SLE	mif_cd74_receptor_state	2	18	10.928245573020597	0.9446362181832213
SLE	mif_cd74_receptor_state	3	16	11.160072939327224	0.8285362850298196
SLE	mif_cd74_receptor_state	4	17	10.804532516902654	1.212248983320224
SLE	mif_cd74_receptor_state	5	17	10.95616125207159	0.9676451299969118
SLE	mif_cd74_receptor_state	6	12	10.823812607181537	1.0602965920707297
SNRA	hif_nampt_metabolic	0	4	11.10227483268613	1.2784043145925421
SNRA	hif_nampt_metabolic	1	7	11.475151727286617	0.9329873361836212
SNRA	hif_nampt_metabolic	2	9	11.561556116116527	0.6537841145222433
SNRA	hif_nampt_metabolic	3	7	11.595997996279976	1.0220724022482066
SNRA	hif_nampt_metabolic	4	10	11.147468910947891	0.7438914420840851
SNRA	hif_nampt_metabolic	5	8	11.009824306616203	0.6928053894623828
SNRA	hif_nampt_metabolic	6	3	11.027619462323342	0.5328619046429491
SNRA	hla_ii_only	0	4	11.13289725293808	1.474738038014769
SNRA	hla_ii_only	1	7	10.90837644820758	0.5577021620690737
SNRA	hla_ii_only	2	9	10.927307343808188	0.5382385418021914
SNRA	hla_ii_only	3	7	11.280359571466205	1.2040423216948926
SNRA	hla_ii_only	4	10	11.17363510423336	0.7488452100124071
SNRA	hla_ii_only	5	8	10.792733509245977	0.7351897449079166
SNRA	hla_ii_only	6	3	10.605586092514779	0.40334630613986533
SNRA	ifn_apc	0	4	9.613217509243302	1.2172255811530568
SNRA	ifn_apc	1	7	9.473258073574398	0.6303128140467297
SNRA	ifn_apc	2	9	9.682853593006277	0.5017240380616147
SNRA	ifn_apc	3	7	10.094086650196036	1.1805470175716686
SNRA	ifn_apc	4	10	9.97652043131456	1.0717914855249526
SNRA	ifn_apc	5	8	9.395108177467332	0.7244311415878422
SNRA	ifn_apc	6	3	9.406118684076217	0.31609609740500927
SNRA	lysosomal_apc	0	4	11.04162440757156	1.2768557718940488
SNRA	lysosomal_apc	1	7	11.244618855352218	0.7754235642089854
SNRA	lysosomal_apc	2	9	11.26698530549619	0.5985040548217645
SNRA	lysosomal_apc	3	7	11.394739660565378	1.0847028035700075
SNRA	lysosomal_apc	4	10	11.101147839861218	0.6431014130878638
SNRA	lysosomal_apc	5	8	10.893969122840582	0.5991575242154032
SNRA	lysosomal_apc	6	3	10.839256446430115	0.3094921356824459
SNRA	mif_cd74_receptor_state	0	4	10.941398459947296	1.3757225044245964
SNRA	mif_cd74_receptor_state	1	7	10.752459710386564	0.6051410076395567
SNRA	mif_cd74_receptor_state	2	9	10.806760154316326	0.5712208085767416
SNRA	mif_cd74_receptor_state	3	7	11.043736988578063	1.1265866930936776
SNRA	mif_cd74_receptor_state	4	10	10.970335210126446	0.6474614856178081
SNRA	mif_cd74_receptor_state	5	8	10.667177820519527	0.7426310841934
SNRA	mif_cd74_receptor_state	6	3	10.499697319293155	0.39896713144639645
SPRA	hif_nampt_metabolic	0	13	11.66023514095118	0.6136294010508875
SPRA	hif_nampt_metabolic	1	16	11.750496978868087	0.7197577975555066
SPRA	hif_nampt_metabolic	2	14	11.613929245801462	0.7038421672573059
SPRA	hif_nampt_metabolic	3	14	11.416018336630454	1.0404393174488245
SPRA	hif_nampt_metabolic	4	17	11.439803761719062	0.7503617880482822
SPRA	hif_nampt_metabolic	5	14	11.651198161014923	0.8049170856883969
SPRA	hif_nampt_metabolic	6	5	12.013629820824649	0.8120501968256577
SPRA	hla_ii_only	0	13	11.512850195690618	0.7507647292491308
SPRA	hla_ii_only	1	16	11.313240909799603	1.1267817698412976
SPRA	hla_ii_only	2	14	11.054695332123476	0.763255626212209
SPRA	hla_ii_only	3	14	10.867056532348204	1.066997207496422
SPRA	hla_ii_only	4	17	11.360381200414817	0.7573055270641574
SPRA	hla_ii_only	5	14	11.711054501699165	0.8473574916553419
SPRA	hla_ii_only	6	5	12.26139769818002	0.8543384611961182
SPRA	ifn_apc	0	13	10.40688399592256	1.3817344474561628
SPRA	ifn_apc	1	16	10.05513183049229	0.9708955657085724
SPRA	ifn_apc	2	14	9.921503023540115	0.8205320045219415
SPRA	ifn_apc	3	14	9.855553518363099	1.0475385900032665
SPRA	ifn_apc	4	17	9.992800544203455	0.663265748866307
SPRA	ifn_apc	5	14	10.506798271666543	0.8039857169153501
SPRA	ifn_apc	6	5	11.122223327863441	1.304318918008728
SPRA	lysosomal_apc	0	13	11.7769925883148	0.6580313383708121
SPRA	lysosomal_apc	1	16	11.661512334825066	0.7879004521321841
SPRA	lysosomal_apc	2	14	11.422587166468062	0.7014736008247893
SPRA	lysosomal_apc	3	14	11.210755502413425	1.041637010195636
SPRA	lysosomal_apc	4	17	11.520136071676012	0.7470428484398967
SPRA	lysosomal_apc	5	14	11.706867333924404	0.695062966202475
SPRA	lysosomal_apc	6	5	12.045646741943914	0.7826407439823889
SPRA	mif_cd74_receptor_state	0	13	11.404354444127385	0.6444337802539047
SPRA	mif_cd74_receptor_state	1	16	11.170524759927453	0.9691250543489601
SPRA	mif_cd74_receptor_state	2	14	10.95294629026456	0.7408256793655793
SPRA	mif_cd74_receptor_state	3	14	10.761911169967957	1.0504783737585004
SPRA	mif_cd74_receptor_state	4	17	11.287664775511432	0.7032994227297892
SPRA	mif_cd74_receptor_state	5	14	11.542434550025968	0.7482588470146023
SPRA	mif_cd74_receptor_state	6	5	11.923875004613429	0.8042549883580702
