samplegroup	module	term	coef_vs_reference_timepoint	p	n	r2
HEALTHY	hif_nampt_metabolic	C(timepoint_cat)[T.2]	-0.12517826689701528	0.5840809077169432	93	0.033869484271012995
HEALTHY	hif_nampt_metabolic	C(timepoint_cat)[T.3]	0.2145406012932507	0.3489189859520869	93	0.033869484271012995
HEALTHY	hif_nampt_metabolic	C(timepoint_cat)[T.4]	-0.13321688961763534	0.5655540561277478	93	0.033869484271012995
HEALTHY	hif_nampt_metabolic	C(timepoint_cat)[T.5]	-0.05910821488322071	0.7986090451914716	93	0.033869484271012995
HEALTHY	hla_ii_only	C(timepoint_cat)[T.2]	-0.10160870910188968	0.7116256741202261	93	0.07032105896860585
HEALTHY	hla_ii_only	C(timepoint_cat)[T.3]	0.3367160495859758	0.2223452635131638	93	0.07032105896860585
HEALTHY	hla_ii_only	C(timepoint_cat)[T.4]	0.3206497763742915	0.2514444824741055	93	0.07032105896860585
HEALTHY	hla_ii_only	C(timepoint_cat)[T.5]	0.502398106841285	0.0738981783067411	93	0.07032105896860585
HEALTHY	ifn_apc	C(timepoint_cat)[T.2]	0.1688155239806456	0.5706353266745637	93	0.026199370744476536
HEALTHY	ifn_apc	C(timepoint_cat)[T.3]	0.3816690657762818	0.20146875073517212	93	0.026199370744476536
HEALTHY	ifn_apc	C(timepoint_cat)[T.4]	0.38471341109946056	0.20404344055599638	93	0.026199370744476536
HEALTHY	ifn_apc	C(timepoint_cat)[T.5]	0.28030363470451936	0.35371517852152684	93	0.026199370744476536
HEALTHY	lysosomal_apc	C(timepoint_cat)[T.2]	-0.06826708021722339	0.7633409784743611	93	0.02894380684209663
HEALTHY	lysosomal_apc	C(timepoint_cat)[T.3]	0.2467192291014868	0.2780107486756706	93	0.02894380684209663
HEALTHY	lysosomal_apc	C(timepoint_cat)[T.4]	0.04107657370141582	0.8581451282152827	93	0.02894380684209663
HEALTHY	lysosomal_apc	C(timepoint_cat)[T.5]	0.17956265140018024	0.4353657947284161	93	0.02894380684209663
HEALTHY	mif_cd74_receptor_state	C(timepoint_cat)[T.2]	-0.07618923655424759	0.7627095307427465	93	0.06879671316610048
HEALTHY	mif_cd74_receptor_state	C(timepoint_cat)[T.3]	0.33061432286729664	0.19218219569032646	93	0.06879671316610048
HEALTHY	mif_cd74_receptor_state	C(timepoint_cat)[T.4]	0.315257940885302	0.21969542347789758	93	0.06879671316610048
HEALTHY	mif_cd74_receptor_state	C(timepoint_cat)[T.5]	0.4512262992804681	0.08031165167220597	93	0.06879671316610048
SLE	hif_nampt_metabolic	C(timepoint_cat)[T.1]	0.8761973617569856	0.048887097627306066	101	0.10763361063360044
SLE	hif_nampt_metabolic	C(timepoint_cat)[T.2]	0.7752079440359925	0.07678806801425779	101	0.10763361063360044
SLE	hif_nampt_metabolic	C(timepoint_cat)[T.3]	0.9358559540737064	0.03567071035343974	101	0.10763361063360044
SLE	hif_nampt_metabolic	C(timepoint_cat)[T.4]	0.3361662906088907	0.44263622687859955	101	0.10763361063360044
SLE	hif_nampt_metabolic	C(timepoint_cat)[T.5]	0.36370644319238377	0.4062991571372313	101	0.10763361063360044
SLE	hif_nampt_metabolic	C(timepoint_cat)[T.6]	0.3342797187835611	0.4655222839157953	101	0.10763361063360044
SLE	hla_ii_only	C(timepoint_cat)[T.1]	0.10485699109613078	0.8531539081541863	101	0.017405620952709255
SLE	hla_ii_only	C(timepoint_cat)[T.2]	-0.19297350560146764	0.7299741656899315	101	0.017405620952709255
SLE	hla_ii_only	C(timepoint_cat)[T.3]	0.05729382517335724	0.9194371281145453	101	0.017405620952709255
SLE	hla_ii_only	C(timepoint_cat)[T.4]	-0.25967860545890487	0.6445015976101275	101	0.017405620952709255
SLE	hla_ii_only	C(timepoint_cat)[T.5]	-0.05998419943288136	0.9150735714874312	101	0.017405620952709255
SLE	hla_ii_only	C(timepoint_cat)[T.6]	-0.2570117511917154	0.6624722875987735	101	0.017405620952709255
SLE	ifn_apc	C(timepoint_cat)[T.1]	0.5484219772432044	0.3828154710649603	101	0.03716003892153108
SLE	ifn_apc	C(timepoint_cat)[T.2]	0.28306281609611217	0.6475268742859004	101	0.03716003892153108
SLE	ifn_apc	C(timepoint_cat)[T.3]	0.6971567029514931	0.26785160344026115	101	0.03716003892153108
SLE	ifn_apc	C(timepoint_cat)[T.4]	0.16425628753847477	0.7919930892908449	101	0.03716003892153108
SLE	ifn_apc	C(timepoint_cat)[T.5]	0.11343100197967626	0.8554744218641966	101	0.03716003892153108
SLE	ifn_apc	C(timepoint_cat)[T.6]	0.08830253665466259	0.8921985759781113	101	0.03716003892153108
SLE	lysosomal_apc	C(timepoint_cat)[T.1]	0.7239588204063865	0.11396680068307762	101	0.06217137368169834
SLE	lysosomal_apc	C(timepoint_cat)[T.2]	0.5361813690296433	0.2340912160080794	101	0.06217137368169834
SLE	lysosomal_apc	C(timepoint_cat)[T.3]	0.6362256991756849	0.16417569971284668	101	0.06217137368169834
SLE	lysosomal_apc	C(timepoint_cat)[T.4]	0.18772717711144438	0.6778914228073899	101	0.06217137368169834
SLE	lysosomal_apc	C(timepoint_cat)[T.5]	0.24954340038559764	0.5810070582222099	101	0.06217137368169834
SLE	lysosomal_apc	C(timepoint_cat)[T.6]	0.3174962272354538	0.5022935856835975	101	0.06217137368169834
SLE	mif_cd74_receptor_state	C(timepoint_cat)[T.1]	0.22689430728910143	0.6533808497517286	101	0.021692481476778047
SLE	mif_cd74_receptor_state	C(timepoint_cat)[T.2]	-0.02133174407131655	0.9658509598132567	101	0.021692481476778047
SLE	mif_cd74_receptor_state	C(timepoint_cat)[T.3]	0.2104956222353067	0.6769378561989211	101	0.021692481476778047
SLE	mif_cd74_receptor_state	C(timepoint_cat)[T.4]	-0.14504480018926103	0.7724311441203751	101	0.021692481476778047
SLE	mif_cd74_receptor_state	C(timepoint_cat)[T.5]	0.006583934979671913	0.9895238777361202	101	0.021692481476778047
SLE	mif_cd74_receptor_state	C(timepoint_cat)[T.6]	-0.12576470991038136	0.8105778997304864	101	0.021692481476778047
SNRA	hif_nampt_metabolic	C(timepoint_cat)[T.1]	0.37287689460047857	0.4812403848515145	48	0.08674827284298092
SNRA	hif_nampt_metabolic	C(timepoint_cat)[T.2]	0.4592812834303904	0.36649416641915733	48	0.08674827284298092
SNRA	hif_nampt_metabolic	C(timepoint_cat)[T.3]	0.49372316359383395	0.35214196742803855	48	0.08674827284298092
SNRA	hif_nampt_metabolic	C(timepoint_cat)[T.4]	0.045194078261752146	0.9277207451665849	48	0.08674827284298092
SNRA	hif_nampt_metabolic	C(timepoint_cat)[T.5]	-0.09245052606994086	0.8577439859690166	48	0.08674827284298092
SNRA	hif_nampt_metabolic	C(timepoint_cat)[T.6]	-0.0746553703627919	0.9075991749553679	48	0.08674827284298092
SNRA	hla_ii_only	C(timepoint_cat)[T.1]	-0.22452080473050895	0.6700436128460976	48	0.06048585381638483
