level	check	subject	sample_id	detail
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_01	GSM7119001	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_02	GSM7119002	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_03	GSM7119003	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_04	GSM7119004	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_05	GSM7119005	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_06	GSM7119006	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_07	GSM7119007	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_08	GSM7119008	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_09	GSM7119009	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_10	GSM7119010	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_11	GSM7119011	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_12	GSM7119012	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_13	GSM7119013	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_14	GSM7119014	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_15	GSM7119015	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_16	GSM7119016	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
FAIL	unverified_subject_identifier	UNVERIFIED_PUBLIC_ORDER_17	GSM7119017	subject contains placeholder/unverified token(s): UNVERIFIED,PUBLIC_ORDER
