dataset	arm	time_h	gene	log2_cpm_plus_0_5	delta_vs_arm_0h
GSE294918	PBS_LPS	0	C15ORF48	5.471839215844161	0.0
GSE294918	PBS_LPS	1	C15ORF48	5.501696656297826	0.029857440453664452
GSE294918	PBS_LPS	3	C15ORF48	7.162344329871454	1.6905051140272924
GSE294918	PBS_LPS	6	C15ORF48	8.11446667169317	2.6426274558490093
GSE294918	PBS_LPS	12	C15ORF48	8.593631811105011	3.1217925952608496
GSE294918	PBS_LPS	0	CASP1	6.020137800876832	0.0
GSE294918	PBS_LPS	1	CASP1	6.131094194122822	0.11095639324599027
GSE294918	PBS_LPS	3	CASP1	6.542490199264075	0.5223523983872438
GSE294918	PBS_LPS	6	CASP1	7.313871200372669	1.2937333994958378
GSE294918	PBS_LPS	12	CASP1	7.974597887623719	1.954460086746887
GSE294918	PBS_LPS	0	CASP4	6.231450369443954	0.0
GSE294918	PBS_LPS	1	CASP4	6.1938385309446415	-0.03761183849931271
GSE294918	PBS_LPS	3	CASP4	7.301114332806837	1.069663963362883
GSE294918	PBS_LPS	6	CASP4	7.717969472857975	1.4865191034140208
GSE294918	PBS_LPS	12	CASP4	7.812843701726413	1.5813933322824587
GSE294918	PBS_LPS	0	CASP5	0.7481196534116971	0.0
GSE294918	PBS_LPS	1	CASP5	0.9496250619440347	0.20150540853233767
GSE294918	PBS_LPS	3	CASP5	4.6367185391086405	3.8885988856969433
GSE294918	PBS_LPS	6	CASP5	4.53394458980267	3.7858249363909726
GSE294918	PBS_LPS	12	CASP5	3.695992843520546	2.9478731901088486
GSE294918	PBS_LPS	0	CCL2	6.737443899921564	0.0
GSE294918	PBS_LPS	1	CCL2	7.638504553506853	0.9010606535852892
GSE294918	PBS_LPS	3	CCL2	7.824375530182878	1.0869316302613141
GSE294918	PBS_LPS	6	CCL2	9.906797176877872	3.1693532769563078
GSE294918	PBS_LPS	12	CCL2	10.547327303755832	3.8098834038342684
GSE294918	PBS_LPS	0	CCL20	0.9955975956872638	0.0
GSE294918	PBS_LPS	1	CCL20	6.283561347919019	5.287963752231755
GSE294918	PBS_LPS	3	CCL20	7.673216718919844	6.67761912323258
GSE294918	PBS_LPS	6	CCL20	6.844977121830481	5.849379526143217
GSE294918	PBS_LPS	12	CCL20	5.236088690652756	4.240491094965492
GSE294918	PBS_LPS	0	CD74	13.05407935820466	0.0
GSE294918	PBS_LPS	1	CD74	13.069889638602259	0.015810280397598575
GSE294918	PBS_LPS	3	CD74	12.802215646772899	-0.25186371143176167
GSE294918	PBS_LPS	6	CD74	12.711603163007549	-0.34247619519711137
GSE294918	PBS_LPS	12	CD74	12.831934225182742	-0.22214513302191818
GSE294918	PBS_LPS	0	CIITA	7.264094750090025	0.0
GSE294918	PBS_LPS	1	CIITA	7.272737847068374	0.008643096978349085
GSE294918	PBS_LPS	3	CIITA	6.059449740242883	-1.204645009847142
GSE294918	PBS_LPS	6	CIITA	5.7067435531399155	-1.5573511969501093
GSE294918	PBS_LPS	12	CIITA	6.122192091921528	-1.1419026581684966
GSE294918	PBS_LPS	0	CTSS	12.547199243549242	0.0
GSE294918	PBS_LPS	1	CTSS	12.466520304361916	-0.08067893918732594
GSE294918	PBS_LPS	3	CTSS	12.22593941051949	-0.32125983302975136
GSE294918	PBS_LPS	6	CTSS	12.260188341173299	-0.2870109023759433
GSE294918	PBS_LPS	12	CTSS	12.186418842038563	-0.360780401510679
GSE294918	PBS_LPS	0	CXCL10	2.7934733130201326	0.0
GSE294918	PBS_LPS	1	CXCL10	4.412450956552918	1.6189776435327858
GSE294918	PBS_LPS	3	CXCL10	11.827120427911792	9.033647114891659
GSE294918	PBS_LPS	6	CXCL10	12.11748101958625	9.324007706566118
GSE294918	PBS_LPS	12	CXCL10	12.746859386084505	9.953386073064372
GSE294918	PBS_LPS	0	CXCL8	5.043313872657264	0.0
GSE294918	PBS_LPS	1	CXCL8	10.233238683070931	5.189924810413667
GSE294918	PBS_LPS	3	CXCL8	10.068698548746926	5.025384676089662
GSE294918	PBS_LPS	6	CXCL8	11.410131820121261	6.366817947463997
GSE294918	PBS_LPS	12	CXCL8	11.163129785115538	6.119815912458274
GSE294918	PBS_LPS	0	GBP1	5.445323949389118	0.0
GSE294918	PBS_LPS	1	GBP1	5.858218665029879	0.4128947156407614
GSE294918	PBS_LPS	3	GBP1	12.007564427074886	6.562240477685768
GSE294918	PBS_LPS	6	GBP1	12.506035387211034	7.060711437821916
GSE294918	PBS_LPS	12	GBP1	12.415967148549464	6.970643199160347
GSE294918	PBS_LPS	0	GBP2	6.689296251377551	0.0
GSE294918	PBS_LPS	1	GBP2	6.808933394523334	0.11963714314578233
GSE294918	PBS_LPS	3	GBP2	9.636306357001542	2.947010105623991
GSE294918	PBS_LPS	6	GBP2	10.271966871190404	3.582670619812853
GSE294918	PBS_LPS	12	GBP2	10.246803246907161	3.55750699552961
GSE294918	PBS_LPS	0	GBP5	5.554106167962565	0.0
GSE294918	PBS_LPS	1	GBP5	5.624516576623645	0.07041040866107995
GSE294918	PBS_LPS	3	GBP5	10.985011385009061	5.430905217046496
GSE294918	PBS_LPS	6	GBP5	10.99246746999848	5.438361302035916
GSE294918	PBS_LPS	12	GBP5	10.574401758190163	5.020295590227598
GSE294918	PBS_LPS	0	GSDMD	5.051150290756238	0.0
GSE294918	PBS_LPS	1	GSDMD	4.98840638473252	-0.0627439060237176
GSE294918	PBS_LPS	3	GSDMD	5.599071130385297	0.5479208396290591
GSE294918	PBS_LPS	6	GSDMD	6.230415397257203	1.1792651065009654
GSE294918	PBS_LPS	12	GSDMD	6.745922096058702	1.694771805302464
GSE294918	PBS_LPS	0	HLA-DPA1	11.123063667934476	0.0
GSE294918	PBS_LPS	1	HLA-DPA1	11.184118812330066	0.06105514439559023
GSE294918	PBS_LPS	3	HLA-DPA1	10.729646949726002	-0.39341671820847424
GSE294918	PBS_LPS	6	HLA-DPA1	10.77444728302695	-0.3486163849075261
GSE294918	PBS_LPS	12	HLA-DPA1	10.850587079977906	-0.2724765879565698
GSE294918	PBS_LPS	0	HLA-DPB1	9.711034230517443	0.0
GSE294918	PBS_LPS	1	HLA-DPB1	9.805068379301275	0.0940341487838321
GSE294918	PBS_LPS	3	HLA-DPB1	9.386288078867235	-0.32474615165020815
GSE294918	PBS_LPS	6	HLA-DPB1	9.323100930574308	-0.3879332999431355
GSE294918	PBS_LPS	12	HLA-DPB1	9.348175118111797	-0.36285911240564594
GSE294918	PBS_LPS	0	HLA-DQA1	9.73578482667763	0.0
GSE294918	PBS_LPS	1	HLA-DQA1	9.84388565349208	0.1081008268144501
GSE294918	PBS_LPS	3	HLA-DQA1	9.626370855304053	-0.10941397137357711
GSE294918	PBS_LPS	6	HLA-DQA1	9.582848069706825	-0.15293675697080467
