dataset	arm	time_h	module	mean_log2_cpm_plus_0_5	delta_vs_arm_0h	n_genes_present	genes_present
GSE294918	PBS_LPS	0	mocci_c15_ndufa4	6.124992843860529	0.0	2	C15ORF48;NDUFA4
GSE294918	PBS_LPS	1	mocci_c15_ndufa4	6.0840703516484105	-0.0409224922121183	2	C15ORF48;NDUFA4
GSE294918	PBS_LPS	3	mocci_c15_ndufa4	6.762506559077359	0.63751371521683	2	C15ORF48;NDUFA4
GSE294918	PBS_LPS	6	mocci_c15_ndufa4	7.169579055276427	1.044586211415898	2	C15ORF48;NDUFA4
GSE294918	PBS_LPS	12	mocci_c15_ndufa4	7.279307419116874	1.154314575256345	2	C15ORF48;NDUFA4
GSE294918	PBS_LPS	0	nfkb_lps	4.439019111244314	0.0	6	TNF;NFKBIA;IL1B;CXCL8;CCL2;CCL20
GSE294918	PBS_LPS	1	nfkb_lps	9.271664399229499	4.8326452879851844	6	TNF;NFKBIA;IL1B;CXCL8;CCL2;CCL20
GSE294918	PBS_LPS	3	nfkb_lps	9.348814667618035	4.90979555637372	6	TNF;NFKBIA;IL1B;CXCL8;CCL2;CCL20
GSE294918	PBS_LPS	6	nfkb_lps	9.518253502094622	5.079234390850307	6	TNF;NFKBIA;IL1B;CXCL8;CCL2;CCL20
GSE294918	PBS_LPS	12	nfkb_lps	8.807720892601521	4.368701781357207	6	TNF;NFKBIA;IL1B;CXCL8;CCL2;CCL20
GSE294918	PBS_LPS	0	ifn_core	5.241166606184684	0.0	8	STAT1;IRF1;ISG15;IFIT1;CXCL10;GBP1;GBP2;GBP5
GSE294918	PBS_LPS	1	ifn_core	5.848936594928562	0.6077699887438772	8	STAT1;IRF1;ISG15;IFIT1;CXCL10;GBP1;GBP2;GBP5
GSE294918	PBS_LPS	3	ifn_core	10.47953573412975	5.238369127945065	8	STAT1;IRF1;ISG15;IFIT1;CXCL10;GBP1;GBP2;GBP5
GSE294918	PBS_LPS	6	ifn_core	10.769284268399588	5.528117662214903	8	STAT1;IRF1;ISG15;IFIT1;CXCL10;GBP1;GBP2;GBP5
GSE294918	PBS_LPS	12	ifn_core	11.01500412188048	5.773837515695796	8	STAT1;IRF1;ISG15;IFIT1;CXCL10;GBP1;GBP2;GBP5
GSE294918	PBS_LPS	0	apc_mhcii	9.092227416159055	0.0	10	CIITA;CD74;CTSS;IFI30;RFX5;HLA-DRA;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1
GSE294918	PBS_LPS	1	apc_mhcii	9.15011464636975	0.057887230210694085	10	CIITA;CD74;CTSS;IFI30;RFX5;HLA-DRA;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1
GSE294918	PBS_LPS	3	apc_mhcii	8.771265215267032	-0.32096220089202276	10	CIITA;CD74;CTSS;IFI30;RFX5;HLA-DRA;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1
GSE294918	PBS_LPS	6	apc_mhcii	8.740726201964296	-0.35150121419475866	10	CIITA;CD74;CTSS;IFI30;RFX5;HLA-DRA;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1
GSE294918	PBS_LPS	12	apc_mhcii	8.862948475135985	-0.22927894102307	10	CIITA;CD74;CTSS;IFI30;RFX5;HLA-DRA;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1
GSE294918	PBS_LPS	0	pyroptosis_noncanonical	4.792090029665116	0.0	10	CASP1;CASP4;CASP5;GSDMD;NLRP3;IL1B;IL18;GBP1;GBP2;GBP5
GSE294918	PBS_LPS	1	pyroptosis_noncanonical	5.687579945319955	0.8954899156548395	10	CASP1;CASP4;CASP5;GSDMD;NLRP3;IL1B;IL18;GBP1;GBP2;GBP5
GSE294918	PBS_LPS	3	pyroptosis_noncanonical	7.667012380870124	2.874922351205008	10	CASP1;CASP4;CASP5;GSDMD;NLRP3;IL1B;IL18;GBP1;GBP2;GBP5
GSE294918	PBS_LPS	6	pyroptosis_noncanonical	7.82683727716072	3.0347472474956048	10	CASP1;CASP4;CASP5;GSDMD;NLRP3;IL1B;IL18;GBP1;GBP2;GBP5
GSE294918	PBS_LPS	12	pyroptosis_noncanonical	7.669381329609574	2.877291299944458	10	CASP1;CASP4;CASP5;GSDMD;NLRP3;IL1B;IL18;GBP1;GBP2;GBP5
GSE294918	PBS_LPS	0	stress_branch_targets	7.854280634772794	0.0	2	LITAF;CASP4
GSE294918	PBS_LPS	1	stress_branch_targets	7.827480816683233	-0.026799818089561	2	LITAF;CASP4
GSE294918	PBS_LPS	3	stress_branch_targets	9.14522119702857	1.290940562255777	2	LITAF;CASP4
GSE294918	PBS_LPS	6	stress_branch_targets	9.244584251122465	1.3903036163496711	2	LITAF;CASP4
GSE294918	PBS_LPS	12	stress_branch_targets	8.88908251928149	1.0348018845086973	2	LITAF;CASP4
GSE294918	IFNy_memory_LPS	0	mocci_c15_ndufa4	5.952560121218281	0.0	2	C15ORF48;NDUFA4
GSE294918	IFNy_memory_LPS	1	mocci_c15_ndufa4	5.723272092842121	-0.22928802837615958	2	C15ORF48;NDUFA4
GSE294918	IFNy_memory_LPS	3	mocci_c15_ndufa4	6.75416490700327	0.8016047857849893	2	C15ORF48;NDUFA4
GSE294918	IFNy_memory_LPS	6	mocci_c15_ndufa4	7.245206546125521	1.2926464249072405	2	C15ORF48;NDUFA4
GSE294918	IFNy_memory_LPS	12	mocci_c15_ndufa4	7.559654383255585	1.6070942620373039	2	C15ORF48;NDUFA4
GSE294918	IFNy_memory_LPS	0	nfkb_lps	4.842239088046099	0.0	6	TNF;NFKBIA;IL1B;CXCL8;CCL2;CCL20
GSE294918	IFNy_memory_LPS	1	nfkb_lps	9.009851349794664	4.167612261748565	6	TNF;NFKBIA;IL1B;CXCL8;CCL2;CCL20
GSE294918	IFNy_memory_LPS	3	nfkb_lps	9.106761710103976	4.264522622057878	6	TNF;NFKBIA;IL1B;CXCL8;CCL2;CCL20
GSE294918	IFNy_memory_LPS	6	nfkb_lps	8.593730677615495	3.7514915895693965	6	TNF;NFKBIA;IL1B;CXCL8;CCL2;CCL20
GSE294918	IFNy_memory_LPS	12	nfkb_lps	7.899351123223391	3.0571120351772922	6	TNF;NFKBIA;IL1B;CXCL8;CCL2;CCL20
GSE294918	IFNy_memory_LPS	0	ifn_core	9.201402281299806	0.0	8	STAT1;IRF1;ISG15;IFIT1;CXCL10;GBP1;GBP2;GBP5
GSE294918	IFNy_memory_LPS	1	ifn_core	9.892754972228325	0.6913526909285181	8	STAT1;IRF1;ISG15;IFIT1;CXCL10;GBP1;GBP2;GBP5
GSE294918	IFNy_memory_LPS	3	ifn_core	11.28695971835483	2.085557437055023	8	STAT1;IRF1;ISG15;IFIT1;CXCL10;GBP1;GBP2;GBP5
GSE294918	IFNy_memory_LPS	6	ifn_core	10.969120801417963	1.7677185201181569	8	STAT1;IRF1;ISG15;IFIT1;CXCL10;GBP1;GBP2;GBP5
GSE294918	IFNy_memory_LPS	12	ifn_core	10.793954804760867	1.5925525234610607	8	STAT1;IRF1;ISG15;IFIT1;CXCL10;GBP1;GBP2;GBP5
GSE294918	IFNy_memory_LPS	0	apc_mhcii	9.888871239227047	0.0	10	CIITA;CD74;CTSS;IFI30;RFX5;HLA-DRA;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1
GSE294918	IFNy_memory_LPS	1	apc_mhcii	9.892545952935915	0.0036747137088681825	10	CIITA;CD74;CTSS;IFI30;RFX5;HLA-DRA;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1
GSE294918	IFNy_memory_LPS	3	apc_mhcii	9.541274702015247	-0.3475965372117997	10	CIITA;CD74;CTSS;IFI30;RFX5;HLA-DRA;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1
GSE294918	IFNy_memory_LPS	6	apc_mhcii	9.370683946016158	-0.5181872932108895	10	CIITA;CD74;CTSS;IFI30;RFX5;HLA-DRA;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1
GSE294918	IFNy_memory_LPS	12	apc_mhcii	9.390272496730345	-0.4985987424967018	10	CIITA;CD74;CTSS;IFI30;RFX5;HLA-DRA;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1
GSE294918	IFNy_memory_LPS	0	pyroptosis_noncanonical	6.577169783778773	0.0	10	CASP1;CASP4;CASP5;GSDMD;NLRP3;IL1B;IL18;GBP1;GBP2;GBP5
GSE294918	IFNy_memory_LPS	1	pyroptosis_noncanonical	7.356952814254235	0.7797830304754623	10	CASP1;CASP4;CASP5;GSDMD;NLRP3;IL1B;IL18;GBP1;GBP2;GBP5
GSE294918	IFNy_memory_LPS	3	pyroptosis_noncanonical	8.237494511651635	1.6603247278728617	10	CASP1;CASP4;CASP5;GSDMD;NLRP3;IL1B;IL18;GBP1;GBP2;GBP5
GSE294918	IFNy_memory_LPS	6	pyroptosis_noncanonical	8.044323747619817	1.467153963841044	10	CASP1;CASP4;CASP5;GSDMD;NLRP3;IL1B;IL18;GBP1;GBP2;GBP5
GSE294918	IFNy_memory_LPS	12	pyroptosis_noncanonical	7.436713129540737	0.8595433457619643	10	CASP1;CASP4;CASP5;GSDMD;NLRP3;IL1B;IL18;GBP1;GBP2;GBP5
GSE294918	IFNy_memory_LPS	0	stress_branch_targets	8.46205037831547	0.0	2	LITAF;CASP4
GSE294918	IFNy_memory_LPS	1	stress_branch_targets	8.48632941058419	0.024279032268720968	2	LITAF;CASP4
GSE294918	IFNy_memory_LPS	3	stress_branch_targets	9.389773435599377	0.9277230572839077	2	LITAF;CASP4
GSE294918	IFNy_memory_LPS	6	stress_branch_targets	9.388683017908406	0.9266326395929365	2	LITAF;CASP4
GSE294918	IFNy_memory_LPS	12	stress_branch_targets	8.842424444626193	0.3803740663107238	2	LITAF;CASP4
GSE294918	IFNy_memory_rux_LPS	0	mocci_c15_ndufa4	6.304916845774539	0.0	2	C15ORF48;NDUFA4
GSE294918	IFNy_memory_rux_LPS	1	mocci_c15_ndufa4	6.345972063698185	0.0410552179236463	2	C15ORF48;NDUFA4
GSE294918	IFNy_memory_rux_LPS	3	mocci_c15_ndufa4	6.972138940853946	0.6672220950794072	2	C15ORF48;NDUFA4
GSE294918	IFNy_memory_rux_LPS	6	mocci_c15_ndufa4	7.45127382725803	1.1463569814834909	2	C15ORF48;NDUFA4
GSE294918	IFNy_memory_rux_LPS	0	nfkb_lps	4.150628087428027	0.0	6	TNF;NFKBIA;IL1B;CXCL8;CCL2;CCL20
GSE294918	IFNy_memory_rux_LPS	1	nfkb_lps	9.117555841776813	4.966927754348786	6	TNF;NFKBIA;IL1B;CXCL8;CCL2;CCL20
GSE294918	IFNy_memory_rux_LPS	3	nfkb_lps	9.613030193323807	5.46240210589578	6	TNF;NFKBIA;IL1B;CXCL8;CCL2;CCL20
GSE294918	IFNy_memory_rux_LPS	6	nfkb_lps	9.588982428667782	5.438354341239755	6	TNF;NFKBIA;IL1B;CXCL8;CCL2;CCL20
