dataset	kind	contrast	gene	present	n_case	n_control	mean_case_log2	mean_control_log2	log2fc	hedges_g	welch_p	fdr_within_contrast_focus_genes
GSE162464	gene	NTC_IFNg_vs_NTC_US	Casp1	True	3	3	12.079421767877482	10.947025428859524	1.1323963390179586	2.7714458171666667	0.04740045781573066	0.0646369879305418
GSE162464	gene	NTC_IFNg_vs_NTC_US	Casp4	True	3	3	10.202211693233172	8.627783938956021	1.574427754277151	4.379249682540469	0.010405498183878911	0.01836264385390396
GSE162464	gene	NTC_IFNg_vs_NTC_US	Ccl2	True	3	3	12.559695488082255	10.46897948334895	2.0907160047333058	5.343042462526171	0.006993894374693856	0.01311355195255098
GSE162464	gene	NTC_IFNg_vs_NTC_US	Ccl20	True	3	3	0.3333333333333333	0.3333333333333333	0.0	0.0	1.0	1.0
GSE162464	gene	NTC_IFNg_vs_NTC_US	Cd74	True	3	3	15.448672872200161	10.220430944667466	5.228241927532695	15.140535877018857	0.0007166260778169127	0.0023887535927230425
GSE162464	gene	NTC_IFNg_vs_NTC_US	Ciita	True	3	3	11.594113977366165	3.3974309381569223	8.196683039209242	19.848659727847405	1.6488592896485436e-05	0.00016488592896485437
GSE162464	gene	NTC_IFNg_vs_NTC_US	Ctss	True	3	3	14.96849038120338	13.536115054249754	1.4323753269536255	3.7758925098072695	0.02196845389330544	0.03295268083995816
GSE162464	gene	NTC_IFNg_vs_NTC_US	Cxcl10	True	3	3	11.008073558350283	4.5380832425631334	6.4699903157871494	12.077321238526798	5.1453997761275216e-05	0.0003859049832095641
GSE162464	gene	NTC_IFNg_vs_NTC_US	Cxcl2	True	3	3	9.142749245033924	6.9940341023189205	2.1487151427150035	4.684085613283771	0.011082013568763576	0.018470022614605962
GSE162464	gene	NTC_IFNg_vs_NTC_US	Gbp2	True	3	3	16.26597427112128	7.384510334489054	8.881463936632226	23.395652423474317	0.00018268195301202584	0.0010960917180721551
GSE162464	gene	NTC_IFNg_vs_NTC_US	Gbp5	True	3	3	12.944516438804094	3.8737120377582137	9.07080440104588	26.645257156885954	0.00045520789709546655	0.0019508909875519994
GSE162464	gene	NTC_IFNg_vs_NTC_US	Gsdmd	True	3	3	11.474594886366788	10.452589254596644	1.0220056317701438	2.6482341087423094	0.04623771960152586	0.0646369879305418
GSE162464	gene	NTC_IFNg_vs_NTC_US	H2-Aa	True	3	3	12.681130094112158	3.7097610056483217	8.971369088463836	20.337482408489848	6.364198885232929e-06	0.00016488592896485437
GSE162464	gene	NTC_IFNg_vs_NTC_US	H2-Ab1	True	3	3	13.202407557944674	5.805511220066528	7.396896337878147	16.625829700298926	1.4588221463762058e-05	0.00016488592896485437
GSE162464	gene	NTC_IFNg_vs_NTC_US	H2-DMa	True	3	3	11.169573269531144	6.194870079083176	4.9747031904479675	16.565477584299792	0.000841804006395431	0.002525412019186293
GSE162464	gene	NTC_IFNg_vs_NTC_US	H2-DMb1	True	3	3	11.34392337032446	6.87801331550176	4.465910054822699	11.203330045749667	0.00022548108796270657	0.0011274054398135328
GSE162464	gene	NTC_IFNg_vs_NTC_US	H2-Eb1	True	3	3	12.629978958551789	3.2604532378415527	9.369525720710236	11.34720380587991	0.0007075368903679615	0.0023887535927230425
GSE162464	gene	NTC_IFNg_vs_NTC_US	Ifi30	True	3	3	12.346640612266071	12.062189256690589	0.2844513555754826	0.7875362849867414	0.3408404565282012	0.4090085478338415
GSE162464	gene	NTC_IFNg_vs_NTC_US	Ifit1	True	3	3	9.314306470109697	3.2134149787407815	6.100891491368916	7.030058610275507	0.0026749856556956392	0.0053499713113912785
GSE162464	gene	NTC_IFNg_vs_NTC_US	Il18	True	3	3	6.405177666581885	6.189199878130193	0.21597778845169202	0.5629213334703667	0.4774159135716114	0.5336546234855349
GSE162464	gene	NTC_IFNg_vs_NTC_US	Il1b	True	3	3	6.883557711979758	4.594878281852507	2.2886794301272513	5.2858807719945915	0.00127094865587841	0.003177371639696025
GSE162464	gene	NTC_IFNg_vs_NTC_US	Irf1	True	3	3	13.549513863974733	9.413378378647463	4.136135485327269	10.997144891529958	0.0015299320333308723	0.0035306123846097054
GSE162464	gene	NTC_IFNg_vs_NTC_US	Isg15	True	3	3	9.299819317419875	4.431683808519203	4.8681355089006715	11.880918590429655	0.0009602758303783292	0.002618934082849989
GSE162464	gene	NTC_IFNg_vs_NTC_US	Litaf	True	3	3	12.871570518516656	12.697403201972973	0.17416731654368256	0.5252788987219167	0.5006138055998035	0.536371934571218
GSE162464	gene	NTC_IFNg_vs_NTC_US	Ndufa4	True	3	3	12.28642878820409	12.345687727785249	-0.05925893958115935	-0.15165003919026676	0.8366982019161987	0.86554986405124
GSE162464	gene	NTC_IFNg_vs_NTC_US	Nfkbia	True	3	3	10.956646740531463	10.156586140376923	0.8000606001545396	2.2450455457898175	0.05855751675412597	0.07319689594265745
GSE162464	gene	NTC_IFNg_vs_NTC_US	Nlrp3	True	3	3	11.177588112434186	10.259034671161144	0.9185534412730423	2.5026385785921885	0.05321901515250511	0.06941610672065883
GSE162464	gene	NTC_IFNg_vs_NTC_US	Rfx5	True	3	3	9.962062826583253	9.74777202840932	0.21429079817393237	0.5351499588473367	0.48028916113698145	0.5336546234855349
GSE162464	gene	NTC_IFNg_vs_NTC_US	Stat1	True	3	3	14.728168109092389	10.151947233550155	4.576220875542234	13.18362270395364	0.0022358950911632466	0.0047912037667783855
GSE162464	gene	NTC_IFNg_vs_NTC_US	Tnf	True	3	3	11.368651119504918	9.636181369770904	1.7324697497340136	4.57198819161422	0.017330729173394902	0.027364309221149845
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	Casp1	True	3	3	12.27706607163516	12.079421767877482	0.19764430375767716	0.46954822290309317	0.5372423034949664	0.5756167537446067
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	Casp4	True	3	3	9.760788156150635	10.202211693233172	-0.441423537082537	-1.2081906439877566	0.1700342870702625	0.25505143060539376
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	Ccl2	True	3	3	15.005259743983943	12.559695488082255	2.4455642559016884	6.325709553757497	0.0053880603647906205	0.04034273729392572
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	Ccl20	True	3	3	2.446616667628208	0.3333333333333333	2.1132833342948745	2.4204790271495797	0.024530709025509093	0.07250604417928343
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	Cd74	True	3	3	14.528518334236551	15.448672872200161	-0.9201545379636098	-2.7081441324413653	0.0434496794002058	0.08146814887538587
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	Ciita	True	3	3	9.803430814136261	11.594113977366165	-1.7906831632299038	-5.249188375338207	0.01224801777330137	0.04593006664988014
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	Ctss	True	3	3	14.393113956466479	14.96849038120338	-0.5753764247369002	-1.4815483309735153	0.1283615128579257	0.20267607293356693
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	Cxcl10	True	3	3	9.556028515444549	11.008073558350283	-1.452045042905734	-3.183297061899123	0.01024050986930126	0.04388789943986254
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	Cxcl2	True	3	3	11.87886531516685	9.142749245033924	2.736116070132926	6.053141762733947	0.007317799568046296	0.04034273729392572
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	Gbp2	True	3	3	16.235936783667874	16.26597427112128	-0.03003748745340573	-0.07839711327195897	0.9131623107505825	0.9446506662937061
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	Gbp5	True	3	3	11.998748802452873	12.944516438804094	-0.9457676363512206	-2.5743871341131097	0.03435358676460514	0.07361482878129674
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	Gsdmd	True	3	3	11.898111622921194	11.474594886366788	0.42351673655440614	1.0963666178053708	0.22173029872893057	0.30235949826672354
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	H2-Aa	True	3	3	9.184585190342657	12.681130094112158	-3.4965449037695002	-10.751393285655567	0.0021045338173603595	0.04034273729392572
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	H2-Ab1	True	3	3	11.059226007526023	13.202407557944674	-2.1431815504186513	-6.375871861425551	0.006319150873450646	0.04034273729392572
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	H2-DMa	True	3	3	9.649009784109333	11.169573269531144	-1.5205634854218104	-4.852837248891234	0.008068547458785144	0.04034273729392572
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	H2-DMb1	True	3	3	10.14226403003613	11.34392337032446	-1.2016593402883284	-3.5332808695639737	0.03142001984174764	0.07361482878129674
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	H2-Eb1	True	3	3	10.158782321835192	12.629978958551789	-2.4711966367165967	-7.0610057619966895	0.0036535281638467834	0.04034273729392572
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	Ifi30	True	3	3	11.78179480607527	12.346640612266071	-0.5648458061908013	-1.5519582454708236	0.12512152848046054	0.20267607293356693
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	Ifit1	True	3	3	8.192014418045524	9.314306470109697	-1.1222920520641733	-3.101140468124948	0.026585549532403923	0.07250604417928343
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	Il18	True	3	3	6.109835769286648	6.405177666581885	-0.29534189729523685	-0.728872304333331	0.35959184910114506	0.44948981137643135
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	Il1b	True	3	3	7.747172231612763	6.883557711979758	0.8636145196330043	2.6052772395375525	0.03242452223022358	0.07361482878129674
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	Irf1	True	3	3	13.17012055820116	13.549513863974733	-0.3793933057735721	-1.0117500929245316	0.24237573622808892	0.3161422646453334
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	Isg15	True	3	3	7.751301389334462	9.299819317419875	-1.5485179280854124	-3.962331582817472	0.022556587317280236	0.07250604417928343
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	Litaf	True	3	3	12.664576317574879	12.871570518516656	-0.2069942009417769	-0.6021723632694863	0.4380476756716356	0.5054396257749642
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	Ndufa4	True	3	3	11.816586903426993	12.28642878820409	-0.46984188477709665	-1.1779609075350128	0.19553460272358425	0.2793351467479775
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	Nfkbia	True	3	3	10.790451527536945	10.956646740531463	-0.16619521299451812	-0.4777036342686805	0.535212460118482	0.5756167537446067
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	Nlrp3	True	3	3	11.16639567248255	11.177588112434186	-0.011192439951637212	-0.028430252596862594	0.9682041052948961	0.9682041052948961
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	Rfx5	True	3	3	8.939543774561978	9.962062826583253	-1.0225190520212752	-2.600383160879394	0.04021576047579767	0.08043152095159534
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	Stat1	True	3	3	14.48924949269371	14.728168109092389	-0.23891861639867784	-0.6516541343815113	0.40509614495820073	0.4861153739498409
GSE162464	gene	Gsk3b_IFNg_vs_NTC_IFNg	Tnf	True	3	3	12.231218202907153	11.368651119504918	0.8625670834022348	2.197456179888591	0.06054358655335285	0.1068416233294462
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	Casp1	True	3	3	12.406975279823925	12.079421767877482	0.32755351194644255	0.81058884284199	0.34031809360210763	0.435297521807628
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	Casp4	True	3	3	11.313844018352626	10.202211693233172	1.1116323251194533	3.3141026332704366	0.03593977758658133	0.09801757523613092
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	Ccl2	True	3	3	13.350185627384294	12.559695488082255	0.7904901393020385	2.1436700995530495	0.08006498034593112	0.18476533925984104
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	Ccl20	True	3	3	1.4406426982957872	0.3333333333333333	1.107309364962454	0.9050974181949732	0.26570210811759354	0.41952964439620033
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	Cd74	True	3	3	12.989462393809873	15.448672872200161	-2.459210478390288	-7.195398921812146	0.004839919225945197	0.020742510968336562
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	Ciita	True	3	3	8.25139640367662	11.594113977366165	-3.3427175736895443	-9.169331044233452	0.0013038730403771054	0.008994091118457925
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	Ctss	True	3	3	14.380429834919576	14.96849038120338	-0.5880605462838027	-1.5785876925540498	0.13163922294675168	0.2656793909693242
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	Cxcl10	True	3	3	11.334724982768899	11.008073558350283	0.32665142441861583	0.8855100679710578	0.3073977258222703	0.435297521807628
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	Cxcl2	True	3	3	9.544836092339393	9.142749245033924	0.40208684730546906	0.9202014154432199	0.2937341566506622	0.435297521807628
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	Gbp2	True	3	3	15.78392777781493	16.26597427112128	-0.48204649330635085	-1.3405752788988436	0.17328441383993506	0.2896476233118421
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	Gbp5	True	3	3	12.477756631398966	12.944516438804094	-0.46675980740512735	-1.3146486937199904	0.1581147715053855	0.2896476233118421
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	Gsdmd	True	3	3	11.98129906437291	11.474594886366788	0.5067041780061228	1.3464257305234797	0.17378857398710523	0.2896476233118421
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	H2-Aa	True	3	3	5.347447793264564	12.681130094112158	-7.3336823008475935	-20.143146028919393	4.4532219091457765e-05	0.001335966572743733
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	H2-Ab1	True	3	3	8.495155780266714	13.202407557944674	-4.7072517776779605	-13.563677089689163	0.0006071097168573496	0.006071097168573496
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	H2-DMa	True	3	3	7.71190591312363	11.169573269531144	-3.457667356407514	-11.342772345585566	0.0014990151864096542	0.008994091118457925
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	H2-DMb1	True	3	3	7.8677119111515035	11.34392337032446	-3.476211459172956	-9.886854158736853	0.002328270381794046	0.011641351908970228
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	H2-Eb1	True	3	3	6.384782801768941	12.629978958551789	-6.245196156782847	-17.057938625266775	0.00016072830406585974	0.002410924560987896
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	Ifi30	True	3	3	12.070627504984344	12.346640612266071	-0.27601310728172734	-0.7712040476727422	0.3522874547585955	0.435297521807628
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	Ifit1	True	3	3	7.742568316837268	9.314306470109697	-1.5717381532724293	-4.39589152459855	0.013217824828274792	0.04956684310603047
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	Il18	True	3	3	7.276398747867908	6.405177666581885	0.8712210812860235	2.023295672113116	0.05266055691421662	0.13165139228554154
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	Il1b	True	3	3	7.038419020943313	6.883557711979758	0.15486130896355466	0.3714229717330526	0.6000892388190193	0.6667658209100215
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	Irf1	True	3	3	13.275544891034476	13.549513863974733	-0.27396897294025635	-0.7602723950027023	0.36274793483969	0.435297521807628
GSE162464	gene	Med16_IFNg_vs_NTC_IFNg	Isg15	True	3	3	7.9025656627435295	9.299819317419875	-1.3972536546763452	-3.6178730241443215	0.03012482890822633	0.09037448672467899
