dataset	arm	kind	name	first_time_delta_ge_0_5h	time_of_max_delta_h	max_delta_log2	min_delta_log2	delta_auc_0_to_last	baseline_log2	last_log2
GSE294918	PBS_LPS	gene	C15ORF48	3.0	12.0	3.1217925952608496	0.0	25.52825028285182	5.471839215844161	8.593631811105011
GSE294918	PBS_LPS	gene	CASP1	3.0	12.0	1.954460086746887	0.0	13.157496143809027	6.020137800876832	7.974597887623719
GSE294918	PBS_LPS	gene	CASP4	3.0	12.0	1.5813933322824587	-0.03761183849931271	14.051258112868709	6.231450369443954	7.812843701726413
GSE294918	PBS_LPS	gene	CASP5	3.0	3.0	3.8885988856969433	0.0	35.90358711112678	0.7481196534116971	3.695992843520546
GSE294918	PBS_LPS	gene	CCL2	1.0	12.0	3.8098834038342684	0.0	29.76066001383741	6.737443899921564	10.547327303755832
GSE294918	PBS_LPS	gene	CCL20	1.0	3.0	6.67761912323258	0.0	63.66967458897003	0.9955975956872638	5.236088690652756
GSE294918	PBS_LPS	gene	CD74		1.0	0.015810280397598575	-0.34247619519711137	-2.813522135435762	13.05407935820466	12.831934225182742
GSE294918	PBS_LPS	gene	CIITA		1.0	0.008643096978349085	-1.5573511969501093	-13.432436239931313	7.264094750090025	6.122192091921528
GSE294918	PBS_LPS	gene	CTSS		0.0	0.0	-0.360780401510679	-3.298058256579149	12.547199243549242	12.186418842038563
GSE294918	PBS_LPS	gene	CXCL10	1.0	12.0	9.953386073064372	0.0	96.83077715126898	2.7934733130201326	12.746859386084505
GSE294918	PBS_LPS	gene	CXCL8	1.0	6.0	6.366817947463997	0.0	67.35847740680747	5.043313872657264	11.163129785115538
GSE294918	PBS_LPS	gene	GBP1	3.0	6.0	7.060711437821916	0.0	69.71007433535522	5.445323949389118	12.415967148549464
GSE294918	PBS_LPS	gene	GBP2	3.0	6.0	3.582670619812853	0.0	34.34151975452532	6.689296251377551	10.246803246907161
GSE294918	PBS_LPS	gene	GBP5	3.0	6.0	5.438361302035916	0.0	53.216391285452275	5.554106167962565	10.574401758190163
GSE294918	PBS_LPS	gene	GSDMD	3.0	12.0	1.694771805302464	-0.0627439060237176	11.666694635198809	5.051150290756238	6.745922096058702
GSE294918	PBS_LPS	gene	HLA-DPA1		1.0	0.06105514439559023	-0.39341671820847424	-3.278162574881377	11.123063667934476	10.850587079977906
GSE294918	PBS_LPS	gene	HLA-DPB1		1.0	0.0940341487838321	-0.3879332999431355	-3.50509134291082	9.711034230517443	9.348175118111797
GSE294918	PBS_LPS	gene	HLA-DQA1		1.0	0.1081008268144501	-0.15293675697080467	-0.9310440948024459	9.73578482667763	9.691969826603778
GSE294918	PBS_LPS	gene	HLA-DQB1		1.0	0.22895516459336296	-0.9975906188800518	-4.973676310631752	7.739140586174133	6.741549967294081
GSE294918	PBS_LPS	gene	HLA-DRA		1.0	0.07738671113961537	-0.05763581012174335	-0.1420022442525406	12.091656212180748	12.113264048268107
GSE294918	PBS_LPS	gene	IFI30	12.0	12.0	0.741110215870344	0.0	3.882830078149098	1.463212277173063	2.204322493043407
GSE294918	PBS_LPS	gene	IFIT1	3.0	12.0	6.780583137236924	0.0	63.26543297780534	4.590062234120113	11.370645371357037
GSE294918	PBS_LPS	gene	IL18	3.0	12.0	1.9119143471920825	0.0	15.939824079646915	5.612205105120787	7.52411945231287
GSE294918	PBS_LPS	gene	IL1B	1.0	3.0	6.838214340482478	0.0	68.68144528606457	4.008333182087601	8.317170177212583
GSE294918	PBS_LPS	gene	IRF1	1.0	3.0	4.255557594274499	0.0	39.49901082145128	4.818433363177794	8.35997141834146
GSE294918	PBS_LPS	gene	ISG15	1.0	12.0	7.121639278238156	0.0	68.74644055357791	3.7196377904816025	10.841277068719759
GSE294918	PBS_LPS	gene	LITAF	3.0	3.0	1.512217161148671	-0.015987797679811067	11.044589098340701	9.477110900101634	9.965321336836569
GSE294918	PBS_LPS	gene	NDUFA4		0.0	0.0	-0.8131634447481604	-6.136285829122878	6.778146471876896	5.964983027128736
GSE294918	PBS_LPS	gene	NFKBIA	1.0	1.0	4.057794822243476	0.0	34.77541770296402	6.529489189234928	9.29769696516366
GSE294918	PBS_LPS	gene	NLRP3	1.0	1.0	1.6610196114052016	-1.2584630954173597	-8.480518093463875	2.560777526224814	1.385994983994122
GSE294918	PBS_LPS	gene	RFX5		12.0	0.34606204982880495	-0.3603173930544017	-1.3605063173205227	6.193009009089138	6.539071058917943
GSE294918	PBS_LPS	gene	STAT1	3.0	12.0	3.2451077969456907	-0.010116866199831875	24.03531176082712	8.318999779948603	11.564107576894294
GSE294918	PBS_LPS	gene	TNF	1.0	1.0	7.178313911722283	0.0	68.67102655621696	3.3199369278772646	8.284912433708763
GSE294918	PBS_LPS	module	mocci_c15_ndufa4	3.0	12.0	1.154314575256345	-0.0409224922121183	9.695982226864473	6.124992843860529	7.279307419116874
GSE294918	PBS_LPS	module	nfkb_lps	1.0	6.0	5.079234390850307	0.0	55.48611692581008	4.439019111244314	8.807720892601521
GSE294918	PBS_LPS	module	ifn_core	1.0	12.0	5.773837515695796	0.0	56.20561983003293	5.241166606184684	11.01500412188048
GSE294918	PBS_LPS	module	apc_mhcii		1.0	0.057887230210694085	-0.35150121419475866	-2.9851669438596398	9.092227416159055	8.862948475135985
GSE294918	PBS_LPS	module	pyroptosis_noncanonical	1.0	6.0	3.0347472474956048	0.0	30.818777265058376	4.792090029665116	7.669381329609574
GSE294918	PBS_LPS	module	stress_branch_targets	3.0	6.0	1.3903036163496711	-0.026799818089561	12.547923605604712	7.854280634772794	8.88908251928149
GSE294918	IFNy_memory_LPS	gene	C15ORF48	3.0	12.0	3.5433066778503655	-0.46826397495695016	27.402756428132157	5.806913313537132	9.350219991387497
GSE294918	IFNy_memory_LPS	gene	CASP1	12.0	12.0	0.5932616465292639	0.0	3.5676851532037315	7.337094184931322	7.930355831460586
GSE294918	IFNy_memory_LPS	gene	CASP4		3.0	0.4633650249402148	0.0	3.181593904147373	7.576659326495935	7.675873797971706
GSE294918	IFNy_memory_LPS	gene	CASP5	3.0	3.0	2.5129287780368563	-0.16858858697730295	15.010399832843012	2.499890381981563	2.33130179500426
GSE294918	IFNy_memory_LPS	gene	CCL2	1.0	1.0	1.62439316396211	-0.817612977941752	3.8736346949633664	7.540554669072905	9.136529519588409
GSE294918	IFNy_memory_LPS	gene	CCL20	1.0	3.0	6.124835278355651	0.0	45.58873017908746	1.2280604231127887	3.075415589966718
GSE294918	IFNy_memory_LPS	gene	CD74		0.0	0.0	-0.35569672871709557	-3.262346040080436	13.868282934141792	13.58784606263447
GSE294918	IFNy_memory_LPS	gene	CIITA		0.0	0.0	-2.8858066534457842	-23.894948650452932	8.825619482229513	6.301125182509241
GSE294918	IFNy_memory_LPS	gene	CTSS		0.0	0.0	-0.35006426754013376	-2.7515308114226036	12.621753279541048	12.271689012000914
GSE294918	IFNy_memory_LPS	gene	CXCL10	1.0	3.0	5.558626421421739	0.0	48.06057805117026	6.695846396876945	10.660380152740998
