dataset	kind	name	time_h	rux_vs_matched_ifny_lps_log2fc	note
GSE294918	gene	C15ORF48	0	0.17297500188123482	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	C15ORF48	1	0.8745256669135948	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	C15ORF48	3	-0.11297298009805345	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	C15ORF48	6	-0.323918803643382	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	C15ORF48	mean_0_6h	0.15265222126334854	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	CASP1	0	-1.6796235325666915	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CASP1	1	-1.781077039954348	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CASP1	3	-2.0244692375598827	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CASP1	6	-1.3862240947877211	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CASP1	mean_0_6h	-1.7178484762171609	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	CASP4	0	-1.5559308204530717	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CASP4	1	-1.6991925383593145	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CASP4	3	-1.4632375848748511	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CASP4	6	-0.706456619720246	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CASP4	mean_0_6h	-1.3562043908518708	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	CASP5	0	-1.7503838589455105	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CASP5	1	-2.0208280511659953	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CASP5	3	-2.1009572418653386	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CASP5	6	-1.645820280210848	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CASP5	mean_0_6h	-1.8794973580469232	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	CCL2	0	-1.6166241316022987	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CCL2	1	-2.0638852014312494	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CCL2	3	-0.13916632948679197	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CCL2	6	1.1894104021186713	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CCL2	mean_0_6h	-0.6575663151004172	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	CCL20	0	-0.016749436362017533	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CCL20	1	0.8673553300019252	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CCL20	3	0.9708731857542325	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CCL20	6	2.2855644702939184	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CCL20	mean_0_6h	1.0267608874220147	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	CD74	0	-1.007216136818224	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CD74	1	-0.9128131203333574	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CD74	3	-0.9458133001345601	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CD74	6	-0.7615039763854039	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CD74	mean_0_6h	-0.9068366334178863	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	CIITA	0	-1.9588458396855835	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CIITA	1	-1.7642750098364166	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CIITA	3	-2.7571155947126975	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CIITA	6	-0.7814421730586361	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CIITA	mean_0_6h	-1.8154196543233334	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	CTSS	0	-0.0427370165996539	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CTSS	1	0.07729964288726521	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CTSS	3	-0.06980028675040195	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CTSS	6	-0.016389476917266776	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CTSS	mean_0_6h	-0.012906784345014355	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	CXCL10	0	-4.32577761921217	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CXCL10	1	-6.8285562816645475	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CXCL10	3	-7.739168617770018	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CXCL10	6	-8.002859208673051	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CXCL10	mean_0_6h	-6.724090431829946	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	CXCL8	0	-1.0214496069678596	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CXCL8	1	0.3109864171713941	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CXCL8	3	1.6785969509377257	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CXCL8	6	1.3164758649246338	single processed CPM column per condition/timepoint; descriptive only
GSE294918	gene	CXCL8	mean_0_6h	0.5711524065164735	mean across 0/1/3/6h descriptive ruxolitinib contrasts
GSE294918	gene	GBP1	0	-5.071644634892161	single processed CPM column per condition/timepoint; descriptive only
