query	nct_id	title	status	conditions	interventions
FABP5	NCT07114614	Fatty Acid Binding Proteins and Markers of Cellular Senescence in Cancer Survivors	NOT_YET_RECRUITING	Marker; Structural	Specimen #1;Specimen #2
FABP5	NCT00099021	Pioglitazone Hydrochloride in Preventing Head and Neck Cancer in Patients With Oral Leukoplakia	COMPLETED	Head and Neck Cancer;Oral Leukoplakia	pioglitazone hydrochloride
FABP5	NCT05144347	Study of XL114 in Subjects With Non-Hodgkin's Lymphoma	TERMINATED	Non-Hodgkin's Lymphoma (NHL);Activated B-Cell Type Diffuse Large B-Cell Lymphoma (ABC-DLBCL);Mantle Cell Lymphoma (MCL);Chronic Lymphocytic Leukemia (CLL);Small Lymphocytic Lymphoma (SLL)	XL114
"""fatty acid binding protein 5"""	NCT05144347	Study of XL114 in Subjects With Non-Hodgkin's Lymphoma	TERMINATED	Non-Hodgkin's Lymphoma (NHL);Activated B-Cell Type Diffuse Large B-Cell Lymphoma (ABC-DLBCL);Mantle Cell Lymphoma (MCL);Chronic Lymphocytic Leukemia (CLL);Small Lymphocytic Lymphoma (SLL)	XL114
