pmid	title	journal	pubdate	doi	pmcid	source
12508094	Dextran sulfate sodium-induced inflammation is enhanced by intestinal epithelial cell chemokine expression in mice.	Pediatric research	2003 Jan	10.1203/00006450-200301000-00024		PubMed E-utilities
19494286	Regulation of Th17 differentiation by epidermal fatty acid-binding protein.	Journal of immunology (Baltimore, Md. : 1950)	2009 Jun 15	10.4049/jimmunol.0804192	pmc-id: PMC2707838;manuscript-id: NIHMS111821;	PubMed E-utilities
21068754	Epidermal FABP (FABP5) regulates keratinocyte differentiation by 13(S)-HODE-mediated activation of the NF-κB signaling pathway.	The Journal of investigative dermatology	2011 Mar	10.1038/jid.2010.342		PubMed E-utilities
22854836	Nestin expression is increased in the suprabasal epidermal layer in psoriasis vulgaris.	Acta dermato-venereologica	2013 Jan	10.2340/00015555-1420		PubMed E-utilities
23039948	Epidermal-type FABP is a predictive marker of clinical response to systemic treatment and ultraviolet therapy in psoriatic skin lesions.	Journal of dermatological science	2012 Dec	10.1016/j.jdermsci.2012.09.002		PubMed E-utilities
23528210	E-FABP induces differentiation in normal human keratinocytes and modulates the differentiation process in psoriatic keratinocytes in vitro.	Experimental dermatology	2013 Apr	10.1111/exd.12111		PubMed E-utilities
24061002	A proteomics approach to the identification of biomarkers for psoriasis utilising keratome biopsy.	Journal of proteomics	2013 Dec 6	10.1016/j.jprot.2013.09.010		PubMed E-utilities
25962726	Targeting epidermal fatty acid binding protein for treatment of experimental autoimmune encephalomyelitis.	BMC immunology	2015 May 12	10.1186/s12865-015-0091-2	pmc-id: PMC4427938;	PubMed E-utilities
26046687	Psoriatic T cells reduce epidermal turnover time and affect cell proliferation contributed from differential gene expression.	The Journal of dermatology	2015 Sep	10.1111/1346-8138.12961		PubMed E-utilities
26833029	Upregulation of PI3K/AKT/mTOR, FABP5 and PPARβ/δ in Human Psoriasis and Imiquimod-induced Murine Psoriasiform Dermatitis Model.	Acta dermato-venereologica	2016 Aug 23	10.2340/00015555-2359	pmc-id: PMC5540143;manuscript-id: NIHMS870786;	PubMed E-utilities
28219080	Survival of tissue-resident memory T cells requires exogenous lipid uptake and metabolism.	Nature	2017 Mar 9	10.1038/nature21379	pmc-id: PMC5509051;manuscript-id: NIHMS867978;	PubMed E-utilities
28490445	Serological Epithelial Component Proteins Identify Intestinal Complications in Crohn's Disease.	Molecular & cellular proteomics : MCP	2017 Jul	10.1074/mcp.M116.066506	pmc-id: PMC5500758;	PubMed E-utilities
29197380	A time-course microarray data analysis reveals consistent dysregulated genes and upstream microRNAs in autoantibody-mediated arthritis.	Journal of orthopaedic surgery and research	2017 Dec 2	10.1186/s13018-017-0674-0	pmc-id: PMC5712098;	PubMed E-utilities
29880835	Uncovering Cellular retinoic acid-binding protein 2 as a potential target for rheumatoid arthritis synovial hyperplasia.	Scientific reports	2018 Jun 7	10.1038/s41598-018-26027-x	pmc-id: PMC5992205;	PubMed E-utilities
30400384	Epidermal Fatty Acid-Binding Protein: A Novel Marker in the Diagnosis of Dry Eye Disease in Sjögren Syndrome.	International journal of molecular sciences	2018 Nov 4	10.3390/ijms19113463	pmc-id: PMC6274910;	PubMed E-utilities
31837302	Loss of the Epigenetic Mark 5-hmC in Psoriasis: Implications for Epidermal Stem Cell Dysregulation.	The Journal of investigative dermatology	2020 Jun	10.1016/j.jid.2019.10.016	pmc-id: PMC7931370;manuscript-id: NIHMS1546126;	PubMed E-utilities
33124722	The Fabp5/calnexin complex is a prerequisite for sensitization of mice to experimental autoimmune encephalomyelitis.	FASEB journal : official publication of the Federation of American Societies for Experimental Biology	2020 Dec	10.1096/fj.202001539RR		PubMed E-utilities
34131888	Serum fatty acid binding protein 5 (FABP5) as a potential biomarker of inflammation in psoriasis.	Molecular biology reports	2021 May	10.1007/s11033-021-06461-3	pmc-id: PMC8260421;	PubMed E-utilities
34624687	A novel fatty acid-binding protein 5 and 7 inhibitor ameliorates oligodendrocyte injury in multiple sclerosis mouse models.	EBioMedicine	2021 Oct	10.1016/j.ebiom.2021.103582	pmc-id: PMC8502714;	PubMed E-utilities
34655958	Altered adipokine levels are associated with dimethyl fumarate treatment in multiple sclerosis patients.	Multiple sclerosis and related disorders	2021 Nov	10.1016/j.msard.2021.103311		PubMed E-utilities
35728766	Topical VX-509 attenuates psoriatic inflammation through the STAT3/FABP5 pathway in keratinocytes.	Pharmacological research	2022 Aug	10.1016/j.phrs.2022.106318		PubMed E-utilities
36144237	Fatty Acid-Binding Proteins in Psoriasis-A Review.	Metabolites	2022 Sep 3	10.3390/metabo12090833	pmc-id: PMC9500650;	PubMed E-utilities
37967009	Keratinocyte FABP5-VCP complex mediates recruitment of neutrophils in psoriasis.	Cell reports	2023 Nov 28	10.1016/j.celrep.2023.113449	pmc-id: PMC10729729;manuscript-id: NIHMS1948214;	PubMed E-utilities
38081366	Inhibition of FABP5 attenuates inflammatory bowel disease by modulating macrophage alternative activation.	Biochemical pharmacology	2024 Jan	10.1016/j.bcp.2023.115974		PubMed E-utilities
38428656	Anchang Yuyang Decoction inhibits experimental colitis-related carcinogenesis by regulating PPAR signaling pathway and affecting metabolic homeostasis of host and microbiota.	Journal of ethnopharmacology	2024 May 23	10.1016/j.jep.2024.117995		PubMed E-utilities
38596682	Single-cell sequencing analysis and multiple machine-learning models revealed the cellular crosstalk of dendritic cells and identified FABP5 and KLRB1 as novel biomarkers for psoriasis.	Frontiers in immunology	2024	10.3389/fimmu.2024.1374763	pmc-id: PMC11002082;	PubMed E-utilities
38613778	Determination of the FABP5 expression profile in skin lesions of an IMQ-induced psoriasis mouse model using flow cytometry.	STAR protocols	2024 Jun 21	10.1016/j.xpro.2024.103018	pmc-id: PMC11026830;	PubMed E-utilities
39273210	Endothelial Cell-Derived Soluble CD200 Determines the Ability of Immune Cells to Cross the Blood-Brain Barrier.	International journal of molecular sciences	2024 Aug 27	10.3390/ijms25179262	pmc-id: PMC11395061;	PubMed E-utilities
40074327	GPR171 restrains intestinal inflammation by suppressing FABP5-mediated Th17 cell differentiation and lipid metabolism.	Gut	2025 Jul 7	10.1136/gutjnl-2024-334010		PubMed E-utilities
40210114	ART26.12, an FABP5 Inhibitor, Shows Efficacy in Preclinical Psoriasis Models.	The Journal of investigative dermatology	2025 Oct	10.1016/j.jid.2025.03.026		PubMed E-utilities
40913763	FABP5 in skin macrophages mediates saturated fat-induced IL-1β signaling in psoriatic inflammation.	Cell reports	2025 Sep 23	10.1016/j.celrep.2025.116254	pmc-id: PMC12516882;manuscript-id: NIHMS2113407;	PubMed E-utilities
40994611	Proteomic analysis of cerebrospinal fluid from females with multiple sclerosis highlights elevated microglial function and impaired neurogenesis.	IBRO neuroscience reports	2025 Dec	10.1016/j.ibneur.2025.08.020	pmc-id: PMC12454868;	PubMed E-utilities
41318744	FABP5 drives ferroptosis in psoriasis.	Cell death and differentiation	2025 Nov 29	10.1038/s41418-025-01629-x		PubMed E-utilities
41353472	Fatty acid-binding protein 5 aggravates psoriasis and psoriasis-like disease through ferroptosis.	Cell death and differentiation	2025 Dec 6	10.1038/s41418-025-01630-4		PubMed E-utilities
41909697	Machine learning meets psoriasis: identifying key lactylation biomarkers as potential targets for diagnosis and therapies.	Frontiers in immunology	2026	10.3389/fimmu.2026.1791693	pmc-id: PMC13021890;	PubMed E-utilities
