query	n_pmids_returned	pmids
FABP5 multiple sclerosis	6	40994611,39273210,34655958,34624687,33124722,25962726
"""fatty acid-binding protein 5"" ""multiple sclerosis"""	2	39273210,34624687
FABP5 experimental autoimmune encephalomyelitis	5	39273210,34624687,33124722,25962726,19494286
FABP5 inhibitor autoimmune	3	34624687,29880835,25962726
FABP5 psoriasis	20	41909697,41353472,41318744,40913763,40210114,38613778,38596682,37967009,36144237,35728766,34131888,31837302,28219080,26833029,26046687,24061002,23528210,23039948,22854836,21068754
FABP5 inflammatory bowel disease	5	40074327,38428656,38081366,28490445,12508094
FABP5 rheumatoid arthritis	4	30400384,29880835,29197380,28490445
