terms_class	package_state	metric_format_state	check	status	detail
LOCAL_PREFLIGHT_ALLOWED	scored	canonical	expected_status	PASS	expected=PASS;observed=PASS
LOCAL_PREFLIGHT_ALLOWED	scored	canonical	score_values_read_false	PASS	all plan rows score_values_read=false
LOCAL_PREFLIGHT_ALLOWED	scored	canonical	blocked_routes_stop_before_package_gates	PASS	terms_governance;author_run_return_gate;aggregate_schema_validator;partial_label_classifier;safe_interpretation_classifier
LOCAL_PREFLIGHT_ALLOWED	scored	canonical	unscoreable_never_allows_score_interpretation_wording	PASS	SCORED_AGGREGATE_CANONICAL_PATH
LOCAL_PREFLIGHT_ALLOWED	scored	noncanonical	expected_status	PASS	expected=PASS;observed=PASS
LOCAL_PREFLIGHT_ALLOWED	scored	noncanonical	score_values_read_false	PASS	all plan rows score_values_read=false
LOCAL_PREFLIGHT_ALLOWED	scored	noncanonical	blocked_routes_stop_before_package_gates	PASS	terms_governance;metric_format_adapter;author_run_return_gate;aggregate_schema_validator;partial_label_classifier;safe_interpretation_classifier
LOCAL_PREFLIGHT_ALLOWED	scored	noncanonical	unscoreable_never_allows_score_interpretation_wording	PASS	SCORED_AGGREGATE_ADAPTER_REQUIRED
LOCAL_PREFLIGHT_ALLOWED	scored	unknown	expected_status	PASS	expected=PASS;observed=PASS
LOCAL_PREFLIGHT_ALLOWED	scored	unknown	score_values_read_false	PASS	all plan rows score_values_read=false
LOCAL_PREFLIGHT_ALLOWED	scored	unknown	blocked_routes_stop_before_package_gates	PASS	terms_governance;metric_format_adapter_branch;author_run_return_gate;author_run_return_gate_after_adapter;aggregate_schema_validator;partial_label_classifier;safe_interpretation_classifier
LOCAL_PREFLIGHT_ALLOWED	scored	unknown	unscoreable_never_allows_score_interpretation_wording	PASS	SCORED_AGGREGATE_ALIAS_BRANCH_REQUIRED
LOCAL_PREFLIGHT_ALLOWED	unscoreable	canonical	expected_status	PASS	expected=PASS;observed=PASS
LOCAL_PREFLIGHT_ALLOWED	unscoreable	canonical	score_values_read_false	PASS	all plan rows score_values_read=false
LOCAL_PREFLIGHT_ALLOWED	unscoreable	canonical	blocked_routes_stop_before_package_gates	PASS	terms_governance;author_run_return_gate;aggregate_schema_validator;partial_label_classifier;safe_interpretation_classifier
