gene	broad_positive_disease_count	broad_positive_fdr10_compartment_count	broad_positive_diseases	ms_delta_log2	ms_fdr	wave37_contrast_lfc	wave37_contrast_fdr	wave37_screen_call	wave103_call	promote	blockers
CD300A	0	0	nan	-0.3453443248914674	0.8989378106274888	1.3382347566762522	0.920009505703422	UNRESOLVED	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	insufficient_cross_disease_signal;no_positive_ms_anchor;no_fdr_perturbation_anchor;no_receptor_specific_safe_direction;no_selective_modality;prior_local_no_go
CD300E	3	0	Crohn disease;psoriasis;ulcerative colitis	-1.516556121882542	0.8989378106274888	-0.0578258435603413	0.9971256078463696	UNRESOLVED	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	no_positive_ms_anchor;no_fdr_perturbation_anchor;no_receptor_specific_safe_direction;no_selective_modality;prior_local_no_go
CD300LF	1	0	psoriasis	-0.0991212524448474	0.9669212366619434	-0.1802260625574201	0.9971256078463696	UNRESOLVED	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	insufficient_cross_disease_signal;no_positive_ms_anchor;no_fdr_perturbation_anchor;no_receptor_specific_safe_direction;no_selective_modality;prior_local_no_go
CD300C	1	0	psoriasis	0.3851961285821783	0.8989378106274888	0.0	1.0		not_in_wave103	False	insufficient_cross_disease_signal;no_positive_ms_anchor;no_fdr_perturbation_anchor;no_receptor_specific_safe_direction;no_selective_modality
CD300LG	0	0	nan	0.0	1.0	-0.1012929052393268	0.9971256078463696	UNRESOLVED	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	insufficient_cross_disease_signal;no_positive_ms_anchor;no_fdr_perturbation_anchor;no_receptor_specific_safe_direction;no_selective_modality;prior_local_no_go
