evidence_channel	dataset	disease	tissue	gene	n_case_donors	n_control_donors	delta_case_minus_control	hedges_g_case_minus_control	p	fdr	call	fdr_lpl_across_direct_contexts
direct_h5ad_donor_case_control	ibd_crohn_epithelial	Crohn disease	colon epithelial	LPL	6	6	0.5797955785457602	1.7188946442563224	0.0231423398135294	0.2278630381639821	CASE_HIGH_NOMINAL_OR_TREND	0.13885403888117642
direct_h5ad_donor_case_control	ibd_crohn_myeloid	Crohn disease	colon myeloid	LPL	6	6	0.0074127431721671	0.532938710021193	0.3632174676491227	0.6697088274008902	NO_NOMINAL_CASE_CONTROL_SIGNAL	0.7264349352982454
direct_h5ad_donor_case_control	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	LPL	9	13	-0.0241564948637781	-0.0669000139124314	0.8847375893125953	0.9493843510271576	NO_NOMINAL_CASE_CONTROL_SIGNAL	0.9367783602082134
direct_h5ad_donor_case_control	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	LPL	11	14	0.0475198838495076	0.3808733857280309	0.3445223893893162	0.6538120058436172	NO_NOMINAL_CASE_CONTROL_SIGNAL	0.7264349352982454
direct_h5ad_donor_case_control	psoriasis_skin_apc	psoriasis	skin APC	LPL	3	3	-0.1231656529176921	-3.7044725295636622	0.0157779954179735	0.2115464453984163	CONTROL_HIGH_NOMINAL_OR_TREND	0.13885403888117642
direct_h5ad_donor_case_control	psoriasis_keratinocyte	psoriasis	skin keratinocyte	LPL	3	3	0.0039446702497733	0.0567930035367878	0.9367783602082134	0.9748587813548888	NO_NOMINAL_CASE_CONTROL_SIGNAL	0.9367783602082134
direct_h5ad_donor_case_control	ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	LPL	18	18	0.0122002054293998	0.2520274486585749	0.4462834625129446	0.7035010246509472	NO_NOMINAL_CASE_CONTROL_SIGNAL	0.7381605585270326
direct_h5ad_donor_case_control	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	LPL	5	18	-0.0140181625483006	-0.1417991607510693	0.6151337987725272	0.808389386477243	NO_NOMINAL_CASE_CONTROL_SIGNAL	0.7381605585270326
direct_h5ad_donor_case_control	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	LPL	3	19	0.1022505488637569	0.9840162913476164	0.5158444292092934	0.7460800784044017	NO_NOMINAL_CASE_CONTROL_SIGNAL	0.7381605585270326
direct_h5ad_donor_case_control	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	LPL	5	19	-0.0240042724890355	-0.1462901822995242	0.5908759337158156	0.8033247981503158	NO_NOMINAL_CASE_CONTROL_SIGNAL	0.7381605585270326
direct_h5ad_donor_case_control	ibd_uc_epithelial	ulcerative colitis	colon epithelial	LPL	6	6	0.4578788884401041	0.6828575089785541	0.2562160578425944	0.5889070319994217	NO_NOMINAL_CASE_CONTROL_SIGNAL	0.7264349352982454
direct_h5ad_donor_case_control	ibd_uc_myeloid	ulcerative colitis	colon myeloid	LPL	6	6	0.0057786498247102	1.0073530703988074	0.1173320700680456	0.4378572877174881	NO_NOMINAL_CASE_CONTROL_SIGNAL	0.4693282802721824
