gene	call	pass_count	direct_multivariable_residual_disease_count	direct_multivariable_residual_diseases	myeloid_multivariable_residual_disease_count	strict_core_residual_disease_count	raw_positive_disease_count	ms_expression_anchor	ms_delta_log2	ms_p	ms_genetic_anchor	wave62_call	ms_max_l2g_score	ibd_response_support	ra_response_support	response_support_count	modality_ready_local	decision_reason
CD58	PARK_CD58_MS_GENETIC_BUT_NO_STATE_RESPONSE_CONVERGENCE	2	0		0	0	3	False	0.1797564428759965	0.3110884246237163	True	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	0.9513845443725586	False	False	0	True	insufficient multivariable residual disease breadth; insufficient APC/myeloid residual breadth; does not survive all core IFN/HLA/lysosome/NFkB covariates in >=2 diseases; no RA/IBD suppression-response support
SEL1L3	NO_GO_TARGETABILITY_SHORTLIST	2	0		0	2	3	True	0.922501683138024	0.0181382735511015	False	NO_GO_WAVE62_TARGET_RESOLUTION	0.0	False	False	0	False	insufficient multivariable residual disease breadth; insufficient APC/myeloid residual breadth; no RA/IBD suppression-response support; no near-term selective modality in local evidence
P4HB	NO_GO_TARGETABILITY_SHORTLIST	1	1	Sjogren syndrome	0	1	4	False	-0.1078198500006752	0.5193269228408691	False			False	False	0	True	insufficient multivariable residual disease breadth; insufficient APC/myeloid residual breadth; does not survive all core IFN/HLA/lysosome/NFkB covariates in >=2 diseases; no MS expression or target-resolved genetic anchor; no RA/IBD suppression-response support
IFI30	BENCHMARK_NOT_NOMINATION	1	0		0	0	4	False	0.21016237009791	0.379946954952182	True	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	0.6501023173332214	False	False	0	False	insufficient multivariable residual disease breadth; insufficient APC/myeloid residual breadth; does not survive all core IFN/HLA/lysosome/NFkB covariates in >=2 diseases; no RA/IBD suppression-response support; no near-term selective modality in local evidence
SPNS1	NO_GO_TARGETABILITY_SHORTLIST	0	1	Sjogren syndrome	1	1	4	False	-0.1044989193858096	0.4834570887940685	False	NO_GO_WAVE62_TARGET_RESOLUTION	0.0	False	False	0	False	insufficient multivariable residual disease breadth; insufficient APC/myeloid residual breadth; does not survive all core IFN/HLA/lysosome/NFkB covariates in >=2 diseases; no MS expression or target-resolved genetic anchor; no RA/IBD suppression-response support; no near-term selective modality in local evidence
