donor_id	disease	n_cells	analysis	dataset_path	disease_name	compartment	role	group	target_CD58	log2cpm_CD58	target_SPNS1	log2cpm_SPNS1	target_P4HB	log2cpm_P4HB	target_SEL1L3	log2cpm_SEL1L3	target_IFI30	log2cpm_IFI30	module_ifn_apc	module_ifn_apc_n_genes	module_hla_ii_apc	module_hla_ii_apc_n_genes	module_lysosomal_apc	module_lysosomal_apc_n_genes	module_inflammatory_nfkb	module_inflammatory_nfkb_n_genes	module_lipid_loader_repair	module_lipid_loader_repair_n_genes	module_er_upr_stress	module_er_upr_stress_n_genes	module_stromal_injury	module_stromal_injury_n_genes	module_t_cell_admixture	module_t_cell_admixture_n_genes	generic_inflammation_mean	injury_stress_mean
CD_1	Crohn disease	81	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	case	1.5910797342993683	6.035182571052073	1.9181502153899725	5.718743777603956	-0.7764204130207134	6.918078070797748	0.17558237485912112	4.138017314574401	2.3740656510213265	8.19245201459014	1.9635721794588639	8	0.7701020331676656	7	0.14650275706309923	7	0.9871417954962232	9	-1.227877258959649	12	-0.06479643629095971	9	1.1175724277164676	8	1.2189956824093724	6	0.9668296912964629	0.526387995712754
CD_2	Crohn disease	38	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	case	1.3561976486959908	5.925571651511137	1.6262301296723554	5.609565280134051	-0.870265871820898	6.8774357000142805	-0.023069511861980068	3.995076869112333	0.21211339545830432	6.8774357000142805	1.3096832582801856	8	1.1032645147060491	7	0.24317624039885466	7	1.1673806012051657	9	-0.5480141702202717	12	-0.29511508198939473	9	0.0900746140488753	8	0.3034039504499499	6	0.9558761536475638	-0.10252023397025972
CD_3	Crohn disease	406	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	case	1.4948788723143052	5.990289130516897	1.9357811594190861	5.7253377739483415	0.5253838223729203	7.481860390142665	0.379051785979488	4.284424221367502	1.3521588296047953	7.570873004840392	1.4119821572735782	8	0.29036904013543285	7	0.8776387719206274	7	1.781316478985162	9	0.3688507731059778	12	0.09982180317563784	9	1.1126386073437624	8	1.3784313482541055	6	1.0903266120787003	0.6062302052597002
CD_4	Crohn disease	323	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	case	1.0193850595071938	5.768393476261587	0.46808091164930227	5.176415943530962	0.5176022041480637	7.478490345206731	0.7910333061779788	4.580866520463254	0.04431980774308384	6.775374563021564	1.2854903644095765	8	0.20163142919908256	7	0.8699990399142571	7	0.8415730377687471	9	0.9274207575775724	12	-0.7366427464194316	9	1.4081393765593972	8	1.85301764013385	6	0.7996734678229158	0.3357483150699828
CD_5	Crohn disease	647	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	case	2.5698161836445474	6.491923245528667	1.3049928568174372	5.489422115968375	0.2730220441283967	7.372568144208556	-1.2812806053491275	3.089728034238848	1.6546612916158843	7.754871366376989	-0.3544052013383273	8	-2.1415141641276665	7	0.9130463734200962	7	2.043410045044167	9	1.4968586814336524	12	-0.5313818244613903	9	2.7485516195884507	8	1.5773762577130508	6	0.11513426324956733	1.1085848975635302
CD_6	Crohn disease	438	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	case	0.3126878297530074	5.438603603222098	1.116416129208542	5.418894170871624	-0.8553028597235522	6.8839158461340055	1.0248713596776222	4.749125257316577	1.9782072503654151	7.951669520996698	1.7036189885898028	8	0.7421936556413515	7	0.795775982417499	7	0.36394116072138816	9	0.011169523986467783	12	0.3772659565257469	9	1.1025649141118996	8	0.8719719929902908	6	0.9013824468425103	0.7399154353188233
HC_1	normal	60	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	control	1.3743453431031758	5.934040519906994	-0.7959442252027983	4.703668873501669	-0.029065693031988978	7.241740696830924	-0.7632408060939746	3.462484824495631	1.0356864704430833	7.378377396142695	1.0565344054053516	8	0.8399010889153556	7	-0.4837242146908235	7	-0.6129678190115487	9	-0.33235052210229027	12	-0.667175163635997	9	0.2443274707516404	8	-0.4745974996228406	6	0.1999358651545838	-0.21142384644217832
HC_2	normal	112	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	control	0.03673589639299128	5.309826880693475	1.454207353566126	5.54522853475488	-0.42043860199085975	7.0722458370489685	-0.6704864105644052	3.5292264740938335	-0.2710216123848952	6.583566852623343	-0.3147427878102344	8	-0.29589132878983176	7	-1.1956160057887721	7	-0.15525138568184138	9	-0.6739686906516741	12	0.4878108005188635	9	0.39011300705494556	8	0.34261006340094663	6	-0.4903753770176699	0.43896190378690453
HC_3	normal	135	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	control	-1.702316168810438	4.49827458411522	-0.9097929140294785	4.66108931357019	-1.7568412000806832	6.493479740085217	-1.1476411423175827	3.185888633024701	-1.4761808695150576	5.850523798268025	-0.06515911547252609	8	-0.6783327148714254	7	-0.16458399048678693	7	-0.6820151628289923	9	-0.4437820575978571	12	0.04240830168247754	9	-0.48356203177260915	8	0.26117285357647035	6	-0.3975227459149327	-0.2205768650450658
HC_4	normal	75	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	control	0.438087337810584	5.497122989035889	-0.3073310505585743	4.8864108459168865	0.7399172025313011	7.5747700023210465	1.3844642774719917	5.00787121086846	1.1207899451031051	7.430141933179558	-0.1777754244272769	8	0.6113993744064975	7	0.650601287495846	7	0.22158355234216057	9	0.5134404271187093	12	0.36758004507296815	9	-0.013307565293197765	8	0.12468885065614534	6	0.3264521974543068	0.1771362398898852
HC_5	normal	192	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	control	-0.14140297499677787	5.226695953748332	1.0453989308502984	5.392333644924206	0.49529385510257523	7.468829097821237	0.5041116255923291	4.374411331375531	-0.6138240778211627	6.3750558489387945	-0.0732266140171583	8	-0.1127371274445245	7	0.21298227053872226	7	0.8153958758995168	9	0.25661444769680225	12	0.09499384180596636	9	0.17559519944567836	8	-0.0641186881540684	6	0.21060360124413907	0.13529452062582237
HC_6	normal	103	ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	control	-0.005449433499531583	5.290140522797006	-0.4865380946255781	4.819387174835257	0.9711344374696474	7.674905019124585	0.6927924559116448	4.510177079092092	0.20455014417493422	6.872835321442887	-0.42563046367815405	8	-0.364339292216072	7	0.9803406529318133	7	0.4132549392807057	9	0.68004639553631	12	-0.3256178254442708	9	-0.3131660801864562	8	-0.18975557985665345	6	0.15090645907957323	-0.3193919528153635
HC_1	normal	60	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	control	1.3743453431031758	5.934040519906994	-0.7959442252027983	4.703668873501669	-0.029065693031988978	7.241740696830924	-0.7632408060939746	3.462484824495631	1.0356864704430833	7.378377396142695	1.0565344054053516	8	0.8399010889153556	7	-0.4837242146908235	7	-0.6129678190115487	9	-0.33235052210229027	12	-0.667175163635997	9	0.2443274707516404	8	-0.4745974996228406	6	0.1999358651545838	-0.21142384644217832
