dataset	gene	cell_state	test	effect	p	fdr	supportive_suppression_response
GSE282122_IBD_myeloid_antiTNF	CD58	DC	raw_remission_delta_difference	-0.0599323193283164	0.8212414930669284	1.0	False
GSE282122_IBD_myeloid_antiTNF	IFI30	DC	raw_remission_delta_difference	0.3331333422406471	0.1012277887284729	1.0	False
GSE282122_IBD_myeloid_antiTNF	P4HB	DC	raw_remission_delta_difference	-0.3254680729120013	0.2112247660404095	1.0	False
GSE282122_IBD_myeloid_antiTNF	SEL1L3	DC	raw_remission_delta_difference	-0.8086906631100205	0.1142586739164947	1.0	False
GSE282122_IBD_myeloid_antiTNF	SPNS1	DC	raw_remission_delta_difference	0.2458349876293843	0.4293986034663837	1.0	False
GSE282122_IBD_myeloid_antiTNF	CD58	Mono_macro	raw_remission_delta_difference	0.1748265022763963	0.5131183065622413	1.0	False
GSE282122_IBD_myeloid_antiTNF	IFI30	Mono_macro	raw_remission_delta_difference	0.4549467240822629	0.0613527478640238	0.9575655202109942	False
GSE282122_IBD_myeloid_antiTNF	P4HB	Mono_macro	raw_remission_delta_difference	-0.2078329604060242	0.4332433907907254	1.0	False
GSE282122_IBD_myeloid_antiTNF	SEL1L3	Mono_macro	raw_remission_delta_difference	-0.570744680802928	0.3027172237325687	1.0	False
GSE282122_IBD_myeloid_antiTNF	SPNS1	Mono_macro	raw_remission_delta_difference	-0.5257483963988112	0.1347909984404975	1.0	False
GSE282122_IBD_myeloid_antiTNF	CD58	Mono_macro	generic_adjusted_remission_delta				False
GSE282122_IBD_myeloid_antiTNF	SEL1L3	DC	generic_adjusted_remission_delta				False
GSE282122_IBD_myeloid_antiTNF	CD58	DC	generic_adjusted_remission_delta				False
GSE282122_IBD_myeloid_antiTNF	SPNS1	Mono_macro	generic_adjusted_remission_delta				False
GSE282122_IBD_myeloid_antiTNF	SPNS1	DC	generic_adjusted_remission_delta				False
GSE282122_IBD_myeloid_antiTNF	SEL1L3	Mono_macro	generic_adjusted_remission_delta				False
GSE282122_IBD_myeloid_antiTNF	IFI30	DC	generic_adjusted_remission_delta	0.5637408886309322	0.0108773295512654	0.0284455250464364	False
GSE282122_IBD_myeloid_antiTNF	P4HB	DC	generic_adjusted_remission_delta				False
GSE282122_IBD_myeloid_antiTNF	P4HB	Mono_macro	generic_adjusted_remission_delta				False
GSE282122_IBD_myeloid_antiTNF	IFI30	Mono_macro	generic_adjusted_remission_delta	0.7453931817803642	0.0071775568590565	0.0236761369611507	False
