seed	n_independent_clusters	nominal_sites	cluster_size	within_cluster_correlation	beta_shape	n_sequences	ever_crossing	final_e_q90	maximum_e_q95
57171	3	12	4	0.75	1.0	100000	0.00327	1.4625778803929768	3.1925563842693534
57171	3	12	4	0.75	0.25	100000	0.69518	1098058.652710995	29928756.25253175
57171	4	16	4	0.75	1.0	100000	0.00434	1.4102078346018376	3.62697403196529
57171	4	16	4	0.75	0.25	100000	0.81782	41692601.44762062	1653475267.3683128
57171	5	20	4	0.75	1.0	100000	0.00506	1.3373724556805107	3.8122722068359547
57171	5	20	4	0.75	0.25	100000	0.89238	1145817885.9368	65001983610.346794
57171	6	24	4	0.75	1.0	100000	0.00608	1.2793753826373213	4.131544552533943
57171	6	24	4	0.75	0.25	100000	0.93675	30224609740.435986	2306447295946.8774
57172	3	12	4	0.75	1.0	100000	0.00331	1.4558592808975457	3.190114481166956
57172	3	12	4	0.75	0.25	100000	0.69776	1170937.7301049784	30821284.81765996
57172	4	16	4	0.75	1.0	100000	0.00432	1.397122941211982	3.6122356290146875
57172	4	16	4	0.75	0.25	100000	0.81851	38561581.40753073	1563300310.2587633
57172	5	20	4	0.75	1.0	100000	0.00502	1.3455881157175749	3.9407750548081775
57172	5	20	4	0.75	0.25	100000	0.89149	1083520832.4849312	60058458321.38081
57172	6	24	4	0.75	1.0	100000	0.00603	1.287816017992545	4.16315816234316
57172	6	24	4	0.75	0.25	100000	0.93818	31656096249.2553	2046116098609.7551
57173	3	12	4	0.75	1.0	100000	0.00313	1.4790474045540591	3.2565583082480534
57173	3	12	4	0.75	0.25	100000	0.69603	1048556.109157846	29298381.547575876
57173	4	16	4	0.75	1.0	100000	0.00433	1.3861921328268487	3.5891098845764144
57173	4	16	4	0.75	0.25	100000	0.81865	38623169.43842424	1510393641.7346168
57173	5	20	4	0.75	1.0	100000	0.00532	1.3403779916350915	3.8764900172185768
57173	5	20	4	0.75	0.25	100000	0.89238	1190286647.9585361	67983593443.37298
57173	6	24	4	0.75	1.0	100000	0.00614	1.2900377380338066	4.249065009418752
57173	6	24	4	0.75	0.25	100000	0.93767	33489078412.871983	2374132698419.5005
