n_independent_clusters	nominal_sites	maximum_seed_null_crossing	minimum_seed_strong_crossing	null_gate	strong_power_gate	status
3	12	0.00331	0.69518	True	False	FAIL
4	16	0.00434	0.81782	True	True	PASS
5	20	0.00532	0.89149	True	True	PASS
6	24	0.00614	0.93675	True	True	PASS
