feature	feature_type	hour	rux_minus_ifny_lps_log2
C15ORF48	gene	0	0.17153129605366146
NDUFA4	gene	0	0.528512382828473
LITAF	gene	0	0.2585541411596495
CASP4	gene	0	-1.5486368746584604
CASP1	gene	0	-1.6698568010070494
CASP5	gene	0	-1.4969589540695591
GSDMD	gene	0	-0.7099762811127563
IL1B	gene	0	0.07782994874493898
TNF	gene	0	-1.7414393984039287
NFKBIA	gene	0	0.22178321720394933
STAT1	gene	0	-3.352641139926016
IRF1	gene	0	-3.9261439194936916
CIITA	gene	0	-1.9542673318116277
CD74	gene	0	-1.0071674190623803
ifn_apc	module	0	-2.560054952573429
nfkb_cytokine	module	0	-0.2958180228238477
pyroptosis	module	0	-1.0695197924205773
c15_switch	module	0	-0.17849054338740578
C15ORF48	gene	1	0.8664992262698572
NDUFA4	gene	1	0.36851853316699934
LITAF	gene	1	0.35144657185857753
CASP4	gene	1	-1.6919014614102759
CASP1	gene	1	-1.7710576094298016
CASP5	gene	1	-1.7334833447357494
GSDMD	gene	1	-0.8576009236499953
IL1B	gene	1	1.2167272515765717
TNF	gene	1	-0.06364209557535716
NFKBIA	gene	1	0.37757342826402507
STAT1	gene	1	-3.2289306600678387
IRF1	gene	1	-2.6669916293728857
CIITA	gene	1	-1.7604500561922594
CD74	gene	1	-0.9127692169064421
ifn_apc	module	1	-2.1422853906348562
nfkb_cytokine	module	1	0.4705262890309543
pyroptosis	module	1	-0.9674632175298502
c15_switch	module	1	0.24899034655142893
C15ORF48	gene	3	-0.11268369103855935
NDUFA4	gene	3	0.5449809178893963
LITAF	gene	3	0.10513697548214651
CASP4	gene	3	-1.4584386330642278
CASP1	gene	3	-2.0129857573057226
CASP5	gene	3	-2.0303294991942304
GSDMD	gene	3	-0.8085447278082052
IL1B	gene	3	1.8477704887085409
TNF	gene	3	-0.7056353431198641
NFKBIA	gene	3	-0.6146071302826108
STAT1	gene	3	-2.862936626777495
IRF1	gene	3	-1.5971094651139683
CIITA	gene	3	-2.734352984657213
CD74	gene	3	-0.945758234596056
ifn_apc	module	3	-2.0350393277861833
nfkb_cytokine	module	3	0.15816624769705312
pyroptosis	module	3	-0.8925056257327691
c15_switch	module	3	-0.3288323044639778
C15ORF48	gene	6	-0.32347035959974946
NDUFA4	gene	6	0.7310245923038332
LITAF	gene	6	-0.21883380531259178
CASP4	gene	6	-0.7045394829060942
CASP1	gene	6	-1.3800953962481346
CASP5	gene	6	-1.5804430013330362
GSDMD	gene	6	-0.8445899819320202
IL1B	gene	6	2.564185559997995
TNF	gene	6	-0.7877009875162955
NFKBIA	gene	6	-0.5959748339823054
STAT1	gene	6	-1.6354631236333965
IRF1	gene	6	-2.0533504220654635
CIITA	gene	6	-0.7730873231626783
CD74	gene	6	-0.7614610651429814
ifn_apc	module	6	-1.30584048350113
nfkb_cytokine	module	6	0.24041898329670053
pyroptosis	module	6	-0.389096460484258
c15_switch	module	6	-0.5272474759517913
