gene	trajectory	hour	log2_cpm	delta_vs_0h
CD74	PBS_LPS	0	13.05416417118507	0.0
CD74	PBS_LPS	1	13.069973527231019	0.01580935604594913
CD74	PBS_LPS	3	12.802316636784491	-0.2518475344005786
CD74	PBS_LPS	6	12.711710699164605	-0.3424534720204644
CD74	PBS_LPS	12	12.83203315621679	-0.22213101496828003
CD74	IFNY_LPS	0	13.868331169791384	0.0
CD74	IFNY_LPS	1	13.824067749391455	-0.04426342039992903
CD74	IFNY_LPS	3	13.566741280341006	-0.3015898894503781
CD74	IFNY_LPS	6	13.512647927637323	-0.3556832421540612
CD74	IFNY_LPS	12	13.587904647641183	-0.2804265221502007
CD74	PBS_RUX_LPS	0	12.912870698180768	0.0
CD74	PBS_RUX_LPS	1	12.984647042877214	0.07177634469644545
CD74	PBS_RUX_LPS	3	12.663024842913332	-0.24984585526743608
CD74	PBS_RUX_LPS	6	12.711543889307373	-0.20132680887339482
CD74	IFNY_RUX_LPS	0	12.861163750729004	0.0
CD74	IFNY_RUX_LPS	1	12.911298532485013	0.05013478175600916
CD74	IFNY_RUX_LPS	3	12.62098304574495	-0.24018070498405386
CD74	IFNY_RUX_LPS	6	12.751186862494341	-0.10997688823466234
NFKBIA	PBS_LPS	0	6.537276719967057	0.0
NFKBIA	PBS_LPS	1	10.587752807503307	4.05047608753625
NFKBIA	PBS_LPS	3	9.741559610348256	3.204282890381199
NFKBIA	PBS_LPS	6	9.276438048915086	2.739161328948029
NFKBIA	PBS_LPS	12	9.29884270602942	2.7615659860623634
NFKBIA	IFNY_LPS	0	5.826896739293841	0.0
NFKBIA	IFNY_LPS	1	9.971299460627076	4.144402721333235
NFKBIA	IFNY_LPS	3	10.140710102626333	4.313813363332492
NFKBIA	IFNY_LPS	6	9.380896778690026	3.5540000393961853
NFKBIA	IFNY_LPS	12	9.101041322000409	3.274144582706568
NFKBIA	PBS_RUX_LPS	0	6.313009220417336	0.0
NFKBIA	PBS_RUX_LPS	1	10.594591949923595	4.281582729506259
NFKBIA	PBS_RUX_LPS	3	9.714973388700244	3.401964168282908
NFKBIA	PBS_RUX_LPS	6	8.941107630598518	2.628098410181182
NFKBIA	IFNY_RUX_LPS	0	6.04867995649779	0.0
NFKBIA	IFNY_RUX_LPS	1	10.348872888891101	4.300192932393311
NFKBIA	IFNY_RUX_LPS	3	9.526102972343722	3.4774230158459316
NFKBIA	IFNY_RUX_LPS	6	8.78492194470772	2.7362419882099305
GSDMD	PBS_LPS	0	5.072744755714676	0.0
GSDMD	PBS_LPS	1	5.010953268553655	-0.06179148716102123
GSDMD	PBS_LPS	3	5.613876723689732	0.5411319679750557
GSDMD	PBS_LPS	6	6.239990877680094	1.1672461219654178
GSDMD	PBS_LPS	12	6.7526272696198735	1.6798825139051976
GSDMD	IFNY_LPS	0	6.175245942622515	0.0
GSDMD	IFNY_LPS	1	6.237154956091465	0.06190901346895039
GSDMD	IFNY_LPS	3	6.062357468216053	-0.11288847440646155
GSDMD	IFNY_LPS	6	6.244276653077313	0.0690307104547987
GSDMD	IFNY_LPS	12	6.640028843806737	0.46478290118422283
GSDMD	PBS_RUX_LPS	0	5.202544649645636	0.0
GSDMD	PBS_RUX_LPS	1	5.014597245052668	-0.18794740459296744
GSDMD	PBS_RUX_LPS	3	4.696244993281047	-0.5062996563645887
GSDMD	PBS_RUX_LPS	6	5.267428215149783	0.06488356550414753
GSDMD	IFNY_RUX_LPS	0	5.465269661509758	0.0
GSDMD	IFNY_RUX_LPS	1	5.37955403244147	-0.08571562906828856
GSDMD	IFNY_RUX_LPS	3	5.253812740407848	-0.2114569211019104
GSDMD	IFNY_RUX_LPS	6	5.399686671145293	-0.06558299036446513
STAT1	PBS_LPS	0	8.321256804666227	0.0
STAT1	PBS_LPS	1	8.311155808920445	-0.01010099574578227
STAT1	PBS_LPS	3	9.662324252157003	1.3410674474907758
STAT1	PBS_LPS	6	10.75476814677261	2.4335113421063834
STAT1	PBS_LPS	12	11.56434578988107	3.2430889852148432
STAT1	IFNY_LPS	0	11.670440895764807	0.0
STAT1	IFNY_LPS	1	11.604745738189232	-0.06569515757557554
STAT1	IFNY_LPS	3	11.112574165066613	-0.5578667306981941
STAT1	IFNY_LPS	6	10.590959002095577	-1.0794818936692305
STAT1	IFNY_LPS	12	10.962446765020303	-0.7079941307445043
STAT1	PBS_RUX_LPS	0	8.08758389950116	0.0
STAT1	PBS_RUX_LPS	1	8.070540487898612	-0.01704341160254863
STAT1	PBS_RUX_LPS	3	8.210718426739634	0.12313452723847362
STAT1	PBS_RUX_LPS	6	9.12178251278608	1.0341986132849197
STAT1	IFNY_RUX_LPS	0	8.317799755838791	0.0
STAT1	IFNY_RUX_LPS	1	8.375815078121393	0.058015322282601645
STAT1	IFNY_RUX_LPS	3	8.249637538289118	-0.06816221754967344
STAT1	IFNY_RUX_LPS	6	8.95549587846218	0.6376961226233888
IRF1	PBS_LPS	0	4.8437748280082955	0.0
IRF1	PBS_LPS	1	6.843323016760205	1.999548188751909
IRF1	PBS_LPS	3	9.075328783680987	4.231553955672692
IRF1	PBS_LPS	6	8.200357135128328	3.356582307120033
IRF1	PBS_LPS	12	8.362165294610016	3.51839046660172
IRF1	IFNY_LPS	0	8.839466257857618	0.0
IRF1	IFNY_LPS	1	9.42491627195678	0.5854500140991625
IRF1	IFNY_LPS	3	9.797808211790224	0.9583419539326066
IRF1	IFNY_LPS	6	9.138242359420106	0.29877610156248835
IRF1	IFNY_LPS	12	8.775394968176826	-0.06407128968079157
IRF1	PBS_RUX_LPS	0	4.6942578710149165	0.0
IRF1	PBS_RUX_LPS	1	6.800328087329281	2.1060702163143645
IRF1	PBS_RUX_LPS	3	8.125790604440335	3.431532733425418
IRF1	PBS_RUX_LPS	6	7.207793667827201	2.5135357968122847
IRF1	IFNY_RUX_LPS	0	4.913322338363926	0.0
IRF1	IFNY_RUX_LPS	1	6.757924642583895	1.8446023042199684
IRF1	IFNY_RUX_LPS	3	8.200698746676256	3.28737640831233
IRF1	IFNY_RUX_LPS	6	7.084891937354643	2.1715695989907164
IL1B	PBS_LPS	0	4.052475486694463	0.0
IL1B	PBS_LPS	1	10.389684757241431	6.3372092705469685
IL1B	PBS_LPS	3	10.84693921883664	6.7944637321421775
IL1B	PBS_LPS	6	10.47288034575473	6.420404859060267
IL1B	PBS_LPS	12	8.319430063826463	4.266954577132
IL1B	IFNY_LPS	0	3.051512113614364	0.0
IL1B	IFNY_LPS	1	8.732835346545077	5.681323232930713
IL1B	IFNY_LPS	3	9.987678529059583	6.936166415445219
IL1B	IFNY_LPS	6	9.247032037386552	6.195519923772188
IL1B	IFNY_LPS	12	7.255637891237001	4.204125777622637
IL1B	PBS_RUX_LPS	0	3.4882310513298194	0.0
IL1B	PBS_RUX_LPS	1	10.51191772322144	7.023686671891621
IL1B	PBS_RUX_LPS	3	11.921011943521645	8.432780892191825
IL1B	PBS_RUX_LPS	6	12.042893573413478	8.554662522083659
IL1B	IFNY_RUX_LPS	0	3.129342062359303	0.0
IL1B	IFNY_RUX_LPS	1	9.949562598121648	6.8202205357623455
IL1B	IFNY_RUX_LPS	3	11.835449017768124	8.70610695540882
IL1B	IFNY_RUX_LPS	6	11.811217597384546	8.681875535025243
CASP1	PBS_LPS	0	6.031210025441995	0.0
CASP1	PBS_LPS	1	6.14134969235098	0.11013966690898513
CASP1	PBS_LPS	3	6.550208053576774	0.5189980281347788
CASP1	PBS_LPS	6	7.318397761963678	1.287187736521683
CASP1	PBS_LPS	12	7.977462857655017	1.9462528322130224
CASP1	IFNY_LPS	0	7.341548577481223	0.0
CASP1	IFNY_LPS	1	7.449812996484872	0.1082644190036488
CASP1	IFNY_LPS	3	7.584813859407552	0.24326528192632857
CASP1	IFNY_LPS	6	7.566488298623283	0.22493972114205985
CASP1	IFNY_LPS	12	7.933309929128964	0.5917613516477411
CASP1	PBS_RUX_LPS	0	5.906061860905348	0.0
CASP1	PBS_RUX_LPS	1	6.126742065011674	0.22068020410632627
CASP1	PBS_RUX_LPS	3	5.796838554284355	-0.10922330662099355
