gene	family	is_minimum_candidate	is_state_control	druggability_score	n_delta_diseases_tested	n_delta_fdr10_positive_diseases	n_delta_trend_or_better_diseases	n_delta_negative_trend_diseases	median_delta_hedges_g_supported	delta_supporting_diseases	delta_negative_diseases	best_delta_details	n_state_raw_r_ge_0_5_diseases	n_state_raw_r_ge_0_7_diseases	n_state_resid_non_ifn_r_ge_0_35_diseases	n_state_resid_with_ifn_r_ge_0_25_diseases	median_raw_state_r	median_resid_non_ifn_state_r	median_resid_with_ifn_state_r	n_confounder_raw_r_ge_0_5_diseases	n_confounder_dominant_diseases	raw_state_supporting_diseases	resid_non_ifn_supporting_diseases	best_raw_state_details	best_resid_non_ifn_details	n_analyses_present	n_analyses_checked	delta_score	state_coupling_score	breadth_penalty	state_control_penalty	rank_score	go_no_go	demotion_or_support_reason
CTSH	cathepsin_protease	False	False	3.0	10	1	5	0	1.9718916631433252	Crohn disease;Graves disease;Hashimoto thyroiditis;type 1 diabetes mellitus;ulcerative colitis		"[{""disease_name"": ""Crohn disease"", ""analysis"": ""ibd_crohn_epithelial"", ""compartment"": ""colon epithelial"", ""delta_case_minus_control"": 0.1850691985752725, ""hedges_g"": 2.0486387364130265, ""p"": 0.007660104789346407, ""fdr"": 0.2910839819951635, ""support_level"": ""trend_positive""}, {""disease_name"": ""Graves disease"", ""analysis"": ""gse248205_thyroid_graves_disease"", ""compartment"": ""thyroid Visium spots"", ""delta_case_minus_control"": 0.44460601069834654, ""hedges_g"": 1.4466918939894735, ""p"": 0.08667615548705379, ""fdr"": 0.42487340661977124, ""support_level"": ""trend_positive""}, {""disease_name"": ""Hashimoto thyroiditis"", ""analysis"": ""gse248205_thyroid_hashimoto_thyroiditis"", ""compartment"": ""thyroid Visium spots"", ""delta_case_minus_control"": 1.2764249729089625, ""hedges_g"": 1.9718916631433252, ""p"": 0.05556845564216145, ""fdr"": 0.10319856047829984, ""support_level"": ""trend_positive""}, {""disease_name"": ""MS"", ""analysis"": ""gse111972_ms_white_matter_microglia"", ""compartment"": ""white matter microglia"", ""delta_case_minus_control"": 0.3587586355804416, ""hedges_g"": 0.41946017541781555, ""p"": 0.3199162871104024, ""fdr"": 0.6482514238816048, ""support_level"": ""positive_null""}, {""disease_name"": ""Sjogren syndrome"", ""analysis"": ""sjogren_gland_apc"", ""compartment"": ""salivary gland APC"", ""delta_case_minus_control"": -0.014858838457869838, ""hedges_g"": -0.050506899288906726, ""p"": 0.8975889776120796, ""fdr"": 0.982913668850495, ""support_level"": ""null_or_negative""}, {""disease_name"": ""celiac disease"", ""analysis"": ""gse315138_celiac_myeloid_apc_like"", ""compartment"": ""duodenum myeloid_apc_like"", ""delta_case_minus_control"": 0.1322603290448557, ""hedges_g"": 0.8594105761889579, ""p"": 0.251262995561017, ""fdr"": 0.6160429387621593, ""support_level"": ""positive_null""}, {""disease_name"": ""psoriasis"", ""analysis"": ""psoriasis_skin_apc"", ""compartment"": ""skin APC"", ""delta_case_minus_control"": 0.3015964801869899, ""hedges_g"": 1.329671163804622, ""p"": 0.11149776996135999, ""fdr"": 0.42618784038442487, ""support_level"": ""positive_null""}, {""disease_name"": ""rheumatoid arthritis"", ""analysis"": ""ra_blood_myeloid"", ""compartment"": ""blood myeloid/APC"", ""delta_case_minus_control"": -0.055464455899177076, ""hedges_g"": -0.5168172922104288, ""p"": 0.12261314170414173, ""fdr"": 0.9945743432982461, ""support_level"": ""null_or_negative""}, {""disease_name"": ""type 1 diabetes mellitus"", ""analysis"": ""t1d_acinar_cell"", ""compartment"": ""pancreatic acinar cell"", ""delta_case_minus_control"": 0.3300454005005007, ""hedges_g"": 1.819690122750781, ""p"": 0.04247873688663265, ""fdr"": 0.6099777485594746, ""support_level"": ""trend_positive""}, {""disease_name"": ""ulcerative colitis"", ""analysis"": ""ibd_uc_myeloid"", ""compartment"": ""colon myeloid"", ""delta_case_minus_control"": 0.5776951833665149, ""hedges_g"": 3.3359718256161464, ""p"": 0.00013430847239460095, ""fdr"": 0.0052380304233894375, ""support_level"": ""fdr10_positive""}]"	8	5	8	6	0.46553359683794465	0.31468531468531474	0.3199300699300699	9	3	Crohn disease;Graves disease;Hashimoto thyroiditis;Sjogren syndrome;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	Crohn disease;MS;Sjogren syndrome;celiac disease;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	"[{""disease_name"": ""Crohn disease"", ""analysis"": ""ibd_crohn_myeloid"", ""compartment"": ""colon myeloid"", ""target_module"": ""hla_cd74_ciita_state"", ""n_units"": 12, ""spearman_r"": 0.8111888111888113, ""spearman_p"": 0.0013633152527271926, ""spearman_fdr"": 0.017137523813722508}, {""disease_name"": ""Graves disease"", ""analysis"": ""gse248205_thyroid_graves_disease"", ""compartment"": ""thyroid Visium spots"", ""target_module"": ""hla_cd74_ciita_state"", ""n_units"": 5, ""spearman_r"": 0.8999999999999998, ""spearman_p"": 0.03738607346849874, ""spearman_fdr"": 0.16840415828004157}, {""disease_name"": ""Hashimoto thyroiditis"", ""analysis"": ""gse248205_thyroid_hashimoto_thyroiditis"", ""compartment"": ""thyroid Visium spots"", ""target_module"": ""hla_cd74_ciita_state"", ""n_units"": 5, ""spearman_r"": 0.8999999999999998, ""spearman_p"": 0.03738607346849874, ""spearman_fdr"": 0.16840415828004157}, {""disease_name"": ""MS"", ""analysis"": ""gse111972_ms_white_matter_microglia"", ""compartment"": ""white matter microglia"", ""target_module"": ""hla_cd74_ciita_state"", ""n_units"": 21, ""spearman_r"": 0.33506493506493507, ""spearman_p"": 0.13760998567228208, ""spearman_fdr"": 0.3693829867157451}, {""disease_name"": ""Sjogren syndrome"", ""analysis"": ""sjogren_gland_stromal"", ""compartment"": ""salivary gland stromal/endothelial"", ""target_module"": ""hla_cd74_ciita_state"", ""n_units"": 24, ""spearman_r"": 0.7086956521739128, ""spearman_p"": 0.00010616350972290823, ""spearman_fdr"": 0.002203697095763398}, {""disease_name"": ""celiac disease"", ""analysis"": ""gse315138_celiac_stromal_endothelial_like"", ""compartment"": ""duodenum stromal_endothelial_like"", ""target_module"": ""hla_cd74_ciita_state"", ""n_units"": 6, ""spearman_r"": 0.2571428571428572, ""spearman_p"": 0.6227871720116619, ""spearman_fdr"": 0.7993434187560282}, {""disease_name"": ""psoriasis"", ""analysis"": ""psoriasis_skin_apc"", ""compartment"": ""skin APC"", ""target_module"": ""cd74_hla_surface_state"", ""n_units"": 6, ""spearman_r"": 0.942857142857143, ""spearman_p"": 0.004804664723032055, ""spearman_fdr"": 0.03965295584671034}, {""disease_name"": ""rheumatoid arthritis"", ""analysis"": ""ra_blood_myeloid"", ""compartment"": ""blood myeloid/APC"", ""target_module"": ""hla_cd74_ciita_state"", ""n_units"": 36, ""spearman_r"": 0.6723294723294724, ""spearman_p"": 7.091187432146013e-06, ""spearman_fdr"": 0.0002276935964540634}, {""disease_name"": ""type 1 diabetes mellitus"", ""analysis"": ""t1d_acinar_cell"", ""compartment"": ""pancreatic acinar cell"", ""target_module"": ""hla_cd74_ciita_state"", ""n_units"": 23, ""spearman_r"": 0.6096837944664032, ""spearman_p"": 0.002011096915199293, ""spearman_fdr"": 0.02379552983476438}, {""disease_name"": ""ulcerative colitis"", ""analysis"": ""ibd_uc_epithelial"", ""compartment"": ""colon epithelial"", ""target_module"": ""hla_cd74_ciita_state"", ""n_units"": 12, ""spearman_r"": 0.5664335664335665, ""spearman_p"": 0.054842119775407906, ""spearman_fdr"": 0.21104973059637314}]"	"[{""disease_name"": ""Crohn disease"", ""analysis"": ""ibd_crohn_epithelial"", ""compartment"": ""colon epithelial"", ""target_module"": ""cd74_hla_surface_state"", ""n_units"": 12, ""spearman_r"": 0.7552447552447553, ""spearman_p"": 0.004508435484294224, ""spearman_fdr"": 0.02753999086725904}, {""disease_name"": ""Graves disease"", ""analysis"": ""gse248205_thyroid_graves_disease"", ""compartment"": ""thyroid Visium spots"", ""target_module"": ""hla_cd74_ciita_state"", ""n_units"": 0, ""spearman_r"": NaN, ""spearman_p"": NaN, ""spearman_fdr"": NaN}, {""disease_name"": ""Hashimoto thyroiditis"", ""analysis"": ""gse248205_thyroid_hashimoto_thyroiditis"", ""compartment"": ""thyroid Visium spots"", ""target_module"": ""hla_cd74_ciita_state"", ""n_units"": 0, ""spearman_r"": NaN, ""spearman_p"": NaN, ""spearman_fdr"": NaN}, {""disease_name"": ""MS"", ""analysis"": ""gse111972_ms_white_matter_microglia"", ""compartment"": ""white matter microglia"", ""target_module"": ""cd74_hla_surface_state"", ""n_units"": 21, ""spearman_r"": 0.36623376623376624, ""spearman_p"": 0.10250352982629479, ""spearman_fdr"": 0.29597764495764467}, {""disease_name"": ""Sjogren syndrome"", ""analysis"": ""sjogren_gland_stromal"", ""compartment"": ""salivary gland stromal/endothelial"", ""target_module"": ""hla_cd74_ciita_state"", ""n_units"": 24, ""spearman_r"": 0.6843478260869565, ""spearman_p"": 0.000225881911303567, ""spearman_fdr"": 0.0022743559640777144}, {""disease_name"": ""celiac disease"", ""analysis"": ""gse315138_celiac_stromal_endothelial_like"", ""compartment"": ""duodenum stromal_endothelial_like"", ""target_module"": ""cd74_hla_surface_state"", ""n_units"": 6, ""spearman_r"": 1.0, ""spearman_p"": 0.0, ""spearman_fdr"": 0.0}, {""disease_name"": ""psoriasis"", ""analysis"": ""psoriasis_skin_apc"", ""compartment"": ""skin APC"", ""target_module"": ""cd74_hla_surface_state"", ""n_units"": 6, ""spearman_r"": 1.0, ""spearman_p"": 0.0, ""spearman_fdr"": 0.0}, {""disease_name"": ""rheumatoid arthritis"", ""analysis"": ""ra_blood_myeloid"", ""compartment"": ""blood myeloid/APC"", ""target_module"": ""hla_cd74_ciita_state"", ""n_units"": 36, ""spearman_r"": 0.5261261261261262, ""spearman_p"": 0.000981413519197241, ""spearman_fdr"": 0.008686650823406278}, {""disease_name"": ""type 1 diabetes mellitus"", ""analysis"": ""t1d_endothelial_cell"", ""compartment"": ""pancreatic endothelial cell"", ""target_module"": ""cd74_hla_surface_state"", ""n_units"": 22, ""spearman_r"": 0.7278373800112932, ""spearman_p"": 0.00012334699081254804, ""spearman_fdr"": 0.0012688071541420481}, {""disease_name"": ""ulcerative colitis"", ""analysis"": ""ibd_uc_stromal"", ""compartment"": ""colon stromal"", ""target_module"": ""cd74_hla_surface_state"", ""n_units"": 12, ""spearman_r"": 0.5104895104895105, ""spearman_p"": 0.08991373630263919, ""spearman_fdr"": 0.2673528752873787}]"	21	21	7.0	20.75	0.0	0.0	30.0	GO_SCOUT	passes local dependency gate
CTSS	cathepsin_protease	True	False	3.0	10	2	4	0	2.026935774438952	Crohn disease;Hashimoto thyroiditis;type 1 diabetes mellitus;ulcerative colitis		"[{""disease_name"": ""Crohn disease"", ""analysis"": ""ibd_crohn_myeloid"", ""compartment"": ""colon myeloid"", ""delta_case_minus_control"": 0.3741268596798106, ""hedges_g"": 1.5411278055404474, ""p"": 0.018156754432533968, ""fdr"": 0.20231812081966422, ""support_level"": ""trend_positive""}, {""disease_name"": ""Graves disease"", ""analysis"": ""gse248205_thyroid_graves_disease"", ""compartment"": ""thyroid Visium spots"", ""delta_case_minus_control"": 0.5498647107216581, ""hedges_g"": 1.2276378039067661, ""p"": 0.13946883298603677, ""fdr"": 0.42487340661977124, ""support_level"": ""positive_null""}, {""disease_name"": ""Hashimoto thyroiditis"", ""analysis"": ""gse248205_thyroid_hashimoto_thyroiditis"", ""compartment"": ""thyroid Visium spots"", ""delta_case_minus_control"": 1.350675044495363, ""hedges_g"": 22.502637330799626, ""p"": 0.00027837212892900895, ""fdr"": 0.005428256514115675, ""support_level"": ""fdr10_positive""}, {""disease_name"": ""MS"", ""analysis"": ""gse111972_ms_white_matter_microglia"", ""compartment"": ""white matter microglia"", ""delta_case_minus_control"": 0.6127425737348126, ""hedges_g"": 0.6388917205212498, ""p"": 0.1407159118865223, ""fdr"": 0.45146355063592575, ""support_level"": ""positive_null""}, {""disease_name"": ""Sjogren syndrome"", ""analysis"": ""sjogren_gland_epithelial"", ""compartment"": ""salivary gland epithelial"", ""delta_case_minus_control"": 0.010673423214172917, ""hedges_g"": 0.03407190598312534, ""p"": 0.9312038187831255, ""fdr"": 0.9972999714324288, ""support_level"": ""positive_null""}, {""disease_name"": ""celiac disease"", ""analysis"": ""gse315138_celiac_b_plasma_like"", ""compartment"": ""duodenum b_plasma_like"", ""delta_case_minus_control"": 0.09792970326327505, ""hedges_g"": 0.4768636166177623, ""p"": 0.3833245379751357, ""fdr"": 0.6786320469672807, ""support_level"": ""positive_null""}, {""disease_name"": ""psoriasis"", ""analysis"": ""psoriasis_keratinocyte"", ""compartment"": ""skin keratinocyte"", ""delta_case_minus_control"": 0.2480614770719607, ""hedges_g"": 1.6175085848411297, ""p"": 0.1032868376694264, ""fdr"": 0.39019472008449974, ""support_level"": ""positive_null""}, {""disease_name"": ""rheumatoid arthritis"", ""analysis"": ""ra_blood_myeloid"", ""compartment"": ""blood myeloid/APC"", ""delta_case_minus_control"": -0.0381736456312457, ""hedges_g"": -0.09147101676043867, ""p"": 0.780878850034549, ""fdr"": 0.9945743432982461, ""support_level"": ""null_or_negative""}, {""disease_name"": ""type 1 diabetes mellitus"", ""analysis"": ""t1d_ductal_cell"", ""compartment"": ""pancreatic ductal cell"", ""delta_case_minus_control"": 0.348536800619066, ""hedges_g"": 1.7678416619618618, ""p"": 0.06285056565162517, ""fdr"": 0.4289810264493641, ""support_level"": ""trend_positive""}, {""disease_name"": ""ulcerative colitis"", ""analysis"": ""ibd_uc_myeloid"", ""compartment"": ""colon myeloid"", ""delta_case_minus_control"": 0.5838029551141575, ""hedges_g"": 2.286029886916042, ""p"": 0.0017874549075027567, ""fdr"": 0.023236913797535837, ""support_level"": ""fdr10_positive""}]"	10	6	6	4	0.4703896209107001	0.20130434782608694	0.131002331002331	10	4	Crohn disease;Graves disease;Hashimoto thyroiditis;MS;Sjogren syndrome;celiac disease;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	Crohn disease;celiac disease;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	"[{""disease_name"": ""Crohn disease"", ""analysis"": ""ibd_crohn_myeloid"", ""compartment"": ""colon myeloid"", ""target_module"": ""hla_cd74_ciita_state"", ""n_units"": 12, ""spearman_r"": 0.7762237762237763, ""spearman_p"": 0.0029928636801859823, ""spearman_fdr"": 0.0320329940769906}, {""disease_name"": ""Graves disease"", ""analysis"": ""gse248205_thyroid_graves_disease"", ""compartment"": ""thyroid Visium spots"", ""target_module"": ""hla_cd74_ciita_state"", ""n_units"": 5, ""spearman_r"": 0.8999999999999998, ""spearman_p"": 0.03738607346849874, ""spearman_fdr"": 0.16840415828004157}, {""disease_name"": ""Hashimoto thyroiditis"", ""analysis"": ""gse248205_thyroid_hashimoto_thyroiditis"", ""compartment"": ""thyroid Visium spots"", ""target_module"": ""hla_cd74_ciita_state"", ""n_units"": 5, ""spearman_r"": 0.8999999999999998, ""spearman_p"": 0.03738607346849874, ""spearman_fdr"": 0.16840415828004157}, {""disease_name"": ""MS"", ""analysis"": ""gse111972_ms_grey_matter_microglia"", ""compartment"": ""grey matter microglia"", ""target_module"": ""hla_cd74_ciita_state"", ""n_units"": 10, ""spearman_r"": 0.5757575757575757, ""spearman_p"": 0.08155281477260247, ""spearman_fdr"": 0.26857537557323413}, {""disease_name"": ""Sjogren syndrome"", ""analysis"": ""sjogren_gland_stromal"", ""compartment"": ""salivary gland stromal/endothelial"", ""target_module"": ""hla_cd74_ciita_state"", ""n_units"": 24, ""spearman_r"": 0.5243478260869565, ""spearman_p"": 0.008531088861189766, ""spearman_fdr"": 0.06398316645892325}, {""disease_name"": ""celiac disease"", ""analysis"": ""gse315138_celiac_b_plasma_like"", ""compartment"": ""duodenum b_plasma_like"", ""target_module"": ""hla_cd74_ciita_state"", ""n_units"": 6, ""spearman_r"": 0.5428571428571429, ""spearman_p"": 0.26570262390670546, ""spearman_fdr"": 0.5165741647382022}, {""disease_name"": ""psoriasis"", ""analysis"": ""psoriasis_skin_stromal"", ""compartment"": ""skin stromal"", ""target_module"": ""cd74_hla_surface_state"", ""n_units"": 6, ""spearman_r"": 0.942857142857143, ""spearman_p"": 0.004804664723032055, ""spearman_fdr"": 0.03965295584671034}, {""disease_name"": ""rheumatoid arthritis"", ""analysis"": ""ra_blood_myeloid"", ""compartment"": ""blood myeloid/APC"", ""target_module"": ""hla_cd74_ciita_state"", ""n_units"": 36, ""spearman_r"": 0.5333333333333333, ""spearman_p"": 0.0008099796424444845, ""spearman_fdr"": 0.011400740857694627}, {""disease_name"": ""type 1 diabetes mellitus"", ""analysis"": ""t1d_acinar_cell"", ""compartment"": ""pancreatic acinar cell"", ""target_module"": ""hla_cd74_ciita_state"", ""n_units"": 23, ""spearman_r"": 0.7776679841897233, ""spearman_p"": 1.2594839437371227e-05, ""spearman_fdr"": 0.0003697485006256839}, {""disease_name"": ""ulcerative colitis"", ""analysis"": ""ibd_uc_stromal"", ""compartment"": ""colon stromal"", ""target_module"": ""cd74_hla_surface_state"", ""n_units"": 12, ""spearman_r"": 0.8251748251748254, ""spearman_p"": 0.0009513628555555001, ""spearman_fdr"": 0.012068214001028104}]"	"[{""disease_name"": ""Crohn disease"", ""analysis"": ""ibd_crohn_myeloid"", ""compartment"": ""colon myeloid"", ""target_module"": ""cd74_hla_surface_state"", ""n_units"": 12, ""spearman_r"": 0.6363636363636365, ""spearman_p"": 0.026096891052703144, ""spearman_fdr"": 0.1176833736333983}, {""disease_name"": ""Graves disease"", ""analysis"": ""gse248205_thyroid_graves_disease"", ""compartment"": ""thyroid Visium spots"", ""target_module"": ""hla_cd74_ciita_state"", ""n_units"": 0, ""spearman_r"": NaN, ""spearman_p"": NaN, ""spearman_fdr"": NaN}, {""disease_name"": ""Hashimoto thyroiditis"", ""analysis"": ""gse248205_thyroid_hashimoto_thyroiditis"", ""compartment"": ""thyroid Visium spots"", ""target_module"": ""hla_cd74_ciita_state"", ""n_units"": 0, ""spearman_r"": NaN, ""spearman_p"": NaN, ""spearman_fdr"": NaN}, {""disease_name"": ""MS"", ""analysis"": ""gse111972_ms_grey_matter_microglia"", ""compartment"": ""grey matter microglia"", ""target_module"": ""cd74_hla_surface_state"", ""n_units"": 10, ""spearman_r"": 0.19999999999999998, ""spearman_p"": 0.5795840000000001, ""spearman_fdr"": 0.777819712270804}, {""disease_name"": ""Sjogren syndrome"", ""analysis"": ""sjogren_gland_epithelial"", ""compartment"": ""salivary gland epithelial"", ""target_module"": ""hla_cd74_ciita_state"", ""n_units"": 25, ""spearman_r"": 0.25076923076923074, ""spearman_p"": 0.22662811488529785, ""spearman_fdr"": 0.4776005566187395}, {""disease_name"": ""celiac disease"", ""analysis"": ""gse315138_celiac_b_plasma_like"", ""compartment"": ""duodenum b_plasma_like"", ""target_module"": ""hla_cd74_ciita_state"", ""n_units"": 6, ""spearman_r"": 0.5428571428571429, ""spearman_p"": 0.26570262390670546, ""spearman_fdr"": 0.4957177385239809}, {""disease_name"": ""psoriasis"", ""analysis"": ""psoriasis_skin_stromal"", ""compartment"": ""skin stromal"", ""target_module"": ""cd74_hla_surface_state"", ""n_units"": 6, ""spearman_r"": 1.0, ""spearman_p"": 0.0, ""spearman_fdr"": 0.0}, {""disease_name"": ""rheumatoid arthritis"", ""analysis"": ""ra_blood_myeloid"", ""compartment"": ""blood myeloid/APC"", ""target_module"": ""hla_cd74_ciita_state"", ""n_units"": 36, ""spearman_r"": 0.4957528957528957, ""spearman_p"": 0.002107645582944538, ""spearman_fdr"": 0.01714038266813443}, {""disease_name"": ""type 1 diabetes mellitus"", ""analysis"": ""t1d_ductal_cell"", ""compartment"": ""pancreatic ductal cell"", ""target_module"": ""cd74_hla_surface_state"", ""n_units"": 24, ""spearman_r"": 0.4669565217391304, ""spearman_p"": 0.02142193167821524, ""spearman_fdr"": 0.09894644656224175}, {""disease_name"": ""ulcerative colitis"", ""analysis"": ""ibd_uc_stromal"", ""compartment"": ""colon stromal"", ""target_module"": ""cd74_hla_surface_state"", ""n_units"": 12, ""spearman_r"": 0.8741258741258742, ""spearman_p"": 0.00020071307332423182, ""spearman_fdr"": 0.0019477336965404888}]"	21	21	8.0	18.0	0.0	0.0	28.25	GO_SCOUT	passes local dependency gate
