gene	n_delta_diseases_tested	n_delta_fdr10_positive_diseases	n_delta_trend_or_better_diseases	n_delta_negative_trend_diseases	median_delta_hedges_g_supported	delta_supporting_diseases	delta_negative_diseases	best_delta_details
AP2A1	10	1	3	0	2.359906204772657	Crohn disease;Hashimoto thyroiditis;psoriasis		"[{""disease_name"": ""Crohn disease"", ""analysis"": ""ibd_crohn_epithelial"", ""compartment"": ""colon epithelial"", ""delta_case_minus_control"": 0.13644110795076445, ""hedges_g"": 1.430155434185871, ""p"": 0.024261086888997013, ""fdr"": 0.29301519166253165, ""support_level"": ""trend_positive""}, {""disease_name"": ""Graves disease"", ""analysis"": ""gse248205_thyroid_graves_disease"", ""compartment"": ""thyroid Visium spots"", ""delta_case_minus_control"": 0.285389650016406, ""hedges_g"": 0.7797626143761782, ""p"": 0.26690765287652296, ""fdr"": 0.42487340661977124, ""support_level"": ""positive_null""}, {""disease_name"": ""Hashimoto thyroiditis"", ""analysis"": ""gse248205_thyroid_hashimoto_thyroiditis"", ""compartment"": ""thyroid Visium spots"", ""delta_case_minus_control"": 0.29058807629239286, ""hedges_g"": 2.4911802868410655, ""p"": 0.02698302122231963, ""fdr"": 0.08418702621363724, ""support_level"": ""fdr10_positive""}, {""disease_name"": ""MS"", ""analysis"": ""gse111972_ms_grey_matter_microglia"", ""compartment"": ""grey matter microglia"", ""delta_case_minus_control"": 0.6245672964048058, ""hedges_g"": 0.4838619019756793, ""p"": 0.42326060356808876, ""fdr"": 0.9555892854665664, ""support_level"": ""positive_null""}, {""disease_name"": ""Sjogren syndrome"", ""analysis"": ""sjogren_gland_stromal"", ""compartment"": ""salivary gland stromal/endothelial"", ""delta_case_minus_control"": -0.08472847099800865, ""hedges_g"": -0.5307130390403222, ""p"": 0.20648224218971972, ""fdr"": 0.817688707742978, ""support_level"": ""null_or_negative""}, {""disease_name"": ""celiac disease"", ""analysis"": ""gse315138_celiac_myeloid_apc_like"", ""compartment"": ""duodenum myeloid_apc_like"", ""delta_case_minus_control"": 0.17930107930322134, ""hedges_g"": 1.0437728546706395, ""p"": 0.11521505582097478, ""fdr"": 0.6160429387621593, ""support_level"": ""positive_null""}, {""disease_name"": ""psoriasis"", ""analysis"": ""psoriasis_skin_stromal"", ""compartment"": ""skin stromal"", ""delta_case_minus_control"": 0.23073893438414686, ""hedges_g"": 2.359906204772657, ""p"": 0.025008573192543425, ""fdr"": 0.2429404252989933, ""support_level"": ""trend_positive""}, {""disease_name"": ""rheumatoid arthritis"", ""analysis"": ""ra_blood_myeloid"", ""compartment"": ""blood myeloid/APC"", ""delta_case_minus_control"": -0.0024139311708853963, ""hedges_g"": -0.030836998028779525, ""p"": 0.9251778212847257, ""fdr"": 0.9945743432982461, ""support_level"": ""null_or_negative""}, {""disease_name"": ""type 1 diabetes mellitus"", ""analysis"": ""t1d_ductal_cell"", ""compartment"": ""pancreatic ductal cell"", ""delta_case_minus_control"": 0.049581632277101446, ""hedges_g"": 0.2796505771688526, ""p"": 0.5147500221767239, ""fdr"": 0.7215137745505112, ""support_level"": ""positive_null""}, {""disease_name"": ""ulcerative colitis"", ""analysis"": ""ibd_uc_epithelial"", ""compartment"": ""colon epithelial"", ""delta_case_minus_control"": 0.06593614351766497, ""hedges_g"": 0.604175371503078, ""p"": 0.2882629500086427, ""fdr"": 0.6078835469927084, ""support_level"": ""positive_null""}]"
AP2M1	10	0	3	0	1.651412544404442	Hashimoto thyroiditis;celiac disease;psoriasis		"[{""disease_name"": ""Crohn disease"", ""analysis"": ""ibd_crohn_epithelial"", ""compartment"": ""colon epithelial"", ""delta_case_minus_control"": -0.07750370864902247, ""hedges_g"": -0.9491237365788502, ""p"": 0.11166473018102507, ""fdr"": 0.33045037746619255, ""support_level"": ""null_or_negative""}, {""disease_name"": ""Graves disease"", ""analysis"": ""gse248205_thyroid_graves_disease"", ""compartment"": ""thyroid Visium spots"", ""delta_case_minus_control"": 0.40459112040163786, ""hedges_g"": 1.1507847568708702, ""p"": 0.13941637303354565, ""fdr"": 0.42487340661977124, ""support_level"": ""positive_null""}, {""disease_name"": ""Hashimoto thyroiditis"", ""analysis"": ""gse248205_thyroid_hashimoto_thyroiditis"", ""compartment"": ""thyroid Visium spots"", ""delta_case_minus_control"": 0.4514448505352671, ""hedges_g"": 5.220591010292451, ""p"": 0.06286827995415083, ""fdr"": 0.10666098646815955, ""support_level"": ""trend_positive""}, {""disease_name"": ""MS"", ""analysis"": ""gse111972_ms_grey_matter_microglia"", ""compartment"": ""grey matter microglia"", ""delta_case_minus_control"": 0.43632424526726743, ""hedges_g"": 0.39510535819909315, ""p"": 0.5087287249236401, ""fdr"": 0.9582662953604527, ""support_level"": ""positive_null""}, {""disease_name"": ""Sjogren syndrome"", ""analysis"": ""sjogren_gland_stromal"", ""compartment"": ""salivary gland stromal/endothelial"", ""delta_case_minus_control"": 0.001002061163918877, ""hedges_g"": 0.0051955573059588814, ""p"": 0.9888655507207774, ""fdr"": 0.9888655507207774, ""support_level"": ""positive_null""}, {""disease_name"": ""celiac disease"", ""analysis"": ""gse315138_celiac_myeloid_apc_like"", ""compartment"": ""duodenum myeloid_apc_like"", ""delta_case_minus_control"": 0.22722006433004543, ""hedges_g"": 1.651412544404442, ""p"": 0.031103188963178582, ""fdr"": 0.6160429387621593, ""support_level"": ""trend_positive""}, {""disease_name"": ""psoriasis"", ""analysis"": ""psoriasis_skin_stromal"", ""compartment"": ""skin stromal"", ""delta_case_minus_control"": 0.2139955649012984, ""hedges_g"": 1.5795204172438426, ""p"": 0.08773831365003397, ""fdr"": 0.4971837773501925, ""support_level"": ""trend_positive""}, {""disease_name"": ""rheumatoid arthritis"", ""analysis"": ""ra_blood_myeloid"", ""compartment"": ""blood myeloid/APC"", ""delta_case_minus_control"": 0.0052614458267856695, ""hedges_g"": 0.052939476669148944, ""p"": 0.8719859305981001, ""fdr"": 0.9945743432982461, ""support_level"": ""positive_null""}, {""disease_name"": ""type 1 diabetes mellitus"", ""analysis"": ""t1d_acinar_cell"", ""compartment"": ""pancreatic acinar cell"", ""delta_case_minus_control"": 0.09264318931681324, ""hedges_g"": 0.5043527652811595, ""p"": 0.3035807360734808, ""fdr"": 0.6231394056245132, ""support_level"": ""positive_null""}, {""disease_name"": ""ulcerative colitis"", ""analysis"": ""ibd_uc_stromal"", ""compartment"": ""colon stromal"", ""delta_case_minus_control"": -0.09297001088301782, ""hedges_g"": -0.29591443780311466, ""p"": 0.5983580144259079, ""fdr"": 0.863016366960444, ""support_level"": ""null_or_negative""}]"
APOE	10	1	2	0	3.748199057980665	Hashimoto thyroiditis;Sjogren syndrome		"[{""disease_name"": ""Crohn disease"", ""analysis"": ""ibd_crohn_myeloid"", ""compartment"": ""colon myeloid"", ""delta_case_minus_control"": 0.2611152959858456, ""hedges_g"": 0.5349769435490236, ""p"": 0.3432098586972965, ""fdr"": 0.6529358287411982, ""support_level"": ""positive_null""}, {""disease_name"": ""Graves disease"", ""analysis"": ""gse248205_thyroid_graves_disease"", ""compartment"": ""thyroid Visium spots"", ""delta_case_minus_control"": 1.6636142629476542, ""hedges_g"": 0.6399134363636979, ""p"": 0.33934342322218575, ""fdr"": 0.4726569109166159, ""support_level"": ""positive_null""}, {""disease_name"": ""Hashimoto thyroiditis"", ""analysis"": ""gse248205_thyroid_hashimoto_thyroiditis"", ""compartment"": ""thyroid Visium spots"", ""delta_case_minus_control"": 5.69458197997359, ""hedges_g"": 6.5479003959659385, ""p"": 0.0057879436295670125, ""fdr"": 0.03762163359218558, ""support_level"": ""fdr10_positive""}, {""disease_name"": ""MS"", ""analysis"": ""gse111972_ms_white_matter_microglia"", ""compartment"": ""white matter microglia"", ""delta_case_minus_control"": 0.8357241450525232, ""hedges_g"": 0.6955020632543428, ""p"": 0.12020866325645929, ""fdr"": 0.45146355063592575, ""support_level"": ""positive_null""}, {""disease_name"": ""Sjogren syndrome"", ""analysis"": ""sjogren_gland_stromal"", ""compartment"": ""salivary gland stromal/endothelial"", ""delta_case_minus_control"": 0.19445490927587228, ""hedges_g"": 0.9484977199953917, ""p"": 0.05394626507194959, ""fdr"": 0.817688707742978, ""support_level"": ""trend_positive""}, {""disease_name"": ""celiac disease"", ""analysis"": ""gse315138_celiac_myeloid_apc_like"", ""compartment"": ""duodenum myeloid_apc_like"", ""delta_case_minus_control"": 0.2613842621756207, ""hedges_g"": 1.1077258344607925, ""p"": 0.2274168124605148, ""fdr"": 0.6160429387621593, ""support_level"": ""positive_null""}, {""disease_name"": ""psoriasis"", ""analysis"": ""psoriasis_skin_stromal"", ""compartment"": ""skin stromal"", ""delta_case_minus_control"": -0.0813478797855618, ""hedges_g"": -0.40196382757155846, ""p"": 0.5953753519068428, ""fdr"": 0.7496317596659534, ""support_level"": ""null_or_negative""}, {""disease_name"": ""rheumatoid arthritis"", ""analysis"": ""ra_blood_myeloid"", ""compartment"": ""blood myeloid/APC"", ""delta_case_minus_control"": -0.022687137601689757, ""hedges_g"": -0.14674420608234326, ""p"": 0.6573154125167919, ""fdr"": 0.9945743432982461, ""support_level"": ""null_or_negative""}, {""disease_name"": ""type 1 diabetes mellitus"", ""analysis"": ""t1d_acinar_cell"", ""compartment"": ""pancreatic acinar cell"", ""delta_case_minus_control"": 0.18071840573051098, ""hedges_g"": 1.2447512314252887, ""p"": 0.24553573372396953, ""fdr"": 0.6099777485594746, ""support_level"": ""positive_null""}, {""disease_name"": ""ulcerative colitis"", ""analysis"": ""ibd_uc_epithelial"", ""compartment"": ""colon epithelial"", ""delta_case_minus_control"": 0.24330788363455966, ""hedges_g"": 0.5138800555597964, ""p"": 0.3699990270682755, ""fdr"": 0.6078835469927084, ""support_level"": ""positive_null""}]"
AXL	10	0	1	0	1.842559053009566	type 1 diabetes mellitus		"[{""disease_name"": ""Crohn disease"", ""analysis"": ""ibd_crohn_epithelial"", ""compartment"": ""colon epithelial"", ""delta_case_minus_control"": 0.020158693918517646, ""hedges_g"": 0.3912215598189762, ""p"": 0.4892250631062723, ""fdr"": 0.6410535309668395, ""support_level"": ""positive_null""}, {""disease_name"": ""Graves disease"", ""analysis"": ""gse248205_thyroid_graves_disease"", ""compartment"": ""thyroid Visium spots"", ""delta_case_minus_control"": -0.023470122816418085, ""hedges_g"": -0.1952633599697644, ""p"": 0.792528062040001, ""fdr"": 0.8028206342742867, ""support_level"": ""null_or_negative""}, {""disease_name"": ""Hashimoto thyroiditis"", ""analysis"": ""gse248205_thyroid_hashimoto_thyroiditis"", ""compartment"": ""thyroid Visium spots"", ""delta_case_minus_control"": 0.015639635557032454, ""hedges_g"": 0.18800131897856254, ""p"": 0.8439051685138869, ""fdr"": 0.8776613752544423, ""support_level"": ""positive_null""}, {""disease_name"": ""MS"", ""analysis"": ""gse111972_ms_grey_matter_microglia"", ""compartment"": ""grey matter microglia"", ""delta_case_minus_control"": 1.0473951334140048, ""hedges_g"": 0.6936322333354804, ""p"": 0.26636605796362645, ""fdr"": 0.8917472375304016, ""support_level"": ""positive_null""}, {""disease_name"": ""Sjogren syndrome"", ""analysis"": ""sjogren_gland_epithelial"", ""compartment"": ""salivary gland epithelial"", ""delta_case_minus_control"": 0.016643376035316737, ""hedges_g"": 0.30434674203998907, ""p"": 0.4613629979453415, ""fdr"": 0.7857978999153545, ""support_level"": ""positive_null""}, {""disease_name"": ""celiac disease"", ""analysis"": ""gse315138_celiac_t_cell_like"", ""compartment"": ""duodenum t_cell_like"", ""delta_case_minus_control"": 0.02850581041263199, ""hedges_g"": 0.5012548930976751, ""p"": 0.39478396265469345, ""fdr"": 0.84160221281772, ""support_level"": ""positive_null""}, {""disease_name"": ""psoriasis"", ""analysis"": ""psoriasis_skin_apc"", ""compartment"": ""skin APC"", ""delta_case_minus_control"": -0.17000064795915693, ""hedges_g"": -0.4379852164070528, ""p"": 0.5509127575998558, ""fdr"": 0.8031997380299839, ""support_level"": ""null_or_negative""}, {""disease_name"": ""rheumatoid arthritis"", ""analysis"": ""ra_blood_myeloid"", ""compartment"": ""blood myeloid/APC"", ""delta_case_minus_control"": -0.020218103701499457, ""hedges_g"": -0.15876839677841745, ""p"": 0.6294120632242107, ""fdr"": 0.9945743432982461, ""support_level"": ""null_or_negative""}, {""disease_name"": ""type 1 diabetes mellitus"", ""analysis"": ""t1d_stellate_cell"", ""compartment"": ""pancreatic stellate cell"", ""delta_case_minus_control"": 0.5497024204631256, ""hedges_g"": 1.842559053009566, ""p"": 0.04160882312933641, ""fdr"": 0.659056893284346, ""support_level"": ""trend_positive""}, {""disease_name"": ""ulcerative colitis"", ""analysis"": ""ibd_uc_stromal"", ""compartment"": ""colon stromal"", ""delta_case_minus_control"": -0.0020123383128150666, ""hedges_g"": -0.0182748994184016, ""p"": 0.973817595507254, ""fdr"": 0.998385417220286, ""support_level"": ""null_or_negative""}]"
C1QA	10	1	2	0	1.672256999049514	Hashimoto thyroiditis;Sjogren syndrome		"[{""disease_name"": ""Crohn disease"", ""analysis"": ""ibd_crohn_myeloid"", ""compartment"": ""colon myeloid"", ""delta_case_minus_control"": -0.2289420421406395, ""hedges_g"": -0.5695483597768244, ""p"": 0.31121877179797425, ""fdr"": 0.6224375435959485, ""support_level"": ""null_or_negative""}, {""disease_name"": ""Graves disease"", ""analysis"": ""gse248205_thyroid_graves_disease"", ""compartment"": ""thyroid Visium spots"", ""delta_case_minus_control"": 0.8279503272315074, ""hedges_g"": 1.074085241131212, ""p"": 0.16598430682222146, ""fdr"": 0.42487340661977124, ""support_level"": ""positive_null""}, {""disease_name"": ""Hashimoto thyroiditis"", ""analysis"": ""gse248205_thyroid_hashimoto_thyroiditis"", ""compartment"": ""thyroid Visium spots"", ""delta_case_minus_control"": 2.073889731476901, ""hedges_g"": 2.4248445440681388, ""p"": 0.03810814181258904, ""fdr"": 0.09701707508312467, ""support_level"": ""fdr10_positive""}, {""disease_name"": ""MS"", ""analysis"": ""gse111972_ms_grey_matter_microglia"", ""compartment"": ""grey matter microglia"", ""delta_case_minus_control"": -0.6273342497180362, ""hedges_g"": -0.6111687516511608, ""p"": 0.3166921653012972, ""fdr"": 0.8946792302639373, ""support_level"": ""null_or_negative""}, {""disease_name"": ""Sjogren syndrome"", ""analysis"": ""sjogren_gland_stromal"", ""compartment"": ""salivary gland stromal/endothelial"", ""delta_case_minus_control"": 0.05775075957190487, ""hedges_g"": 0.9196694540308891, ""p"": 0.041172130519869836, ""fdr"": 0.817688707742978, ""support_level"": ""trend_positive""}, {""disease_name"": ""celiac disease"", ""analysis"": ""gse315138_celiac_epithelial_like"", ""compartment"": ""duodenum epithelial_like"", ""delta_case_minus_control"": -0.05533700659002663, ""hedges_g"": -0.3591563275106051, ""p"": 0.5893410624580974, ""fdr"": 0.8534935549147108, ""support_level"": ""null_or_negative""}, {""disease_name"": ""psoriasis"", ""analysis"": ""psoriasis_keratinocyte"", ""compartment"": ""skin keratinocyte"", ""delta_case_minus_control"": 0.11155637044489995, ""hedges_g"": 0.6348286444603377, ""p"": 0.43208222268279317, ""fdr"": 0.607858638452546, ""support_level"": ""positive_null""}, {""disease_name"": ""rheumatoid arthritis"", ""analysis"": ""ra_blood_myeloid"", ""compartment"": ""blood myeloid/APC"", ""delta_case_minus_control"": -0.0014834650164835452, ""hedges_g"": -0.020686263559303236, ""p"": 0.9498126324942827, ""fdr"": 0.9945743432982461, ""support_level"": ""null_or_negative""}, {""disease_name"": ""type 1 diabetes mellitus"", ""analysis"": ""t1d_beta_cell"", ""compartment"": ""pancreatic beta cell"", ""delta_case_minus_control"": 0.12692657251896405, ""hedges_g"": 1.3136764798893525, ""p"": 0.4604628242107271, ""fdr"": 0.922674968093164, ""support_level"": ""positive_null""}, {""disease_name"": ""ulcerative colitis"", ""analysis"": ""ibd_uc_epithelial"", ""compartment"": ""colon epithelial"", ""delta_case_minus_control"": 0.0, ""hedges_g"": -1.6844854821438648, ""p"": 0.012835309859278264, ""fdr"": 0.0939148122899747, ""support_level"": ""null_or_negative""}]"
C1QB	10	1	2	0	1.8048189024392551	Hashimoto thyroiditis;Sjogren syndrome		"[{""disease_name"": ""Crohn disease"", ""analysis"": ""ibd_crohn_epithelial"", ""compartment"": ""colon epithelial"", ""delta_case_minus_control"": 0.0032392388495092687, ""hedges_g"": 0.06267765750545565, ""p"": 0.9087531854339463, ""fdr"": 0.935573976670902, ""support_level"": ""positive_null""}, {""disease_name"": ""Graves disease"", ""analysis"": ""gse248205_thyroid_graves_disease"", ""compartment"": ""thyroid Visium spots"", ""delta_case_minus_control"": 0.9718723864577103, ""hedges_g"": 0.9795098438961183, ""p"": 0.19434146813301315, ""fdr"": 0.42487340661977124, ""support_level"": ""positive_null""}, {""disease_name"": ""Hashimoto thyroiditis"", ""analysis"": ""gse248205_thyroid_hashimoto_thyroiditis"", ""compartment"": ""thyroid Visium spots"", ""delta_case_minus_control"": 2.317062628852712, ""hedges_g"": 2.4184458763905563, ""p"": 0.03980187695717935, ""fdr"": 0.09701707508312467, ""support_level"": ""fdr10_positive""}, {""disease_name"": ""MS"", ""analysis"": ""gse111972_ms_grey_matter_microglia"", ""compartment"": ""grey matter microglia"", ""delta_case_minus_control"": -0.6117255321636619, ""hedges_g"": -0.6115865300621798, ""p"": 0.31710513929706047, ""fdr"": 0.8946792302639373, ""support_level"": ""null_or_negative""}, {""disease_name"": ""Sjogren syndrome"", ""analysis"": ""sjogren_gland_epithelial"", ""compartment"": ""salivary gland epithelial"", ""delta_case_minus_control"": 0.06098303008208123, ""hedges_g"": 1.191191928487954, ""p"": 0.01733086882254424, ""fdr"": 0.32639346998025515, ""support_level"": ""trend_positive""}, {""disease_name"": ""celiac disease"", ""analysis"": ""gse315138_celiac_stromal_endothelial_like"", ""compartment"": ""duodenum stromal_endothelial_like"", ""delta_case_minus_control"": -0.017755233322642144, ""hedges_g"": -0.20410924913962797, ""p"": 0.7029958517810624, ""fdr"": 0.9880117168617308, ""support_level"": ""null_or_negative""}, {""disease_name"": ""psoriasis"", ""analysis"": ""psoriasis_skin_stromal"", ""compartment"": ""skin stromal"", ""delta_case_minus_control"": 0.12936376904155877, ""hedges_g"": 0.7409786387462152, ""p"": 0.3699262314285414, ""fdr"": 0.6282648946274844, ""support_level"": ""positive_null""}, {""disease_name"": ""rheumatoid arthritis"", ""analysis"": ""ra_blood_myeloid"", ""compartment"": ""blood myeloid/APC"", ""delta_case_minus_control"": 0.04332513239104107, ""hedges_g"": 0.3660640477319591, ""p"": 0.2741723747260613, ""fdr"": 0.9945743432982461, ""support_level"": ""positive_null""}, {""disease_name"": ""type 1 diabetes mellitus"", ""analysis"": ""t1d_beta_cell"", ""compartment"": ""pancreatic beta cell"", ""delta_case_minus_control"": 0.10486208300955524, ""hedges_g"": 0.9942505010039026, ""p"": 0.5085315810500096, ""fdr"": 0.922674968093164, ""support_level"": ""positive_null""}, {""disease_name"": ""ulcerative colitis"", ""analysis"": ""ibd_uc_epithelial"", ""compartment"": ""colon epithelial"", ""delta_case_minus_control"": -0.014457922036816263, ""hedges_g"": -0.26186542005359714, ""p"": 0.6344153920989712, ""fdr"": 0.755256419165442, ""support_level"": ""null_or_negative""}]"
C1QC	10	1	1	0	2.3921809013835076	Hashimoto thyroiditis		"[{""disease_name"": ""Crohn disease"", ""analysis"": ""ibd_crohn_epithelial"", ""compartment"": ""colon epithelial"", ""delta_case_minus_control"": 0.045574251232513685, ""hedges_g"": 0.70209111764145, ""p"": 0.22884813976346147, ""fdr"": 0.44189645552724527, ""support_level"": ""positive_null""}, {""disease_name"": ""Graves disease"", ""analysis"": ""gse248205_thyroid_graves_disease"", ""compartment"": ""thyroid Visium spots"", ""delta_case_minus_control"": 0.7142214179853267, ""hedges_g"": 1.121760767094053, ""p"": 0.16026299248702847, ""fdr"": 0.42487340661977124, ""support_level"": ""positive_null""}, {""disease_name"": ""Hashimoto thyroiditis"", ""analysis"": ""gse248205_thyroid_hashimoto_thyroiditis"", ""compartment"": ""thyroid Visium spots"", ""delta_case_minus_control"": 1.931432611523404, ""hedges_g"": 2.3921809013835076, ""p"": 0.042909911357073914, ""fdr"": 0.09785453147130674, ""support_level"": ""fdr10_positive""}, {""disease_name"": ""MS"", ""analysis"": ""gse111972_ms_grey_matter_microglia"", ""compartment"": ""grey matter microglia"", ""delta_case_minus_control"": -0.5213449294654285, ""hedges_g"": -0.5406111829232768, ""p"": 0.374367866970266, ""fdr"": 0.9092143400479437, ""support_level"": ""null_or_negative""}, {""disease_name"": ""Sjogren syndrome"", ""analysis"": ""sjogren_gland_epithelial"", ""compartment"": ""salivary gland epithelial"", ""delta_case_minus_control"": 0.019191462633982897, ""hedges_g"": 0.42275857718477255, ""p"": 0.3017957796526487, ""fdr"": 0.574148068607478, ""support_level"": ""positive_null""}, {""disease_name"": ""celiac disease"", ""analysis"": ""gse315138_celiac_stromal_endothelial_like"", ""compartment"": ""duodenum stromal_endothelial_like"", ""delta_case_minus_control"": 0.04483767453585274, ""hedges_g"": 0.4031417291450805, ""p"": 0.4480672760026975, ""fdr"": 0.9880117168617308, ""support_level"": ""positive_null""}, {""disease_name"": ""psoriasis"", ""analysis"": ""psoriasis_keratinocyte"", ""compartment"": ""skin keratinocyte"", ""delta_case_minus_control"": 0.12049252865644698, ""hedges_g"": 0.7113163198021901, ""p"": 0.3803871118881532, ""fdr"": 0.5883364510964483, ""support_level"": ""positive_null""}, {""disease_name"": ""rheumatoid arthritis"", ""analysis"": ""ra_blood_myeloid"", ""compartment"": ""blood myeloid/APC"", ""delta_case_minus_control"": 0.04726173033254484, ""hedges_g"": 0.5120290890392508, ""p"": 0.13260237975027098, ""fdr"": 0.9945743432982461, ""support_level"": ""positive_null""}, {""disease_name"": ""type 1 diabetes mellitus"", ""analysis"": ""t1d_stellate_cell"", ""compartment"": ""pancreatic stellate cell"", ""delta_case_minus_control"": 0.05384286510400102, ""hedges_g"": 0.6895091489841979, ""p"": 0.40220167927389766, ""fdr"": 0.8370143055159492, ""support_level"": ""positive_null""}, {""disease_name"": ""ulcerative colitis"", ""analysis"": ""ibd_uc_stromal"", ""compartment"": ""colon stromal"", ""delta_case_minus_control"": 0.04259052201127868, ""hedges_g"": 0.261720057057439, ""p"": 0.6373180362418184, ""fdr"": 0.9018651456252147, ""support_level"": ""positive_null""}]"
CD36	10	0	0	1			Hashimoto thyroiditis	"[{""disease_name"": ""Crohn disease"", ""analysis"": ""ibd_crohn_stromal"", ""compartment"": ""colon stromal"", ""delta_case_minus_control"": 0.21065668341625715, ""hedges_g"": 0.7057853687039842, ""p"": 0.23018104792115252, ""fdr"": 0.5815822903779047, ""support_level"": ""positive_null""}, {""disease_name"": ""Graves disease"", ""analysis"": ""gse248205_thyroid_graves_disease"", ""compartment"": ""thyroid Visium spots"", ""delta_case_minus_control"": 0.09573279254503311, ""hedges_g"": 0.46538140392272515, ""p"": 0.46074048637447707, ""fdr"": 0.5494345889454452, ""support_level"": ""positive_null""}, {""disease_name"": ""Hashimoto thyroiditis"", ""analysis"": ""gse248205_thyroid_hashimoto_thyroiditis"", ""compartment"": ""thyroid Visium spots"", ""delta_case_minus_control"": -0.17709978409164684, ""hedges_g"": -5.36058758454697, ""p"": 0.00278752140523478, ""fdr"": 0.021742666960831287, ""support_level"": ""negative_trend""}, {""disease_name"": ""MS"", ""analysis"": ""gse111972_ms_grey_matter_microglia"", ""compartment"": ""grey matter microglia"", ""delta_case_minus_control"": 0.019861879242147596, ""hedges_g"": 0.021668117063145916, ""p"": 0.9708628521500868, ""fdr"": 0.9708628521500868, ""support_level"": ""positive_null""}, {""disease_name"": ""Sjogren syndrome"", ""analysis"": ""sjogren_gland_epithelial"", ""compartment"": ""salivary gland epithelial"", ""delta_case_minus_control"": -0.005699595343258185, ""hedges_g"": -0.1262388021418455, ""p"": 0.7423665501896031, ""fdr"": 0.9606259407632457, ""support_level"": ""null_or_negative""}, {""disease_name"": ""celiac disease"", ""analysis"": ""gse315138_celiac_myeloid_apc_like"", ""compartment"": ""duodenum myeloid_apc_like"", ""delta_case_minus_control"": 0.17173239234617807, ""hedges_g"": 0.37753483036670743, ""p"": 0.47366980024273386, ""fdr"": 0.6720054927537569, ""support_level"": ""positive_null""}, {""disease_name"": ""psoriasis"", ""analysis"": ""psoriasis_keratinocyte"", ""compartment"": ""skin keratinocyte"", ""delta_case_minus_control"": 1.2975146068974075, ""hedges_g"": 1.4661136189360429, ""p"": 0.15381408753996156, ""fdr"": 0.4547546935964081, ""support_level"": ""positive_null""}, {""disease_name"": ""rheumatoid arthritis"", ""analysis"": ""ra_blood_myeloid"", ""compartment"": ""blood myeloid/APC"", ""delta_case_minus_control"": -0.010727532914778293, ""hedges_g"": -0.0554193196211986, ""p"": 0.8660183282762056, ""fdr"": 0.9945743432982461, ""support_level"": ""null_or_negative""}, {""disease_name"": ""type 1 diabetes mellitus"", ""analysis"": ""t1d_beta_cell"", ""compartment"": ""pancreatic beta cell"", ""delta_case_minus_control"": 0.2643759555465332, ""hedges_g"": 0.9255780162341455, ""p"": 0.33580472013164975, ""fdr"": 0.922674968093164, ""support_level"": ""positive_null""}, {""disease_name"": ""ulcerative colitis"", ""analysis"": ""ibd_uc_myeloid"", ""compartment"": ""colon myeloid"", ""delta_case_minus_control"": -0.04853426262377226, ""hedges_g"": -0.309398977428593, ""p"": 0.5852075017420768, ""fdr"": 0.8102451390644773, ""support_level"": ""null_or_negative""}]"
