seed	effect_scale	true_noise_multiplier	method	donors_per_context	probability
57401	1.00	0.75	blinded_adaptive	32	0.000000
57401	1.00	0.75	blinded_adaptive	40	0.000000
57401	1.00	0.75	blinded_adaptive	48	0.000000
57401	1.00	0.75	oracle	0	0.000000
57401	1.00	0.75	oracle	12	1.000000
57401	1.00	0.75	oracle	16	0.000000
57401	1.00	0.75	oracle	20	0.000000
57401	1.00	0.75	oracle	24	0.000000
57401	1.00	0.75	oracle	32	0.000000
57401	1.00	0.75	oracle	40	0.000000
57401	1.00	0.75	oracle	48	0.000000
57401	1.00	1.00	fixed_12	0	0.000000
57401	1.00	1.00	fixed_12	12	1.000000
57401	1.00	1.00	fixed_12	16	0.000000
57401	1.00	1.00	fixed_12	20	0.000000
57401	1.00	1.00	fixed_12	24	0.000000
57401	1.00	1.00	fixed_12	32	0.000000
57401	1.00	1.00	fixed_12	40	0.000000
57401	1.00	1.00	fixed_12	48	0.000000
57401	1.00	1.00	blinded_adaptive	0	0.000000
57401	1.00	1.00	blinded_adaptive	12	0.096000
57401	1.00	1.00	blinded_adaptive	16	0.646000
57401	1.00	1.00	blinded_adaptive	20	0.250000
57401	1.00	1.00	blinded_adaptive	24	0.008000
57401	1.00	1.00	blinded_adaptive	32	0.000000
57401	1.00	1.00	blinded_adaptive	40	0.000000
57401	1.00	1.00	blinded_adaptive	48	0.000000
57401	1.00	1.00	oracle	0	0.000000
57401	1.00	1.00	oracle	12	1.000000
57401	1.00	1.00	oracle	16	0.000000
57401	1.00	1.00	oracle	20	0.000000
57401	1.00	1.00	oracle	24	0.000000
57401	1.00	1.00	oracle	32	0.000000
57401	1.00	1.00	oracle	40	0.000000
57401	1.00	1.00	oracle	48	0.000000
57401	1.00	1.25	fixed_12	0	0.000000
57401	1.00	1.25	fixed_12	12	1.000000
57401	1.00	1.25	fixed_12	16	0.000000
57401	1.00	1.25	fixed_12	20	0.000000
57401	1.00	1.25	fixed_12	24	0.000000
57401	1.00	1.25	fixed_12	32	0.000000
57401	1.00	1.25	fixed_12	40	0.000000
57401	1.00	1.25	fixed_12	48	0.000000
57401	1.00	1.25	blinded_adaptive	0	0.000000
57401	1.00	1.25	blinded_adaptive	12	0.000000
57401	1.00	1.25	blinded_adaptive	16	0.010000
57401	1.00	1.25	blinded_adaptive	20	0.164000
57401	1.00	1.25	blinded_adaptive	24	0.472000
57401	1.00	1.25	blinded_adaptive	32	0.352000
57401	1.00	1.25	blinded_adaptive	40	0.002000
57401	1.00	1.25	blinded_adaptive	48	0.000000
57401	1.00	1.25	oracle	0	0.000000
57401	1.00	1.25	oracle	12	0.000000
57401	1.00	1.25	oracle	16	0.000000
57401	1.00	1.25	oracle	20	1.000000
57401	1.00	1.25	oracle	24	0.000000
57401	1.00	1.25	oracle	32	0.000000
57401	1.00	1.25	oracle	40	0.000000
57401	1.00	1.25	oracle	48	0.000000
57401	1.00	1.50	fixed_12	0	0.000000
57401	1.00	1.50	fixed_12	12	1.000000
57401	1.00	1.50	fixed_12	16	0.000000
57401	1.00	1.50	fixed_12	20	0.000000
57401	1.00	1.50	fixed_12	24	0.000000
57401	1.00	1.50	fixed_12	32	0.000000
57401	1.00	1.50	fixed_12	40	0.000000
57401	1.00	1.50	fixed_12	48	0.000000
57401	1.00	1.50	blinded_adaptive	0	0.002000
57401	1.00	1.50	blinded_adaptive	12	0.000000
57401	1.00	1.50	blinded_adaptive	16	0.000000
57401	1.00	1.50	blinded_adaptive	20	0.000000
57401	1.00	1.50	blinded_adaptive	24	0.014000
57401	1.00	1.50	blinded_adaptive	32	0.420000
57401	1.00	1.50	blinded_adaptive	40	0.480000
57401	1.00	1.50	blinded_adaptive	48	0.084000
57401	1.00	1.50	oracle	0	0.000000
57401	1.00	1.50	oracle	12	0.000000
57401	1.00	1.50	oracle	16	0.000000
57401	1.00	1.50	oracle	20	0.000000
57401	1.00	1.50	oracle	24	0.000000
57401	1.00	1.50	oracle	32	1.000000
57401	1.00	1.50	oracle	40	0.000000
57401	1.00	1.50	oracle	48	0.000000
57402	0.80	0.75	fixed_12	0	0.000000
57402	0.80	0.75	fixed_12	12	1.000000
57402	0.80	0.75	fixed_12	16	0.000000
57402	0.80	0.75	fixed_12	20	0.000000
57402	0.80	0.75	fixed_12	24	0.000000
57402	0.80	0.75	fixed_12	32	0.000000
57402	0.80	0.75	fixed_12	40	0.000000
57402	0.80	0.75	fixed_12	48	0.000000
57402	0.80	0.75	blinded_adaptive	0	0.000000
57402	0.80	0.75	blinded_adaptive	12	0.998000
57402	0.80	0.75	blinded_adaptive	16	0.002000
57402	0.80	0.75	blinded_adaptive	20	0.000000
57402	0.80	0.75	blinded_adaptive	24	0.000000
57402	0.80	0.75	blinded_adaptive	32	0.000000
57402	0.80	0.75	blinded_adaptive	40	0.000000
57402	0.80	0.75	blinded_adaptive	48	0.000000
57402	0.80	0.75	oracle	0	0.000000
57402	0.80	0.75	oracle	12	1.000000
57402	0.80	0.75	oracle	16	0.000000
57402	0.80	0.75	oracle	20	0.000000
57402	0.80	0.75	oracle	24	0.000000
57402	0.80	0.75	oracle	32	0.000000
57402	0.80	0.75	oracle	40	0.000000
57402	0.80	0.75	oracle	48	0.000000
57402	0.80	1.00	fixed_12	0	0.000000
57402	0.80	1.00	fixed_12	12	1.000000
57402	0.80	1.00	fixed_12	16	0.000000
57402	0.80	1.00	fixed_12	20	0.000000
57402	0.80	1.00	fixed_12	24	0.000000
57402	0.80	1.00	fixed_12	32	0.000000
57402	0.80	1.00	fixed_12	40	0.000000
57402	0.80	1.00	fixed_12	48	0.000000
57402	0.80	1.00	blinded_adaptive	0	0.000000
57402	0.80	1.00	blinded_adaptive	12	0.100000
57402	0.80	1.00	blinded_adaptive	16	0.652000
57402	0.80	1.00	blinded_adaptive	20	0.240000
57402	0.80	1.00	blinded_adaptive	24	0.008000
57402	0.80	1.00	blinded_adaptive	32	0.000000
57402	0.80	1.00	blinded_adaptive	40	0.000000
57402	0.80	1.00	blinded_adaptive	48	0.000000
57402	0.80	1.00	oracle	0	0.000000
57402	0.80	1.00	oracle	12	1.000000
57402	0.80	1.00	oracle	16	0.000000
57402	0.80	1.00	oracle	20	0.000000
57402	0.80	1.00	oracle	24	0.000000
57402	0.80	1.00	oracle	32	0.000000
57402	0.80	1.00	oracle	40	0.000000
57402	0.80	1.00	oracle	48	0.000000
57402	0.80	1.25	fixed_12	0	0.000000
57402	0.80	1.25	fixed_12	12	1.000000
57402	0.80	1.25	fixed_12	16	0.000000
57402	0.80	1.25	fixed_12	20	0.000000
57402	0.80	1.25	fixed_12	24	0.000000
57402	0.80	1.25	fixed_12	32	0.000000
57402	0.80	1.25	fixed_12	40	0.000000
57402	0.80	1.25	fixed_12	48	0.000000
57402	0.80	1.25	blinded_adaptive	0	0.000000
57402	0.80	1.25	blinded_adaptive	12	0.000000
57402	0.80	1.25	blinded_adaptive	16	0.006000
57402	0.80	1.25	blinded_adaptive	20	0.184000
57402	0.80	1.25	blinded_adaptive	24	0.444000
57402	0.80	1.25	blinded_adaptive	32	0.356000
57402	0.80	1.25	blinded_adaptive	40	0.010000
57402	0.80	1.25	blinded_adaptive	48	0.000000
57402	0.80	1.25	oracle	0	0.000000
57402	0.80	1.25	oracle	12	0.000000
57402	0.80	1.25	oracle	16	0.000000
57402	0.80	1.25	oracle	20	1.000000
57402	0.80	1.25	oracle	24	0.000000
57402	0.80	1.25	oracle	32	0.000000
57402	0.80	1.25	oracle	40	0.000000
57402	0.80	1.25	oracle	48	0.000000
57402	0.80	1.50	fixed_12	0	0.000000
57402	0.80	1.50	fixed_12	12	1.000000
57402	0.80	1.50	fixed_12	16	0.000000
57402	0.80	1.50	fixed_12	20	0.000000
57402	0.80	1.50	fixed_12	24	0.000000
57402	0.80	1.50	fixed_12	32	0.000000
57402	0.80	1.50	fixed_12	40	0.000000
57402	0.80	1.50	fixed_12	48	0.000000
57402	0.80	1.50	blinded_adaptive	0	0.002000
57402	0.80	1.50	blinded_adaptive	12	0.000000
57402	0.80	1.50	blinded_adaptive	16	0.000000
57402	0.80	1.50	blinded_adaptive	20	0.000000
57402	0.80	1.50	blinded_adaptive	24	0.016000
57402	0.80	1.50	blinded_adaptive	32	0.374000
57402	0.80	1.50	blinded_adaptive	40	0.500000
57402	0.80	1.50	blinded_adaptive	48	0.108000
57402	0.80	1.50	oracle	0	0.000000
57402	0.80	1.50	oracle	12	0.000000
57402	0.80	1.50	oracle	16	0.000000
57402	0.80	1.50	oracle	20	0.000000
57402	0.80	1.50	oracle	24	0.000000
57402	0.80	1.50	oracle	32	1.000000
57402	0.80	1.50	oracle	40	0.000000
57402	0.80	1.50	oracle	48	0.000000
57402	1.00	0.75	fixed_12	0	0.000000
57402	1.00	0.75	fixed_12	12	1.000000
57402	1.00	0.75	fixed_12	16	0.000000
57402	1.00	0.75	fixed_12	20	0.000000
57402	1.00	0.75	fixed_12	24	0.000000
57402	1.00	0.75	fixed_12	32	0.000000
57402	1.00	0.75	fixed_12	40	0.000000
57402	1.00	0.75	fixed_12	48	0.000000
57402	1.00	0.75	blinded_adaptive	0	0.000000
57402	1.00	0.75	blinded_adaptive	12	1.000000
57402	1.00	0.75	blinded_adaptive	16	0.000000
57402	1.00	0.75	blinded_adaptive	20	0.000000
57402	1.00	0.75	blinded_adaptive	24	0.000000
57402	1.00	0.75	blinded_adaptive	32	0.000000
57402	1.00	0.75	blinded_adaptive	40	0.000000
57402	1.00	0.75	blinded_adaptive	48	0.000000
57402	1.00	0.75	oracle	0	0.000000
57402	1.00	0.75	oracle	12	1.000000
57402	1.00	0.75	oracle	16	0.000000
57402	1.00	0.75	oracle	20	0.000000
57402	1.00	0.75	oracle	24	0.000000
57402	1.00	0.75	oracle	32	0.000000
57402	1.00	0.75	oracle	40	0.000000
57402	1.00	0.75	oracle	48	0.000000
57402	1.00	1.00	fixed_12	0	0.000000
57402	1.00	1.00	fixed_12	12	1.000000
57402	1.00	1.00	fixed_12	16	0.000000
57402	1.00	1.00	fixed_12	20	0.000000
57402	1.00	1.00	fixed_12	24	0.000000
57402	1.00	1.00	fixed_12	32	0.000000
57402	1.00	1.00	fixed_12	40	0.000000
57402	1.00	1.00	fixed_12	48	0.000000
57402	1.00	1.00	blinded_adaptive	0	0.000000
57402	1.00	1.00	blinded_adaptive	12	0.102000
57402	1.00	1.00	blinded_adaptive	16	0.646000
57402	1.00	1.00	blinded_adaptive	20	0.240000
57402	1.00	1.00	blinded_adaptive	24	0.012000
57402	1.00	1.00	blinded_adaptive	32	0.000000
57402	1.00	1.00	blinded_adaptive	40	0.000000
57402	1.00	1.00	blinded_adaptive	48	0.000000
57402	1.00	1.00	oracle	0	0.000000
57402	1.00	1.00	oracle	12	1.000000
57402	1.00	1.00	oracle	16	0.000000
57402	1.00	1.00	oracle	20	0.000000
57402	1.00	1.00	oracle	24	0.000000
57402	1.00	1.00	oracle	32	0.000000
57402	1.00	1.00	oracle	40	0.000000
57402	1.00	1.00	oracle	48	0.000000
57402	1.00	1.25	fixed_12	0	0.000000
57402	1.00	1.25	fixed_12	12	1.000000
57402	1.00	1.25	fixed_12	16	0.000000
57402	1.00	1.25	fixed_12	20	0.000000
57402	1.00	1.25	fixed_12	24	0.000000
57402	1.00	1.25	fixed_12	32	0.000000
57402	1.00	1.25	fixed_12	40	0.000000
57402	1.00	1.25	fixed_12	48	0.000000
57402	1.00	1.25	blinded_adaptive	0	0.000000
57402	1.00	1.25	blinded_adaptive	12	0.000000
57402	1.00	1.25	blinded_adaptive	16	0.006000
57402	1.00	1.25	blinded_adaptive	20	0.164000
57402	1.00	1.25	blinded_adaptive	24	0.472000
57402	1.00	1.25	blinded_adaptive	32	0.354000
57402	1.00	1.25	blinded_adaptive	40	0.004000
57402	1.00	1.25	blinded_adaptive	48	0.000000
57402	1.00	1.25	oracle	0	0.000000
57402	1.00	1.25	oracle	12	0.000000
57402	1.00	1.25	oracle	16	0.000000
57402	1.00	1.25	oracle	20	1.000000
57402	1.00	1.25	oracle	24	0.000000
57402	1.00	1.25	oracle	32	0.000000
57402	1.00	1.25	oracle	40	0.000000
57402	1.00	1.25	oracle	48	0.000000
57402	1.00	1.50	fixed_12	0	0.000000
57402	1.00	1.50	fixed_12	12	1.000000
57402	1.00	1.50	fixed_12	16	0.000000
57402	1.00	1.50	fixed_12	20	0.000000
57402	1.00	1.50	fixed_12	24	0.000000
57402	1.00	1.50	fixed_12	32	0.000000
57402	1.00	1.50	fixed_12	40	0.000000
57402	1.00	1.50	fixed_12	48	0.000000
57402	1.00	1.50	blinded_adaptive	0	0.002000
57402	1.00	1.50	blinded_adaptive	12	0.000000
57402	1.00	1.50	blinded_adaptive	16	0.000000
57402	1.00	1.50	blinded_adaptive	20	0.000000
57402	1.00	1.50	blinded_adaptive	24	0.034000
57402	1.00	1.50	blinded_adaptive	32	0.412000
57402	1.00	1.50	blinded_adaptive	40	0.478000
57402	1.00	1.50	blinded_adaptive	48	0.074000
57402	1.00	1.50	oracle	0	0.000000
57402	1.00	1.50	oracle	12	0.000000
57402	1.00	1.50	oracle	16	0.000000
57402	1.00	1.50	oracle	20	0.000000
57402	1.00	1.50	oracle	24	0.000000
57402	1.00	1.50	oracle	32	1.000000
57402	1.00	1.50	oracle	40	0.000000
57402	1.00	1.50	oracle	48	0.000000
57403	0.80	0.75	fixed_12	0	0.000000
57403	0.80	0.75	fixed_12	12	1.000000
57403	0.80	0.75	fixed_12	16	0.000000
57403	0.80	0.75	fixed_12	20	0.000000
57403	0.80	0.75	fixed_12	24	0.000000
57403	0.80	0.75	fixed_12	32	0.000000
57403	0.80	0.75	fixed_12	40	0.000000
57403	0.80	0.75	fixed_12	48	0.000000
57403	0.80	0.75	blinded_adaptive	0	0.000000
57403	0.80	0.75	blinded_adaptive	12	1.000000
57403	0.80	0.75	blinded_adaptive	16	0.000000
57403	0.80	0.75	blinded_adaptive	20	0.000000
57403	0.80	0.75	blinded_adaptive	24	0.000000
57403	0.80	0.75	blinded_adaptive	32	0.000000
57403	0.80	0.75	blinded_adaptive	40	0.000000
57403	0.80	0.75	blinded_adaptive	48	0.000000
57403	0.80	0.75	oracle	0	0.000000
57403	0.80	0.75	oracle	12	1.000000
57403	0.80	0.75	oracle	16	0.000000
57403	0.80	0.75	oracle	20	0.000000
57403	0.80	0.75	oracle	24	0.000000
57403	0.80	0.75	oracle	32	0.000000
57403	0.80	0.75	oracle	40	0.000000
57403	0.80	0.75	oracle	48	0.000000
57403	0.80	1.00	fixed_12	0	0.000000
57403	0.80	1.00	fixed_12	12	1.000000
57403	0.80	1.00	fixed_12	16	0.000000
57403	0.80	1.00	fixed_12	20	0.000000
57403	0.80	1.00	fixed_12	24	0.000000
57403	0.80	1.00	fixed_12	32	0.000000
57403	0.80	1.00	fixed_12	40	0.000000
57403	0.80	1.00	fixed_12	48	0.000000
57403	0.80	1.00	blinded_adaptive	0	0.000000
57403	0.80	1.00	blinded_adaptive	12	0.120000
57403	0.80	1.00	blinded_adaptive	16	0.618000
57403	0.80	1.00	blinded_adaptive	20	0.258000
57403	0.80	1.00	blinded_adaptive	24	0.004000
57403	0.80	1.00	blinded_adaptive	32	0.000000
57403	0.80	1.00	blinded_adaptive	40	0.000000
57403	0.80	1.00	blinded_adaptive	48	0.000000
57403	0.80	1.00	oracle	0	0.000000
57403	0.80	1.00	oracle	12	1.000000
57403	0.80	1.00	oracle	16	0.000000
57403	0.80	1.00	oracle	20	0.000000
57403	0.80	1.00	oracle	24	0.000000
57403	0.80	1.00	oracle	32	0.000000
57403	0.80	1.00	oracle	40	0.000000
57403	0.80	1.00	oracle	48	0.000000
57403	0.80	1.25	fixed_12	0	0.000000
57403	0.80	1.25	fixed_12	12	1.000000
57403	0.80	1.25	fixed_12	16	0.000000
57403	0.80	1.25	fixed_12	20	0.000000
57403	0.80	1.25	fixed_12	24	0.000000
57403	0.80	1.25	fixed_12	32	0.000000
57403	0.80	1.25	fixed_12	40	0.000000
57403	0.80	1.25	fixed_12	48	0.000000
57403	0.80	1.25	blinded_adaptive	0	0.000000
57403	0.80	1.25	blinded_adaptive	12	0.000000
57403	0.80	1.25	blinded_adaptive	16	0.016000
57403	0.80	1.25	blinded_adaptive	20	0.198000
57403	0.80	1.25	blinded_adaptive	24	0.438000
57403	0.80	1.25	blinded_adaptive	32	0.342000
57403	0.80	1.25	blinded_adaptive	40	0.006000
57403	0.80	1.25	blinded_adaptive	48	0.000000
57403	0.80	1.25	oracle	0	0.000000
57403	0.80	1.25	oracle	12	0.000000
57403	0.80	1.25	oracle	16	0.000000
57403	0.80	1.25	oracle	20	1.000000
57403	0.80	1.25	oracle	24	0.000000
57403	0.80	1.25	oracle	32	0.000000
57403	0.80	1.25	oracle	40	0.000000
57403	0.80	1.25	oracle	48	0.000000
57403	0.80	1.50	fixed_12	0	0.000000
57403	0.80	1.50	fixed_12	12	1.000000
57403	0.80	1.50	fixed_12	16	0.000000
57403	0.80	1.50	fixed_12	20	0.000000
57403	0.80	1.50	fixed_12	24	0.000000
57403	0.80	1.50	fixed_12	32	0.000000
57403	0.80	1.50	fixed_12	40	0.000000
57403	0.80	1.50	fixed_12	48	0.000000
57403	0.80	1.50	blinded_adaptive	0	0.004000
57403	0.80	1.50	blinded_adaptive	12	0.000000
57403	0.80	1.50	blinded_adaptive	16	0.000000
57403	0.80	1.50	blinded_adaptive	20	0.000000
57403	0.80	1.50	blinded_adaptive	24	0.028000
57403	0.80	1.50	blinded_adaptive	32	0.408000
57403	0.80	1.50	blinded_adaptive	40	0.472000
57403	0.80	1.50	blinded_adaptive	48	0.088000
57403	0.80	1.50	oracle	0	0.000000
57403	0.80	1.50	oracle	12	0.000000
57403	0.80	1.50	oracle	16	0.000000
57403	0.80	1.50	oracle	20	0.000000
57403	0.80	1.50	oracle	24	0.000000
57403	0.80	1.50	oracle	32	1.000000
57403	0.80	1.50	oracle	40	0.000000
57403	0.80	1.50	oracle	48	0.000000
57403	1.00	0.75	fixed_12	0	0.000000
57403	1.00	0.75	fixed_12	12	1.000000
57403	1.00	0.75	fixed_12	16	0.000000
57403	1.00	0.75	fixed_12	20	0.000000
57403	1.00	0.75	fixed_12	24	0.000000
57403	1.00	0.75	fixed_12	32	0.000000
57403	1.00	0.75	fixed_12	40	0.000000
57403	1.00	0.75	fixed_12	48	0.000000
57403	1.00	0.75	blinded_adaptive	0	0.000000
57403	1.00	0.75	blinded_adaptive	12	0.996000
57403	1.00	0.75	blinded_adaptive	16	0.004000
57403	1.00	0.75	blinded_adaptive	20	0.000000
57403	1.00	0.75	blinded_adaptive	24	0.000000
57403	1.00	0.75	blinded_adaptive	32	0.000000
57403	1.00	0.75	blinded_adaptive	40	0.000000
57403	1.00	0.75	blinded_adaptive	48	0.000000
57403	1.00	0.75	oracle	0	0.000000
57403	1.00	0.75	oracle	12	1.000000
57403	1.00	0.75	oracle	16	0.000000
57403	1.00	0.75	oracle	20	0.000000
57403	1.00	0.75	oracle	24	0.000000
57403	1.00	0.75	oracle	32	0.000000
57403	1.00	0.75	oracle	40	0.000000
57403	1.00	0.75	oracle	48	0.000000
57403	1.00	1.00	fixed_12	0	0.000000
57403	1.00	1.00	fixed_12	12	1.000000
57403	1.00	1.00	fixed_12	16	0.000000
57403	1.00	1.00	fixed_12	20	0.000000
57403	1.00	1.00	fixed_12	24	0.000000
57403	1.00	1.00	fixed_12	32	0.000000
57403	1.00	1.00	fixed_12	40	0.000000
57403	1.00	1.00	fixed_12	48	0.000000
57403	1.00	1.00	blinded_adaptive	0	0.000000
57403	1.00	1.00	blinded_adaptive	12	0.104000
57403	1.00	1.00	blinded_adaptive	16	0.702000
57403	1.00	1.00	blinded_adaptive	20	0.184000
57403	1.00	1.00	blinded_adaptive	24	0.010000
57403	1.00	1.00	blinded_adaptive	32	0.000000
57403	1.00	1.00	blinded_adaptive	40	0.000000
57403	1.00	1.00	blinded_adaptive	48	0.000000
57403	1.00	1.00	oracle	0	0.000000
57403	1.00	1.00	oracle	12	1.000000
57403	1.00	1.00	oracle	16	0.000000
57403	1.00	1.00	oracle	20	0.000000
57403	1.00	1.00	oracle	24	0.000000
57403	1.00	1.00	oracle	32	0.000000
57403	1.00	1.00	oracle	40	0.000000
57403	1.00	1.00	oracle	48	0.000000
57403	1.00	1.25	fixed_12	0	0.000000
57403	1.00	1.25	fixed_12	12	1.000000
57403	1.00	1.25	fixed_12	16	0.000000
57403	1.00	1.25	fixed_12	20	0.000000
57403	1.00	1.25	fixed_12	24	0.000000
57403	1.00	1.25	fixed_12	32	0.000000
57403	1.00	1.25	fixed_12	40	0.000000
57403	1.00	1.25	fixed_12	48	0.000000
57403	1.00	1.25	blinded_adaptive	0	0.000000
57403	1.00	1.25	blinded_adaptive	12	0.000000
57403	1.00	1.25	blinded_adaptive	16	0.012000
57403	1.00	1.25	blinded_adaptive	20	0.178000
57403	1.00	1.25	blinded_adaptive	24	0.482000
57403	1.00	1.25	blinded_adaptive	32	0.322000
57403	1.00	1.25	blinded_adaptive	40	0.006000
57403	1.00	1.25	blinded_adaptive	48	0.000000
57403	1.00	1.25	oracle	0	0.000000
57403	1.00	1.25	oracle	12	0.000000
57403	1.00	1.25	oracle	16	0.000000
57403	1.00	1.25	oracle	20	1.000000
57403	1.00	1.25	oracle	24	0.000000
57403	1.00	1.25	oracle	32	0.000000
57403	1.00	1.25	oracle	40	0.000000
57403	1.00	1.25	oracle	48	0.000000
57403	1.00	1.50	fixed_12	0	0.000000
57403	1.00	1.50	fixed_12	12	1.000000
57403	1.00	1.50	fixed_12	16	0.000000
57403	1.00	1.50	fixed_12	20	0.000000
57403	1.00	1.50	fixed_12	24	0.000000
57403	1.00	1.50	fixed_12	32	0.000000
57403	1.00	1.50	fixed_12	40	0.000000
57403	1.00	1.50	fixed_12	48	0.000000
57403	1.00	1.50	blinded_adaptive	0	0.000000
57403	1.00	1.50	blinded_adaptive	12	0.000000
57403	1.00	1.50	blinded_adaptive	16	0.000000
57403	1.00	1.50	blinded_adaptive	20	0.000000
57403	1.00	1.50	blinded_adaptive	24	0.024000
57403	1.00	1.50	blinded_adaptive	32	0.468000
57403	1.00	1.50	blinded_adaptive	40	0.438000
57403	1.00	1.50	blinded_adaptive	48	0.070000
57403	1.00	1.50	oracle	0	0.000000
57403	1.00	1.50	oracle	12	0.000000
57403	1.00	1.50	oracle	16	0.000000
57403	1.00	1.50	oracle	20	0.000000
