pmid	title	journal	pubdate	doi	pmc
37168665	Adaptive and innate immune responses in multiple sclerosis with anti-CD20 therapy: Gene expression and protein profiles.	Frontiers in neurology	2023	10.3389/fneur.2023.1158487	PMC10166068
40819018	First the B cells fall, then the T cells follow: temporal immunological shift with ocrelizumab in multiple sclerosis.	Journal of neurology	2025 Aug 16	10.1007/s00415-025-13297-5	PMC12357791
40879186	Phenotypic Changes in a Monocyte Cluster with High Interleukin-1 Beta Expression during Long-Term Anti-CD20 Therapy.	Annals of neurology	2025 Dec	10.1002/ana.78004	PMC12682941
41981407	Extensive peripheral immunoglobulin repertoire analyses in people with multiple sclerosis reveal disease-specific signatures and distinct treatment effects of disease modifying drugs.	Journal of neuroinflammation	2026 Apr 14	10.1186/s12974-026-03735-0	PMC13088472
40067358	Transcriptomic profiling after B cell depletion reveals central and peripheral immune cell changes in multiple sclerosis.	The Journal of clinical investigation	2025 Jun 2	10.1172/JCI182790	PMC12126227
