pmid	pmcid	title	doi	pub_year	has_suppl	has_tm_accessions
40819018	PMC12357791	First the B cells fall, then the T cells follow: temporal immunological shift with ocrelizumab in multiple sclerosis.	10.1007/s00415-025-13297-5	2025	Y	Y
37168665	PMC10166068	Adaptive and innate immune responses in multiple sclerosis with anti-CD20 therapy: Gene expression and protein profiles.	10.3389/fneur.2023.1158487	2023	Y	Y
40879186	PMC12682941	Phenotypic Changes in a Monocyte Cluster with High Interleukin-1 Beta Expression during Long-Term Anti-CD20 Therapy.	10.1002/ana.78004	2025	Y	Y
41981407	PMC13088472	Extensive peripheral immunoglobulin repertoire analyses in people with multiple sclerosis reveal disease-specific signatures and distinct treatment effects of disease modifying drugs.	10.1186/s12974-026-03735-0	2026	Y	N
40067358	PMC12126227	Transcriptomic profiling after B cell depletion reveals central and peripheral immune cell changes in multiple sclerosis.	10.1172/jci182790	2025	Y	Y
PPR1169042		Immune reprogramming following B-cell depletion in MS involves NF-κB activation and durable suppression of EBV host-pathogen interaction	10.21203/rs.3.rs-8544428/v1	2026	Y	N
39076991	PMC11284051	Integrated analyses of single-cell transcriptome and Mendelian randomization reveal the protective role of FCRL3 in multiple sclerosis.	10.3389/fimmu.2024.1428962	2024	Y	Y
38553477	PMC10980723	Immunosenescence and vaccine efficacy revealed by immunometabolic analysis of SARS-CoV-2-specific cells in multiple sclerosis patients.	10.1038/s41467-024-47013-0	2024	Y	N
39204047	PMC11360119	SARS-CoV-2 Vaccination Responses in Anti-CD20-Treated Progressive Multiple Sclerosis Patients Show Immunosenescence in Antigen-Specific B and T Cells.	10.3390/vaccines12080924	2024	Y	N
41484580	PMC12819949	B cell-specific METTL3 depletion exacerbates experimental autoimmune encephalomyelitis.	10.1007/s00018-025-06028-6	2026	Y	N
37533036	PMC10394872	Transcriptome alterations in peripheral blood B cells of patients with multiple sclerosis receiving immune reconstitution therapy.	10.1186/s12974-023-02859-x	2023	Y	Y
36341423	PMC9630342	Immune cells transcriptome-based drug repositioning for multiple sclerosis.	10.3389/fimmu.2022.1020721	2022	Y	Y
40547863	PMC12179467	Cladribine tablets in the new multiple sclerosis era.	10.1177/17562864251342855	2025	N	Y
35978442	PMC9385102	High-dimensional investigation of the cerebrospinal fluid to explore and monitor CNS immune responses.	10.1186/s13073-022-01097-9	2022	N	N
40244703	PMC12165804	B cells shape naive CD8+ T cell programming.	10.1172/jci190106	2025	Y	Y
39856699	PMC11759451	Targeting NF-kappaB-inducing kinase shapes B-cell homeostasis in myasthenia gravis.	10.1186/s12974-025-03342-5	2025	Y	N
39606248	PMC11599216	Autoimmune disease: a view of epigenetics and therapeutic targeting.	10.3389/fimmu.2024.1482728	2024	N	Y
35561450	PMC9111935	Implication of genetic variants in primary microRNA processing sites in the risk of multiple sclerosis.	10.1016/j.ebiom.2022.104052	2022	Y	Y
36048016	PMC9437111	Broader Epstein-Barr virus-specific T cell receptor repertoire in patients with multiple sclerosis.	10.1084/jem.20220650	2022	Y	N
PMC11235923	PMC11235923	ePosters		2024	N	Y
