gene	raw_contexts_tested	raw_positive_contexts	raw_negative_contexts	raw_positive_diseases	raw_negative_diseases	raw_tissue_resident_positive_contexts	raw_myeloid_positive_contexts	best_raw_positive_context	best_raw_positive_delta	best_raw_positive_p
SEL1L3	17	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		3	0	ibd_uc_stromal|ulcerative colitis|colon stromal	2.092734190002885	0.0010368895881306
FXYD5	17	6	1	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	Crohn disease	6	0	t1d_endothelial_cell|type 1 diabetes mellitus|pancreatic endothelial cell	0.8897033031223929	0.000881266463104
APOC1	17	3	1	Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	ulcerative colitis	3	0	t1d_acinar_cell|type 1 diabetes mellitus|pancreatic acinar cell	1.507336097479321	0.0077478315751561
CD82	17	6	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		6	0	ibd_uc_epithelial|ulcerative colitis|colon epithelial	1.235442870482026	0.0022868359631754
LAPTM5	17	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		3	0	ibd_uc_stromal|ulcerative colitis|colon stromal	2.7627129904622203	0.0032646368812315
