definition	physical_dataset	context	module	effect	p	n_genes_present	genes_present
canonical_original	GSE111972	MS white-matter microglia	mif_cd74_receptor_state	0.6141257454613055	0.005473419155014	7	CD74,CD44,CXCR4,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1
canonical_original	GSE111972	MS white-matter microglia	ifn_apc	0.4826673377359342	0.0360916207609486	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1
canonical_original	GSE111972	MS white-matter microglia	lysosomal_apc	0.402494420190013	0.102009262135635	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
canonical_original	GSE111972	MS white-matter microglia	hla_ii_apc	0.4363118585254622	0.1324985865893399	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5
canonical_original	GSE248205	Hashimoto thyroiditis_vs_control	hla_ii_apc	1.698558975446072	0.0053697946311235	sample_specific	see source-run sample score table
canonical_original	GSE248205	Hashimoto thyroiditis_vs_control	ifn_apc	1.229437021144745	0.0056816442006473	sample_specific	see source-run sample score table
canonical_original	GSE248205	Hashimoto thyroiditis_vs_control	lysosomal_apc	0.4907225133345561	0.027561405676147	sample_specific	see source-run sample score table
canonical_original	GSE248205	Hashimoto thyroiditis_vs_control	mif_cd74_receptor_state	1.7902925785741668	0.0003272728230005	sample_specific	see source-run sample score table
canonical_original	GSE248205	Graves disease_vs_control	hla_ii_apc	0.6931345213347653	0.2041459260592428	sample_specific	see source-run sample score table
canonical_original	GSE248205	Graves disease_vs_control	ifn_apc	0.5253332694232156	0.2094590329129275	sample_specific	see source-run sample score table
canonical_original	GSE248205	Graves disease_vs_control	lysosomal_apc	0.3661523426129482	0.1249005134132561	sample_specific	see source-run sample score table
canonical_original	GSE248205	Graves disease_vs_control	mif_cd74_receptor_state	0.7164278365991426	0.1936957997339089	sample_specific	see source-run sample score table
canonical_original	GSE315138	celiac b_plasma_like	hla_ii_apc	0.4676104408018866	0.1786359380435993	compartment_specific	see source-run module coverage table
canonical_original	GSE315138	celiac b_plasma_like	ifn_apc	0.2239035652169962	0.2320559740902329	compartment_specific	see source-run module coverage table
canonical_original	GSE315138	celiac b_plasma_like	lysosomal_apc	-0.0008762322190708	0.9872732886196984	compartment_specific	see source-run module coverage table
canonical_original	GSE315138	celiac b_plasma_like	mif_cd74_receptor_state	0.4588787263388331	0.188870474825488	compartment_specific	see source-run module coverage table
canonical_original	GSE315138	celiac epithelial_like	hla_ii_apc	0.5196932069471483	0.0279323634382444	compartment_specific	see source-run module coverage table
canonical_original	GSE315138	celiac epithelial_like	ifn_apc	0.3883416309082801	0.0956087964959915	compartment_specific	see source-run module coverage table
canonical_original	GSE315138	celiac epithelial_like	lysosomal_apc	0.0019675089146127	0.9908061981157454	compartment_specific	see source-run module coverage table
canonical_original	GSE315138	celiac epithelial_like	mif_cd74_receptor_state	0.4731839531570336	0.0164448410155086	compartment_specific	see source-run module coverage table
canonical_original	GSE315138	celiac myeloid_apc_like	hla_ii_apc	0.0952933379540874	0.7457991283764233	compartment_specific	see source-run module coverage table
canonical_original	GSE315138	celiac myeloid_apc_like	ifn_apc	0.0393544184569278	0.1850710337956456	compartment_specific	see source-run module coverage table
canonical_original	GSE315138	celiac myeloid_apc_like	lysosomal_apc	0.0466878677785165	0.6562184165041097	compartment_specific	see source-run module coverage table
canonical_original	GSE315138	celiac myeloid_apc_like	mif_cd74_receptor_state	0.1633470977365826	0.5555078380051329	compartment_specific	see source-run module coverage table
canonical_original	GSE315138	celiac stromal_endothelial_like	hla_ii_apc	0.1014945494060883	0.5712778348409691	compartment_specific	see source-run module coverage table
canonical_original	GSE315138	celiac stromal_endothelial_like	ifn_apc	0.0810541967988464	0.630840293884066	compartment_specific	see source-run module coverage table
canonical_original	GSE315138	celiac stromal_endothelial_like	lysosomal_apc	0.0128050694606177	0.933098340317852	compartment_specific	see source-run module coverage table
canonical_original	GSE315138	celiac stromal_endothelial_like	mif_cd74_receptor_state	0.0811486473462826	0.5814537087712643	compartment_specific	see source-run module coverage table
canonical_original	GSE315138	celiac t_cell_like	hla_ii_apc	0.1189710281839624	0.2509531202917918	compartment_specific	see source-run module coverage table
canonical_original	GSE315138	celiac t_cell_like	ifn_apc	-0.0838548651655207	0.7228158849132151	compartment_specific	see source-run module coverage table
canonical_original	GSE315138	celiac t_cell_like	lysosomal_apc	-0.1075823404118515	0.5527897668571792	compartment_specific	see source-run module coverage table
canonical_original	GSE315138	celiac t_cell_like	mif_cd74_receptor_state	0.0807603715395715	0.6387638141726477	compartment_specific	see source-run module coverage table
globally_disjoint	GSE111972	MS white-matter microglia	mif_cd74_receptor_state	0.5053840746100279	0.0108411083787125	2	CD44,CXCR4
