source	scope	n_rows_compared	max_absolute_error
GSE111972	MIF/CD74 module only; canonical IFN/HLA/GILT modules are new sensitivity scores	3	0.0
GSE248205	four canonical modules	8	0.0
GSE315138	four canonical mean-score modules	20	0.0
