module	original_genes	globally_disjoint_genes
hla_ii_apc	CD74;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;CIITA;RFX5	CIITA;RFX5
ifn_apc	STAT1;IRF1;CXCL10;GBP1;CD74;IFI30;HLA-DRA;HLA-DRB1	STAT1;IRF1;CXCL10;GBP1
lysosomal_apc	IFI30;CTSS;CTSB;CTSD;LAMP1;LAMP2;LAMP3	CTSS;CTSB;CTSD;LAMP1;LAMP2;LAMP3
mif_cd74_receptor_state	CD74;CD44;CXCR4;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	CD44;CXCR4
