target	moa	wave24_call	promotion_gate	n_compounds	max_opposite_queries	best_rank	min_qval	compounds
HSP90AA1	HSP inhibitor	NO_GO	NO_GO	4	3	4	3.08543314439944e-07	NVP-AUY922;PU-H71;geldanamycin;tanespimycin
ATP2A1	ATPase inhibitor	NO_GO	NO_GO	1	2	2	3.33468284702094e-07	thapsigargin
		NO_GO	NO_GO	1	2	5	3.08543314439944e-07	radicicol
CXCR2	CCK receptor antagonist	NO_GO_PRIOR	NO_GO	1	2	7	4.7161861024928e-06	SB-225002
PLK1	PLK inhibitor	NO_GO	NO_GO	1	2	8	4.88465195996193e-06	BI-2536
TUBB	Tubulin inhibitor	NO_GO	NO_GO	1	2	11	4.70712929556801e-06	vincristine
IKBKB	Anti-cancer agent	NO_GO	NO_GO	1	2	12	4.71443193564889e-06	flavokavain-b
XPO1	Exportin antagonist	NO_GO	NO_GO	1	2	15	8.83733908701768e-06	7b-cis
CTNNB1	Beta-catenin inhibitor	NO_GO	NO_GO	1	2	16	8.83733908701768e-06	PNU-74654
APEX1	APEX inhibitor	NO_GO	NO_GO	1	2	22	9.03442048884882e-06	BRD-K30351863
PPARA	PPAR receptor antagonist	NO_GO_PRIOR	NO_GO	1	2	26	8.83733908701768e-06	GW-6471
NR3C1	Glucocorticoid receptor agonist	NO_GO	NO_GO	1	2	34	8.83733908701768e-06	prednisolone-acetate
CTSB	Cathepsin inhibitor	NO_GO_PRIOR	NO_GO	1	2	41	8.83733908701768e-06	CA-074-Me
NAMPT	IKK inhibitor	NO_GO	NO_GO	1	1	2	0.596745389998244	withaferin-a
GRIN1	Glutamate receptor antagonist	PARK_REVIEW	NO_GO	1	1	3	0.566910809286373	memantine
MMP13	Metalloproteinase inhibitor	PARK_REVIEW	NO_GO	1	1	3	3.27392831556839e-07	WAY-170523
CNR1	TRPV agonist	PARK_REVIEW	NO_GO	1	1	4	4.70712929556801e-06	arvanil
HRH1	Histamine receptor antagonist	PARK_REVIEW	NO_GO	1	1	4	0.805603902146875	triprolidine
KIF11	Kinesin inhibitor	NO_GO	NO_GO	1	1	5	0.74950198399974	BRD-K89329876
CDK4	Histone lysine methyltransferase inhibitor	NO_GO	NO_GO	1	1	6	0.768581834015827	ryuvidine
ABCG2	Breast cancer resistance protein inhibitor	PARK_REVIEW	NO_GO	1	1	9	4.70712929556801e-06	KO-143
ALOX5AP	Lipoxygenase inhibitor	NO_GO_PRIOR	NO_GO	1	1	9	8.83733908701768e-06	BRD-K20168484
CHEK1	CHK inhibitor	NO_GO	NO_GO	1	1	9	0.869167133307089	SB-218078
GAA	Glucosidase inhibitor	PARK_REVIEW	NO_GO	1	1	10	0.885415802724685	miglitol
NR3C1	Glucocorticoid receptor agonist	NO_GO_PRIOR	NO_GO	4	1	11	0.805603902146875	dexamethasone;flumetasone;fluticasone
PPP1CA	Protein phosphatase inhibitor	NO_GO	NO_GO	1	1	12	0.800757396434433	calyculin
MKNK1	MAP kinase inhibitor	PARK_REVIEW	NO_GO	1	1	13	5.87567820342275e-05	CGP-57380
PSMB1	Proteasome inhibitor	PARK_REVIEW	NO_GO	1	1	16	0.843182058232008	MG-132
SLC1A2	Glutamate inhibitor	PARK_REVIEW	NO_GO	1	1	16	6.03624873173514e-05	WAY-213613
PLK3	PLK inhibitor	PARK_REVIEW	NO_GO	1	1	17	5.87567820342275e-05	GW-843682X
PTGIR	IP receptor activator	PARK_REVIEW	NO_GO	1	1	20	6.03624873173514e-05	BMY-45778
TSPO	Benzodiazepine receptor antagonist	PARK_REVIEW	NO_GO	1	1	20	1.0	PK-11195
EGFR	Angiogenesis inhibitor	PARK_REVIEW	NO_GO	1	1	21	6.03624873173514e-05	angiogenesis-inhibitor
GABRA1	Benzodiazepine receptor agonist	PARK_REVIEW	NO_GO	1	1	21	1.0	alprazolam
FNTA	NFKB pathway inhibitor	PARK_REVIEW	NO_GO	1	1	25	0.909831846556634	manumycin-a
ESR1	Estrogen receptor agonist	PARK_REVIEW	NO_GO	1	1	28	1.0	estradiol
HTR1B	Serotonin receptor antagonist	PARK_REVIEW	NO_GO	1	1	29	5.87567820342275e-05	SB-216641
LRRK2	Leucine rich repeat kinase inhibitor	PARK_REVIEW	NO_GO	1	1	30	9.36227738231777e-06	XMD-1150
ALOX5	Leukotriene inhibitor	NO_GO_PRIOR	NO_GO	1	1	32	1.0	zileuton
MTOR	PLK inhibitor	PARK_REVIEW	NO_GO	1	1	32	8.83733908701768e-06	LY-294002
NR3C1	Corticosteroid agonist	NO_GO_PRIOR	NO_GO	1	1	33	1.0	dexamethasone-acetate
PIK3CG	PI3K inhibitor	PARK_REVIEW	NO_GO	1	1	33	6.09760480042738e-05	AS-605240
CHRNA2	Acetylcholine receptor antagonist	PARK_REVIEW	NO_GO	1	1	34	1.0	tubocurarine
FLT3	JAK inhibitor	PARK_REVIEW	NO_GO	1	1	35	6.09760480042738e-05	tozasertib
FLT1	KIT inhibitor	PARK_REVIEW	NO_GO	1	1	38	8.83733908701768e-06	cediranib
ATP5F1A	ATPase inhibitor	PARK_REVIEW	NO_GO	1	1	39	8.92001488176717e-06	oligomycin-a
CALM1	Calmodulin antagonist	PARK_REVIEW	NO_GO	1	1	39	0.0005871982494016	berbamine
TUBB	Microtubule inhibitor	NO_GO	NO_GO	1	1	39	1.0	epothilone
DRD1	Dopamine receptor agonist	PARK_REVIEW	NO_GO	1	1	40	1.0	SKF-81297
HRH3	Histamine receptor antagonist	PARK_REVIEW	NO_GO	1	1	42	0.0005871982494016	clobenpropit
EGFR	EGFR inhibitor	PARK_REVIEW	NO_GO	1	1	43	1.0	dovitinib
ND1	Mitochondrial complex I inhibitor	PARK_REVIEW	NO_GO	1	1	44	0.0002426697405796	rotenone
FAAH	FAAH inhibitor	PARK_REVIEW	NO_GO	1	1	45	0.0002426697405796	LY-2183240
MAP2K1	MEK inhibitor	PARK_REVIEW	NO_GO	1	1	45	1.0	PD-0325901
OPRK1	Opioid receptor agonist	PARK_REVIEW	NO_GO	1	1	46	0.0002426697405796	ICI-199441
WEE1	WEE1 kinase inhibitor	PARK_REVIEW	NO_GO	1	1	50	1.0	MK-1775
		PARK_UNKNOWN	PARK_UNKNOWN_ONLY	61	2	1	2.85209566712362e-08	AG-592;BAY-11-7082;BG-FA-0953;BRD-A09719808;BRD-A18411371;BRD-A20131130;BRD-A26595446;BRD-A36275421;BRD-A37735495;BRD-A68065211;BRD-A95513702;BRD-K00429057;BRD-K03736784;BRD-K05153001;BRD-K05197617;BRD-K05396879;BRD-K05562558;BRD-K05979026;BRD-K06765193;BRD-K07005393;BRD-K10057859;BRD-K10846167;BRD-K28040935;BRD-K30468800;BRD-K30697463;BRD-K32636001;BRD-K33583600;BRD-K35024477;BRD-K37340241;BRD-K39345836;BRD-K50204028;BRD-K51556300;BRD-K56196992;BRD-K60870698;BRD-K69516039;BRD-K72381041;BRD-K726
